
 WorkFlow
Start 2024-10-22 10:48:30  Run : 4.33333333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev   tvVmax     tvKm     tvV     tvKa     dVdWT
    1 7646.984 1.49683   0.961021  4151.78 3810.190 50.1225 1.192790 1.1011900
    2 7495.652 1.39020   0.926667  4301.49 3634.510 49.9409 1.185680 1.1013200
    3 7431.574 1.30065   0.893739  4353.59 3701.300 49.6855 1.180360 1.0919200
    4 7371.326 1.22817   0.858608  4491.80 3803.170 50.3909 1.179530 1.0862200
    5 7324.983 1.13316   0.836117  4536.03 4011.790 51.2822 1.199540 1.0874400
    6 7298.298 1.13093   0.733334  4518.33 4151.610 50.9679 1.267710 1.0835100
    7 7267.229 1.13510   0.543825  6439.58 5075.470 32.5485 1.946880 1.0032500
    8 7196.001 1.03162   0.522813  8459.65 4645.890 38.5941 2.649850 0.7879280
    9 7155.433 1.23229   0.458105 10533.20 3302.040 36.6605 2.643760 0.4613030
   10 7144.923 1.24334   0.443581 11030.10 3514.140 35.8897 2.406900 0.4170650
   11 7133.934 1.25367   0.434859 11469.80 3644.460 34.9028 2.144170 0.5018830
   12 7121.459 1.26517   0.425967 11917.90 3774.260 33.8977 1.850340 0.5947790
   13 7107.890 1.27760   0.416970 12373.80 3903.890 32.8825 1.538430 0.6960180
   14 7096.262 1.29091   0.407950 12838.90 4033.720 31.8639 1.222190 0.8044530
   15 7068.168 1.37713   0.435091 13561.20 3972.510 31.8924 0.915651 0.2823560
   16 7050.791 1.25870   0.490592 14459.20 4637.370 36.6014 1.010660 0.0582570
   17 7041.492 1.36265   0.533939 14519.10 3880.280 40.3382 1.168130 0.0632286
   18 7032.794 1.35144   0.537667 12884.40 3914.650 45.0093 0.912791 0.2555370
   19 7029.297 1.36082   0.535224 12835.20 3801.130 44.0674 0.883508 0.6354150
   20 7026.628 1.35897   0.535336 12570.50 3694.970 43.7504 0.922706 1.0360200
   21 7024.800 1.35752   0.532085 12479.50 3411.320 42.9188 1.031720 0.8615200
   22 7021.659 1.35834   0.531609 11314.30 3135.000 43.5931 1.028720 1.2577500
   23 7014.972 1.36147   0.533995  7960.66 2415.530 45.4333 1.049040 1.6236500
   24 7010.255 1.38785   0.534314  6341.99 1873.720 46.6681 1.042700 1.7440400
   25 7006.146 1.41595   0.536534  5302.79 1510.570 47.5899 1.044200 1.6153000
   26 7002.287 1.48999   0.546498  4406.91 1052.220 48.9632 1.045010 1.0094000
   27 6997.539 1.46984   0.552607  4469.91 1228.670 48.7165 1.090010 0.6007950
   28 6995.176 1.48748   0.547208  4880.80 1271.010 46.7049 1.092940 0.7278100
   29 6991.906 1.54403   0.537380  3998.97  990.352 44.5163 1.136680 1.0216900
   30 6988.708 1.58336   0.532834  3981.16  978.286 44.3140 1.113190 1.0455800
   31 6984.562 1.67989   0.526440  3364.28  820.344 45.2914 1.116370 0.9279340
   32 6982.842 1.73629   0.523301  3301.11  789.660 46.2031 1.130780 0.9431210
   33 6982.293 1.80569   0.523154  2915.18  656.615 47.7433 1.171870 1.0065800
   34 6982.095 1.82147   0.524694  2872.79  641.580 48.5329 1.191910 0.9137380
   35 6982.030 1.82408   0.525149  2907.50  651.333 48.7151 1.206670 0.9270750
   36 6981.924 1.84011   0.524625  2845.90  630.756 48.6864 1.215800 0.9407790
   37 6981.823 1.86787   0.523971  2749.39  599.456 48.8294 1.229820 0.9419550
   38 6981.696 1.91423   0.522759  2653.36  562.118 48.7222 1.237130 0.9536160
   39 6981.518 1.96364   0.522072  2602.11  534.697 48.5124 1.238750 0.9407950
   40 6981.084 1.99441   0.523007  2652.48  539.911 48.1786 1.222910 0.9055130
   41 6980.507 2.05619   0.524656  2570.24  509.935 49.1693 1.228040 0.9210830
   42 6979.761 2.13672   0.525347  2477.72  473.370 50.7478 1.251840 0.9681810
   43 6978.942 2.15722   0.523912  2478.94  472.501 50.9968 1.258160 0.9427120
   44 6977.080 2.09985   0.517838  2575.92  516.237 50.2359 1.249510 0.9486700
   45 6975.704 2.02212   0.512231  2646.66  543.699 49.0016 1.228580 0.9224120
   46 6975.390 1.99998   0.513286  2700.73  545.986 48.7335 1.215850 0.9555590
   47 6975.291 2.00240   0.514300  2665.12  531.320 48.5058 1.214610 0.9884030
   48 6975.252 2.00241   0.515156  2668.51  529.616 48.5085 1.217170 0.9696720
   49 6975.239 1.99689   0.514796  2687.51  535.281 48.4568 1.215920 0.9709560
   50 6975.236 1.98640   0.514271  2700.37  540.990 48.3764 1.215100 0.9644530
   51 6975.235 1.98880   0.514242  2691.28  538.248 48.3567 1.215270 0.9697530
