Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,-0.0885332724642083,1,,,,,,,,
WorkFlow,-0.0944938592433872,0.992575493914816,1,,,,,,,
WorkFlow,0.550864915787151,-0.0902913390607465,-0.111718779005926,1,,,,,,
WorkFlow,0.125958903622261,-0.199778016575142,-0.214785986093085,0.606027826354336,1,,,,,
WorkFlow,-0.0591562446270677,-0.274826048163472,-0.278118985242465,0.205950174796417,0.458845856724226,1,,,,
WorkFlow,-0.0127947871389121,-0.216413598081645,-0.227424006243566,0.339368625095813,0.581137277310869,0.97862858842031,1,,,
WorkFlow,-0.248366815444723,-0.350036350717069,-0.337885286279954,-0.484842224508073,-0.32025964466027,0.502015200670107,0.317127877678961,1,,
WorkFlow,-0.309358115059959,0.191156138711725,0.201772779419234,-0.416179695200467,-0.203172973227901,0.367666386755065,0.232926638029271,0.741838839356393,1,
WorkFlow,-0.0866971607548562,-0.279809884422811,-0.27487691494058,-0.0530925620813712,-0.0428303898621148,-0.311770023823011,-0.293240611470876,-0.217528244984935,-0.47245509847721,1
