
 WorkFlow
Start 2024-10-19 12:14:48  Run : 9.2 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa       K12      K21       K13       K31
    1 7332.697   1.129830 3816.82 4175.370 45.5159 1.192810 0.9770370 3.974620 0.1205440 0.0240148
    2 6841.133   1.135600 3801.29 4188.970 45.1348 1.189400 0.8296880 4.089910 0.1228800 0.0242475
    3 6833.188   1.131390 3799.10 4190.730 45.1965 1.186740 0.8123670 4.102540 0.1230180 0.0243636
    4 6830.134   1.124580 3797.95 4191.460 45.3330 1.183350 0.8066410 4.106150 0.1229100 0.0244796
    5 6816.002   1.082530 3792.52 4194.450 46.2131 1.162790 0.7868220 4.116810 0.1219960 0.0251568
    6 6790.281   0.992234 3782.38 4199.400 48.2048 1.118160 0.7599110 4.128140 0.1197160 0.0266322
    7 6744.237   0.810057 3762.93 4207.850 52.6551 1.023630 0.7231780 4.137730 0.1144680 0.0299104
    8 6692.613   0.665780 3749.02 4212.410 56.6758 0.943814 0.7146020 4.129350 0.1094420 0.0329058
    9 6642.500   0.551228 3742.50 4211.030 60.2431 0.877631 0.7474460 4.092190 0.1040840 0.0356822
   10 6636.597   0.616881 3749.62 4208.380 58.0817 0.916954 0.7477400 4.098940 0.1064860 0.0341371
   11 6635.303   0.602711 3748.76 4208.000 58.4740 0.908482 0.7469320 4.097400 0.1057290 0.0345644
   12 6633.070   0.583861 3748.98 4205.530 58.8823 0.896927 0.7448490 4.094750 0.1042180 0.0353526
   13 6628.728   0.562845 3752.32 4198.360 59.0763 0.883553 0.7402660 4.090430 0.1014400 0.0367244
   14 6618.766   0.535931 3764.95 4177.460 58.6226 0.865435 0.7276610 4.081930 0.0951309 0.0398280
   15 6604.103   0.526139 3787.37 4145.070 56.9588 0.857490 0.7062910 4.074400 0.0872778 0.0438214
   16 6587.132   0.547189 3819.62 4103.590 53.8963 0.869598 0.6768150 4.070930 0.0794444 0.0479270
   17 6584.442   0.568409 3836.06 4085.110 52.3729 0.884230 0.6682350 4.068470 0.0770609 0.0491051
   18 6584.240   0.571799 3840.83 4080.410 52.1741 0.888339 0.6660100 4.068180 0.0768409 0.0492317
