Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,CMultStdev,0.0017115626,,,,,,,,,,,,,,,
WorkFlow,tvVmax,-47.63099,169111600,,,,,,,,,,,,,,
WorkFlow,tvKm,-38.805159,128126730,98532379,,,,,,,,,,,,,
WorkFlow,tvV,0.29035349,-14959.543,-14128.668,162.31964,,,,,,,,,,,,
WorkFlow,tvKa,0.0013353342,-665.73151,-546.33641,1.9785308,0.065664318,,,,,,,,,,,
WorkFlow,K12,-0.0006459516,-943.29511,-728.65695,0.6925493,0.031033769,0.06966361,,,,,,,,,,
WorkFlow,K21,-0.00092355231,-4910.2464,-3938.7447,7.5437845,0.25982174,0.45066407,3.0441362,,,,,,,,,
WorkFlow,K13,-0.00029633409,-131.27786,-96.7276,-0.17814664,-0.0023667838,0.0038213033,0.015957252,0.00083173178,,,,,,,,
WorkFlow,K31,-0.00022574646,43.846809,35.327679,-0.093525378,-0.00091831927,0.0017116697,0.0071682682,0.00037736729,0.00031111868,,,,,,,
WorkFlow,stdev0,-0.016542657,-16782.388,-12584.378,-3.1197747,-0.050619838,-0.37952584,-2.3597183,-0.028934189,-0.038435062,21.271985,,,,,,
WorkFlow,nVmax-nVmax,0.024512928,-17729.458,-14096.516,5.1023465,0.054087518,0.048889672,0.1906958,0.013556913,9.3341306e-05,-4.4712833,6.9060982,,,,,
WorkFlow,nKm-nVmax,-0.0096098201,9657.427,7487.4815,-1.8019519,-0.045486702,-0.0076728896,-0.0067220681,-0.0040868492,0.0032575356,-0.30076828,-1.6298526,0.9208074,,,,
WorkFlow,nKm-nKm,-0.00072751865,751.36177,560.77901,-0.82510266,-0.013374963,-0.015450151,-0.10818646,-0.00013715857,0.00047485025,-0.052768611,-0.12189811,0.017499253,0.029314785,,,
WorkFlow,nV-nVmax,0.025671831,-14700.637,-11950.168,5.941728,0.054811207,0.0011845792,-0.037291475,0.0064088294,-0.0028434966,-3.9757915,6.1592303,-1.7722333,-0.098879609,6.1452098,,
WorkFlow,nV-nKm,-0.0086957208,9551.3487,7498.55,-1.6674694,-0.044886729,-0.003580107,0.011965053,-0.0038131909,0.0033226905,-0.29424819,-1.6812819,0.95543062,0.016149431,-1.9020721,1.0146892,
WorkFlow,nV-nV,0.029153561,-11788.935,-9592.5082,6.914157,0.051437525,-0.053306677,-0.32700388,-0.0013069705,-0.0062121755,-3.3725071,5.239547,-1.909927,-0.079828223,5.9490184,-2.0921374,6.5683674
