Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5%CI,97.5%CI,Var.Inf.factor
WorkFlow,CMultStdev,0.535496717912652,,0.0413710355930081,7.72573093524662,0.45419891894872,0.616794516876584,
WorkFlow,tvVmax,4850.43942930545,,13004.2916261375,268.105432830849,-20704.1610571457,30405.0399157566,
WorkFlow,tvKm,3361.32824152142,,9926.34769199207,295.310275544502,-16144.8360964592,22867.492579502,
WorkFlow,tvV,59.2723959141532,,12.7404726924825,21.4947826825409,34.2362233162897,84.3085685120167,
WorkFlow,tvKa,1.18162845168973,,0.25625049810733,21.6862159793877,0.678073218398498,1.68518368498096,
WorkFlow,K12,0.305177508703849,,0.263938648994067,86.4869269413294,-0.213485631272223,0.823840648679921,
WorkFlow,K21,1.08277477351493,,1.74474532180662,161.136495278957,-2.34580641577169,4.51135596280155,
WorkFlow,K13,0.0650193293867248,,0.0288397603818503,44.3556718500062,0.00834661118945828,0.121692047583991,
WorkFlow,K31,0.0647458187654104,,0.0176385566131478,27.242773277849,0.0300844715451836,0.0994071659856372,
WorkFlow,CEps,0.499984448239979,,4.61215616901364,922.459925553511,-8.56331647338594,9.5632853698659,
