Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,GAMMA,0.032386345,,,,,,,,,,,,,,
WorkFlow,CMultStdev,-0.0017826845,0.0010877722,,,,,,,,,,,,,
WorkFlow,tvVmax,-676.12724,42.254002,17833334,,,,,,,,,,,,
WorkFlow,tvKm,-180.98722,9.7057835,4532660.1,1179936.5,,,,,,,,,,,
WorkFlow,tvV,-1.6480011,-0.080085787,-7222.319,-773.39382,5929.1951,,,,,,,,,,
WorkFlow,tvKa,-0.0063487626,-0.0080846863,-561.0896,-117.07899,63.458225,1.5833807,,,,,,,,,
WorkFlow,K12,0.56511581,-0.029339936,-2471.5427,-833.41454,-1493.4772,-7.1700069,479.6915,,,,,,,,
WorkFlow,K21,-0.01525379,-0.067964579,-1279.2095,-274.16248,166.7875,10.86598,60.598333,110.50679,,,,,,,
WorkFlow,stdev0,0.12281094,0.002716036,-3289.5399,-848.96769,27.772648,-1.1113018,-22.876785,-16.339612,4.2267474,,,,,,
WorkFlow,nVmax-nVmax,-0.065783711,0.0040992211,1722.8227,444.35628,0.84311313,-0.058744713,-0.86962591,-0.37333828,-0.1979923,0.30960687,,,,,
WorkFlow,nKm-nVmax,-0.035450997,0.0017172832,977.38694,242.54798,-3.0544546,-0.049677455,0.61529676,-0.13179698,-0.22921845,0.023226346,0.10949475,,,,
WorkFlow,nKm-nKm,-0.0075370792,0.00035758309,118.00633,43.936108,-0.30123288,-0.033513571,-0.0065502202,-0.078224417,-0.026550963,0.045293455,-0.025629454,0.044101387,,,
WorkFlow,nV-nVmax,-0.085276405,0.005594179,2137.6005,557.0173,-0.14817789,-0.11992375,-1.1177893,-0.89221614,-0.2226388,0.33400804,0.057357212,0.049686801,0.38797469,,
WorkFlow,nV-nKm,-0.024498416,0.0015381434,737.40645,178.25496,-3.472922,-0.046748461,0.8311158,-0.03824006,-0.19287732,0.0087356591,0.089203489,-0.023422586,0.030788647,0.079770354,
WorkFlow,nV-nV,-0.090064009,0.0062996077,2213.9552,576.40404,-0.49736962,-0.16525401,-1.4560651,-1.349716,-0.17730812,0.32313804,0.074655926,0.046049737,0.39132238,0.04419238,0.40615982
