Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,dVdWT,CEps
WorkFlow,0.0748932070577197,,,,,,,,,
WorkFlow,0.00162420729084159,0.000382030998749381,,,,,,,,
WorkFlow,-191.600532579783,-2.90066167950006,1036414.74481172,,,,,,,
WorkFlow,-48.4851394301533,-0.682419902268755,224374.148475763,50759.281446381,,,,,,
WorkFlow,-0.163799115831132,-0.00323909397942726,167.126593742557,51.815363586442,2.59678157369481,,,,,
WorkFlow,-0.00280274831280479,-7.04964270303456e-05,-1.61468286429865,-0.0877313238276988,0.0584073414575504,0.00149115308742898,,,,
WorkFlow,0.0531311659542899,0.00050940210330012,-220.025471477311,-51.6703903533908,-0.22989022790933,-0.000410600547787194,0.171049085125506,,,
WorkFlow,-0.000730300537431394,1.4568815004822e-05,4.10663531422539,0.678758509720468,0.0513986770512755,0.00135022977667977,0.00218583370925175,0.00174717068942215,,
WorkFlow,-0.00672089459199714,-0.00038561015601069,71.7718828797684,14.6292272804072,-0.0839400705396943,-0.00290981144958145,-0.022617131746654,-0.00204096255910532,0.0485888868451872,
WorkFlow,0.119764013343077,-0.000969539216346212,-211.399516236582,-59.4685593075465,0.00238959834614996,0.000230904216915566,0.0200889753199891,0.00317607466321423,0.00351084293466166,1.38749606390128
