Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,dVdWT,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,0.303648359829857,1,,,,,,,,
WorkFlow,-0.687715331482044,-0.145774306545802,1,,,,,,,
WorkFlow,-0.786375006841177,-0.154968935389597,0.978246479130478,1,,,,,,
WorkFlow,-0.371426279956945,-0.102838690174132,0.10187346075974,0.142719431386234,1,,,,,
WorkFlow,-0.265217251253656,-0.0934021102110844,-0.0410732746153294,-0.0100840695864144,0.938617424840914,1,,,,
WorkFlow,0.469426664189127,0.0630160321539845,-0.52257158481805,-0.55452819391721,-0.34493909738198,-0.0257097604760386,1,,,
WorkFlow,-0.0638429194435096,0.0178322957792703,0.0965054140345387,0.0720758689574642,0.763073835803226,0.836524947902029,0.126441335333252,1,,
WorkFlow,-0.111413391641989,-0.0895015768566294,0.319829908235621,0.294574520614034,-0.236310568295728,-0.341849742865827,-0.24808966644222,-0.22151283494919,1,
WorkFlow,0.371526030084527,-0.0421114502901979,-0.176287418353305,-0.224085525456571,0.00125890024691216,0.00507638869677494,0.0412364744222644,0.0645070461791433,0.0135215676731386,1
