iteration,model number,run directory,ref run,status,fitness,model,ofv,success,covariance,correlation,ntheta,nomega,nsigm,condition num,r penalty,python penalty,translation messages,runtime errors
0,60,C:/git/adpoBenchmark/NONMEM/run\0\60,,Done,99999999.000000,0511,99999999,False,False,False,6,6,2,99999999,0,0,,
0,61,C:/git/adpoBenchmark/NONMEM/run\0\61,,Done,99999999.000000,1011,99999999,False,False,False,8,1,2,99999999,0,0,,
0,62,C:/git/adpoBenchmark/NONMEM/run\0\62,,Done,99999999.000000,1111,99999999,False,False,False,8,2,2,99999999,0,0,,
0,64,C:/git/adpoBenchmark/NONMEM/run\0\64,,Done,99999999.000000,1311,99999999,False,False,False,8,4,2,99999999,0,0,,
0,63,C:/git/adpoBenchmark/NONMEM/run\0\63,,Done,99999999.000000,1211,99999999,False,False,False,8,3,2,99999999,0,0,,
0,65,C:/git/adpoBenchmark/NONMEM/run\0\65,,Done,99999999.000000,1411,99999999,False,False,False,8,3,2,99999999,0,0,,
0,66,C:/git/adpoBenchmark/NONMEM/run\0\66,,Done,99999999.000000,1511,99999999,False,False,False,8,6,2,99999999,0,0,,
0,67,C:/git/adpoBenchmark/NONMEM/run\0\67,,Done,99999999.000000,2011,99999999,False,False,False,10,1,2,99999999,0,0,,
0,68,C:/git/adpoBenchmark/NONMEM/run\0\68,,Done,99999999.000000,2111,99999999,False,False,False,10,2,2,99999999,0,0,,
0,69,C:/git/adpoBenchmark/NONMEM/run\0\69,,Done,99999999.000000,2211,99999999,False,False,False,10,3,2,99999999,0,0,,
0,70,C:/git/adpoBenchmark/NONMEM/run\0\70,,Done,99999999.000000,2311,99999999,False,False,False,10,4,2,99999999,0,0,,
0,71,C:/git/adpoBenchmark/NONMEM/run\0\71,,Done,99999999.000000,2411,99999999,False,False,False,10,3,2,99999999,0,0,,
0,72,C:/git/adpoBenchmark/NONMEM/run\0\72,,Done,99999999.000000,2511,99999999,False,False,False,10,6,2,99999999,0,0,,
