
 WorkFlow
Start 2024-10-22 11:23:13  Run : 19.4333333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa       K12      K21    dVdWT
    1 7453.885 1.51860   0.941562 4100.51 3862.120 51.8468 1.199870 2.0295000 2.955530 1.102400
    2 7370.789 1.42683   0.889575 4220.76 3707.630 53.1162 1.200380 2.0497000 2.925750 1.104630
    3 7273.306 1.32950   0.844351 4355.61 3543.910 53.7858 1.199190 2.0601100 2.909840 1.106230
    4 7164.920 1.22805   0.806543 4500.55 3385.900 53.9397 1.196800 2.0626000 2.908640 1.107090
    5 7066.685 1.12244   0.771717 4634.57 3252.430 53.5753 1.192320 2.0549100 2.920070 1.105870
    6 7039.668 1.13859   0.684698 4784.10 3342.780 53.3368 1.214810 2.0675100 2.898660 1.099950
    7 6992.553 1.39151   0.639143 7836.63 2829.890 40.5786 1.820340 2.1056200 2.768210 1.156530
    8 6976.978 1.37629   0.655836 8002.22 2624.470 41.9988 1.879930 2.1584700 2.739700 1.165610
    9 6969.607 1.42045   0.633649 7804.48 2366.940 41.1215 1.906920 2.1319900 2.856590 1.180770
   10 6961.848 1.49931   0.620178 7932.38 2139.630 42.1740 1.824950 2.0714100 3.256230 1.167050
   11 6951.132 1.61584   0.602989 8123.63 1900.930 40.2761 1.450540 1.8778400 3.025110 1.151710
   12 6947.245 1.65404   0.597284 8219.67 1841.400 39.2836 1.300090 1.8529600 2.971930 1.168800
   13 6943.552 1.68192   0.591828 8320.62 1817.630 38.3090 1.155940 1.8520400 2.937790 1.195250
   14 6941.524 1.71268   0.589323 8407.25 1765.490 37.3027 1.057330 1.8724400 2.887930 1.081790
   15 6938.149 1.69109   0.573921 8352.39 1900.680 40.2071 1.017300 1.5916700 2.658240 0.662625
   16 6923.021 1.66942   0.540928 8695.05 2054.530 59.1434 0.864650 0.5581070 3.606120 0.452720
   17 6906.751 1.37180   0.519537 5563.98 1867.130 47.2580 1.374420 3.2002300 6.270390 0.056222
   18 6903.036 1.26121   0.544077 4184.25 1661.390 33.9383 1.182690 3.6871700 3.624330 0.579542
   19 6895.233 1.27498   0.560609 4494.46 1684.890 42.4012 1.203880 1.9775400 2.537270 1.306660
   20 6889.475 1.38444   0.561084 5422.89 1706.170 49.4037 1.136450 1.2018300 2.527250 0.796624
   21 6882.161 1.46690   0.516224 5141.81 1480.860 47.3788 1.177310 1.3812200 2.609080 0.813435
   22 6879.386 1.44339   0.527757 4927.97 1389.640 47.6583 1.095520 1.3594100 2.448970 1.061840
   23 6878.133 1.44178   0.526371 4680.11 1303.220 48.3298 1.061020 1.2447300 2.220870 0.928485
   24 6876.953 1.45425   0.515446 4152.64 1142.560 48.5861 1.036190 1.0255900 1.822560 0.974505
   25 6876.156 1.45957   0.512050 3626.32  987.186 51.7955 1.058920 0.6999640 1.433950 0.941335
   26 6875.922 1.46052   0.514171 3534.42  958.469 51.1456 1.064600 0.7332060 1.353720 0.929500
   27 6874.103 1.46787   0.520823 3412.99  932.410 57.2656 1.153030 0.4232700 1.154810 0.965441
   28 6872.962 1.49749   0.522194 3221.34  853.917 63.3173 1.226010 0.1990120 0.912953 1.022130
