
 WorkFlow
Start 2024-10-19 15:12:21  Run : 9.43333333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa
    1 7618.698 1.49223   0.965595 4149.16 3815.660 49.7646 1.192610
    2 7455.108 1.38265   0.932909 4295.26 3645.990 49.4650 1.185420
    3 7174.178 1.05418   0.418582 5340.46 3991.660 57.9804 1.111980
    4 7136.659 1.03743   0.433250 5751.05 3904.900 57.0505 1.126820
    5 7085.215 1.17612   0.405504 6658.34 3473.910 54.7906 1.154070
    6 7060.014 1.24382   0.393253 6692.99 3086.820 50.0680 1.005900
    7 7048.798 1.27036   0.395628 6441.70 2703.460 50.7035 1.007520
    8 7041.962 1.28471   0.386124 6136.06 2438.500 48.3216 1.083680
    9 7018.245 1.44823   0.376233 5088.14 1618.860 44.7629 1.100280
   10 7009.289 1.51376   0.380188 4679.69 1253.960 50.5851 1.107420
   11 6969.871 1.57572   0.407881 4364.50 1023.050 41.2901 0.843403
   12 6961.560 1.51331   0.533580 4564.78 1199.810 38.2628 1.258370
   13 6954.013 1.51081   0.533411 5077.55 1510.710 40.8003 1.155200
   14 6942.120 1.52328   0.499542 4276.91 1094.560 47.4624 1.017320
   15 6940.274 1.52176   0.493726 4682.88 1324.000 43.6307 0.907337
   16 6938.550 1.52973   0.507450 4544.17 1233.360 42.1672 1.008640
   17 6937.305 1.53252   0.500928 4380.54 1169.220 43.2133 0.972505
   18 6937.072 1.53374   0.500969 4314.55 1155.180 42.9854 0.970624
   19 6936.676 1.53763   0.501273 4168.79 1123.560 42.3955 0.963245
   20 6936.447 1.54595   0.502114 4055.90 1083.450 42.6558 0.972188
   21 6935.798 1.58961   0.504843 3520.09  915.294 43.8873 1.024310
   22 6935.108 1.60262   0.505027 3489.27  898.225 44.4114 1.053350
   23 6932.568 1.67602   0.499424 3165.52  752.170 45.5438 1.147350
   24 6929.747 1.76967   0.493513 2707.75  607.944 46.5851 1.218380
   25 6926.451 1.87330   0.479321 2612.35  573.295 46.3901 1.216810
   26 6924.482 1.92046   0.476978 2587.56  533.975 46.3863 1.189310
   27 6923.231 1.95570   0.475756 2763.89  543.425 46.0871 1.096600
   28 6923.053 1.97640   0.476587 2576.24  494.657 46.7050 1.121770
   29 6922.843 1.94554   0.478686 2624.72  518.869 46.6435 1.127410
   30 6922.821 1.93889   0.478196 2633.17  524.744 46.6268 1.136540
   31 6922.818 1.93351   0.477809 2646.38  529.671 46.6244 1.141070
   32 6922.788 1.92135   0.475803 2714.99  549.155 46.3270 1.134860
   33 6922.732 1.91650   0.476626 2700.95  547.307 46.3390 1.134600
   34 6922.666 1.91196   0.478480 2667.77  538.992 46.6051 1.135460
   35 6922.614 1.90609   0.477588 2698.13  547.154 46.4012 1.132580
   36 6922.590 1.89339   0.476885 2750.07  560.321 46.1491 1.118540
   37 6922.491 1.89093   0.476527 2763.15  562.446 46.0021 1.111880
   38 6922.366 1.89252   0.476743 2742.04  554.561 46.0469 1.111110
   39 6922.336 1.89113   0.476360 2748.71  556.353 45.9602 1.108300
   40 6922.336 1.88621   0.476209 2760.72  561.130 45.8878 1.106130
   41 6922.336 1.88618   0.476208 2760.80  561.166 45.8874 1.106140
   42 6922.335 1.88713   0.476045 2761.08  561.314 45.8828 1.106330
   43 6922.334 1.88750   0.475986 2761.28  561.389 45.8817 1.106460
   44 6922.321 1.89792   0.476732 2755.91  561.698 45.8419 1.095440
   45 6922.300 1.89232   0.476661 2750.99  560.754 45.7603 1.085160
   46 6922.297 1.89292   0.476050 2754.02  560.384 45.7413 1.085130
