Scenario,ID,nVmax,nKm,nV,nKa,nVmax_shrinkage,nKm_shrinkage,nV_shrinkage,nKa_shrinkage
WorkFlow,1,0.360603338630344,-0.285458612583187,-0.622438067128648,0.117755878534556,0.115032,0.370004,0.231798,0.651389
WorkFlow,2,-0.521096655061549,0.078623558115329,0.448218541781508,-0.0911037355897608,0.561732,0.318349,0.514106,0.590385
WorkFlow,3,-0.205894994214872,-0.307286565414372,-0.474952464706083,-0.47677843324996,0.134792,0.340464,0.297836,0.512682
WorkFlow,4,-0.425085953837207,-0.323520800092377,0.573504237465221,0.195585027633856,0.475808,0.311773,0.468179,0.638709
WorkFlow,5,-0.00984966585432304,0.18966700059864,0.368811706665447,0.159866504980407,0.587407,0.335843,0.422189,0.645038
WorkFlow,6,0.123693392927056,-0.309928887868672,0.329531549691779,0.25200337581696,0.447522,0.338431,0.367936,0.63215
WorkFlow,7,0.0538658394551935,0.546238296008406,0.156184851308515,0.201667138610071,0.623346,0.344331,0.404122,0.645001
WorkFlow,8,-0.137606115310579,0.131355463834564,0.0312622010204116,-0.395815718474634,0.476561,0.349374,0.428306,0.525519
WorkFlow,9,-0.207326630204038,0.124212917168588,0.375273064099162,0.215352780149602,0.570064,0.32289,0.445064,0.635985
WorkFlow,10,-0.376654693324191,-0.00504594563448471,0.368711031580599,-0.572442874590915,0.525879,0.345006,0.481251,0.498195
WorkFlow,11,-0.30493423788511,-0.30030346938914,0.118990231902996,-0.344126691658974,0.33788,0.329721,0.38281,0.532231
WorkFlow,12,0.0355059211239404,-0.159497582382627,-0.149715013290593,0.0402715919402961,0.278518,0.345372,0.364533,0.575488
WorkFlow,13,0.44124428445587,-0.582733132760893,-0.0857495416917353,-0.0628461875460577,0.140812,0.397985,0.250113,0.596451
WorkFlow,14,0.28508698599559,-0.0733144690037405,-0.0561573117302686,0.565898553712258,0.340141,0.339731,0.322232,0.690675
WorkFlow,15,0.446957154816263,-0.350590508056991,-0.713067194798759,-0.059672102333836,0.096245,0.379011,0.219066,0.584964
WorkFlow,16,0.346350485960648,0.214503656450576,0.0408170544323931,0.123767781424919,0.481354,0.361644,0.359176,0.606488
WorkFlow,17,0.20482091057248,-0.296452734693772,-0.153446283801245,0.527448763160914,0.283418,0.341017,0.327437,0.687867
WorkFlow,18,-0.464544642081632,-0.115505685234735,-0.000697081023531163,-0.300200966612918,0.35279,0.328529,0.445018,0.546717
WorkFlow,19,0.134134594665672,0.154305502139611,0.226791577771008,-0.323055151523428,0.54066,0.362135,0.390562,0.542559
WorkFlow,20,0.188847271572096,-0.0583229206618827,-0.185705643564996,-0.145889523494321,0.287356,0.373112,0.337456,0.557034
WorkFlow,21,-0.329999106654321,0.0727979422246404,0.465020874211461,-0.42148638276716,0.575518,0.355124,0.487194,0.520175
WorkFlow,22,-0.540908326706355,-0.12746548539404,-0.630552567936956,-0.827426926422802,0.180157,0.345686,0.386317,0.481006
WorkFlow,23,0.991456481463195,-0.0357067690339121,-0.522465995389887,0.436371433042311,0.189555,0.432855,0.250216,0.692395
WorkFlow,24,0.0460295462988722,0.0439279553034278,-0.0300221896569009,-0.116226052868543,0.427947,0.352592,0.38372,0.572602
WorkFlow,25,0.15750814576692,0.169248678321068,0.280344015747737,0.707459096324891,0.573213,0.32668,0.390098,0.738781
WorkFlow,26,-0.0193674518310191,0.333530634748518,0.163259655028253,0.544399510253773,0.556017,0.335946,0.4216,0.72492
WorkFlow,27,-0.457311031799161,-0.121841567315794,0.224422060339717,-0.60473945725118,0.437437,0.347704,0.471609,0.494366
WorkFlow,28,0.226749411176277,0.0468844160178891,-0.156824296113601,0.120959260347701,0.331224,0.361376,0.338808,0.594625
WorkFlow,29,0.0745659391914266,-0.0647907109105616,-0.525053853928792,-0.0749935374189587,0.244108,0.359678,0.323928,0.568809
WorkFlow,30,-0.137912037434402,0.0280304127738165,-0.192482626822823,0.274232069583714,0.340197,0.329627,0.393457,0.642549
WorkFlow,31,-0.228607819727622,-0.286621810442543,0.313288064798714,0.438839193195927,0.397026,0.321876,0.415152,0.696197
WorkFlow,32,0.323544549066417,0.304599860736537,-0.589786400210594,0.0261264310301704,0.276766,0.370935,0.314701,0.590481
WorkFlow,33,-0.146407590251264,-0.60994273657502,0.0358498416096451,-0.342438651952872,0.250011,0.35096,0.368821,0.536379
WorkFlow,34,-0.179686667057291,-0.429241828940163,0.210708901973446,-0.0557045646751696,0.33123,0.326561,0.412969,0.58991
WorkFlow,35,-0.4095590150031,-0.0588087289116943,-0.308049025569357,-0.440969033965788,0.262551,0.332023,0.416396,0.530219
WorkFlow,36,-0.195276851276653,0.123392409604005,0.464856898558458,-0.464723566371817,0.613741,0.343137,0.431973,0.516223
WorkFlow,37,-0.238612820832708,0.278384541686341,0.0811218220464556,-0.762968137174956,0.536033,0.354887,0.425085,0.501965
WorkFlow,38,-0.141872187187561,-0.0589444158314709,-0.392932748321879,-0.431888618532947,0.319189,0.341502,0.399262,0.516564
