Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,dVdWT,CEps
WorkFlow,0.0131304789606231,,,,,,,,,
WorkFlow,-0.000594423206854098,0.000726567494403747,,,,,,,,
WorkFlow,-1652.17141183312,199.745421379469,365222955.663358,,,,,,,
WorkFlow,-525.523513616859,50.7396273468121,104173417.463498,30326432.3055054,,,,,,
WorkFlow,0.161472156316989,-0.0997690656490031,-207762.639205781,-55761.7526690629,9970.44644441426,,,,,
WorkFlow,-0.00354295208985407,-0.000672302556831067,-853.002141757121,-163.292615723705,8.97390709273221,0.0913642766354141,,,,
WorkFlow,-0.0727390321922607,0.0206852997601302,37117.7181774867,11687.1336077422,-3625.64699750298,0.645135346074429,1524.88893660192,,,
WorkFlow,-0.152506526437404,-0.0287834728029966,-20472.3754336482,213.058715723033,-3453.53613932288,8.09321503351069,1845.25412302854,2889.59025731567,,
WorkFlow,0.00353382645513121,0.00045258872995354,-317.817070065928,-119.174212883508,0.687884523827995,-0.012809811322869,-1.24215160538105,-3.13769682439029,0.11849960043057,
WorkFlow,-0.408341159950546,0.0262842901787119,25432.9654145654,9921.66755413536,1136.88866816237,-1.54105838798411,-558.712359264611,-799.370510923873,0.42172687845621,425.903380800523
