Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,dVdWT,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,-0.192449811550919,1,,,,,,,,
WorkFlow,-0.754459246715212,0.387757152573683,1,,,,,,,
WorkFlow,-0.832800941865135,0.341820913397944,0.989845054227215,1,,,,,,
WorkFlow,0.0141123733796524,-0.0370681251276569,-0.10887573943785,-0.101407120863552,1,,,,,
WorkFlow,-0.102290849524012,-0.0825160766758214,-0.147666804938759,-0.0980996990496561,0.297328168979961,1,,,,
WorkFlow,-0.0162557917713381,0.0196519083448599,0.049737405822859,0.0543473335851495,-0.929841891991865,0.0546567142605822,1,,,
WorkFlow,-0.0247588240351921,-0.0198649317486341,-0.0199283375939632,0.000719731502171169,-0.643411131589381,0.498097930530237,0.879060863706872,1,,
WorkFlow,0.0895873088037993,0.0487761267033829,-0.0483103009826744,-0.0628656178835744,0.0200124284962201,-0.123110779175635,-0.0924053370033103,-0.169564292843016,1,
WorkFlow,-0.172674151376504,0.0472500994889125,0.0644855522619028,0.0873008488472082,0.551702677216144,-0.247044585515639,-0.693287911935151,-0.720567129865255,0.0593631987529115,1
