
 WorkFlow
Start 2024-10-22 11:59:06  Run : 9.18333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa     K12     K21    dVdWT
    1 7059.907 0.941729   0.475007 4773.22 2981.190 75.2776 1.187420 2.38354 2.47980 1.125080
    2 7040.342 0.812428   0.435496 4984.72 2781.340 76.8864 1.194390 2.39624 2.47108 1.127210
    3 6884.955 0.887896   0.633271 5202.60 2593.090 67.8923 1.292300 2.17954 2.80522 1.118660
    4 6820.542 1.088860   0.535359 5459.20 2449.820 54.7082 1.343360 1.92636 3.20629 1.100170
    5 6804.681 1.292760   0.449623 6012.23 1954.840 46.2094 1.304190 1.75288 3.51431 1.076560
    6 6793.699 1.276050   0.490390 6068.35 2016.200 50.1354 1.224650 1.79791 3.47237 1.074300
    7 6788.716 1.354100   0.493307 6315.10 1859.580 50.9318 1.105470 1.77300 3.56003 1.059950
    8 6787.437 1.416840   0.486254 6442.97 1781.650 50.7838 1.011920 1.74416 3.64860 1.042780
    9 6787.031 1.423090   0.486819 6402.54 1760.060 50.3638 1.013230 1.73969 3.65487 1.036120
   10 6785.342 1.452630   0.487138 6078.63 1661.000 48.4561 1.003780 1.71665 3.68253 0.988133
   11 6784.332 1.484710   0.487462 5721.32 1522.990 47.6678 0.978806 1.70011 3.69106 0.934398
   12 6783.233 1.500700   0.485789 5368.11 1437.030 47.8229 0.992091 1.70078 3.66964 0.887727
   13 6782.302 1.531960   0.485242 5161.36 1336.830 48.9906 1.001780 1.71099 3.65779 0.854913
   14 6781.942 1.549850   0.486073 5016.75 1280.730 50.5329 1.020540 1.73131 3.63583 0.838744
   15 6781.833 1.566750   0.485606 4969.90 1249.530 50.5670 1.015290 1.72926 3.64588 0.834522
   16 6781.505 1.616690   0.483732 4771.65 1163.570 50.1534 0.996726 1.71527 3.67137 0.826878
   17 6781.018 1.651170   0.484265 4567.16 1102.820 50.1176 0.993916 1.71399 3.68659 0.837545
   18 6779.778 1.759020   0.488513 3693.99  871.148 50.2413 1.012430 1.72438 3.71193 0.875903
   19 6779.702 1.794420   0.489100 3206.59  785.290 50.6002 1.047440 1.74706 3.71745 0.949391
   20 6779.400 1.809020   0.487614 3210.64  762.370 50.7037 1.042550 1.74405 3.71569 0.935855
   21 6779.212 1.777240   0.486522 3407.49  814.973 50.7425 1.041250 1.74317 3.70060 0.931798
   22 6779.167 1.785460   0.485631 3256.33  782.388 50.8681 1.049700 1.74528 3.68931 0.935558
   23 6779.028 1.775570   0.485492 3243.26  782.368 50.8561 1.052200 1.74504 3.67251 0.941989
   24 6778.741 1.728740   0.485344 3250.42  797.119 50.7687 1.062130 1.74218 3.60037 0.956687
   25 6778.686 1.727990   0.485785 3264.09  800.354 50.6808 1.055800 1.73928 3.59353 0.953817
   26 6778.528 1.728060   0.487125 3284.28  805.993 50.2665 1.030690 1.72539 3.53978 0.946480
   27 6778.359 1.757260   0.487081 3265.47  793.178 50.1411 1.022620 1.72166 3.53531 0.935216
   28 6778.204 1.789810   0.486666 3232.33  774.397 50.1715 1.027120 1.72024 3.50926 0.919123
   29 6778.071 1.844980   0.486663 3095.73  728.067 49.9649 1.029410 1.71695 3.44477 0.913630
   30 6778.041 1.885820   0.486864 2975.89  691.320 49.8477 1.031480 1.71600 3.39971 0.914188
   31 6777.994 1.892880   0.486776 2909.00  679.407 49.7702 1.037130 1.71826 3.37160 0.919076
   32 6777.991 1.906200   0.486609 2824.28  661.198 49.6596 1.040370 1.71882 3.33131 0.925222
   33 6777.991 1.906210   0.486609 2824.23  661.187 49.6595 1.040370 1.71882 3.33128 0.925225
   34 6777.969 1.899950   0.486226 2826.67  660.119 49.6112 1.038480 1.71765 3.33058 0.925537
   35 6777.961 1.898320   0.486333 2826.03  660.554 49.6208 1.037640 1.71785 3.33023 0.926028
   36 6777.929 1.882490   0.487106 2819.93  665.164 49.6532 1.028890 1.71851 3.32302 0.931855
   37 6777.918 1.880980   0.486997 2822.40  665.607 49.6290 1.029260 1.71851 3.32155 0.933008
   38 6777.859 1.875470   0.485776 2841.38  668.637 49.4356 1.035120 1.71814 3.30463 0.940579
   39 6777.808 1.865880   0.485071 2857.86  675.239 49.2690 1.037250 1.71863 3.28090 0.952274
   40 6777.787 1.857180   0.484679 2884.63  685.174 49.0853 1.040700 1.72016 3.24686 0.969817
   41 6777.777 1.861620   0.485272 2871.32  680.999 49.2128 1.036570 1.71970 3.26126 0.962193
