
 WorkFlow
Start 2024-09-04 20:05:07  Run : 1.23333333333333 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa
    1 7825.680   0.723514 1310.53 1194.26 16.7607 1.16832
    2 7809.002   0.645949 1324.67 1208.14 16.3616 1.18253
    3 7798.086   0.592033 1331.32 1216.30 15.7229 1.18175
    4 7793.854   0.416174 1395.25 1395.52 12.6981 1.26127
    5 7776.345   0.516091 1399.69 1388.54 13.8297 1.20781
    6 7768.670   0.507802 1400.43 1496.66 13.6768 1.17868
    7 7758.805   0.496397 1482.65 1653.63 12.7899 1.13225
    8 7756.816   0.494068 1491.78 1725.83 13.0605 1.11682
    9 7755.762   0.495032 1518.27 1733.64 13.1138 1.11555
   10 7753.511   0.499438 1524.99 1716.00 13.3909 1.12050
   11 7752.929   0.498568 1525.44 1718.84 12.9908 1.12168
   12 7752.652   0.495979 1508.35 1719.19 12.8208 1.11164
   13 7752.447   0.495539 1513.01 1717.87 12.9057 1.11308
   14 7752.349   0.495400 1515.83 1731.87 12.9346 1.11506
   15 7752.330   0.496200 1534.25 1772.19 12.9590 1.11315
   16 7752.276   0.496813 1539.03 1782.89 12.9748 1.11169
   17 7752.234   0.497055 1541.60 1786.73 12.9550 1.10745
   18 7752.191   0.496513 1547.33 1804.84 12.9298 1.10471
   19 7752.050   0.491973 1588.44 1932.37 12.6936 1.09179
   20 7751.992   0.494459 1572.84 1889.29 12.8288 1.10155
   21 7751.908   0.495595 1585.77 1925.43 12.8776 1.10639
   22 7751.826   0.497848 1638.83 2047.66 12.9044 1.10632
   23 7751.815   0.498161 1752.09 2315.46 12.8689 1.08043
   24 7751.749   0.497525 1689.74 2170.18 12.8866 1.09148
   25 7751.605   0.495947 1709.76 2227.86 12.8424 1.09157
   26 7751.515   0.495793 1728.77 2285.97 12.8421 1.09278
   27 7751.450   0.496591 1766.14 2379.66 12.8553 1.09309
   28 7750.843   0.497539 1829.06 2529.44 12.8818 1.09202
   29 7750.593   0.497844 1911.21 2699.73 12.8953 1.08912
   30 7750.460   0.496388 1905.00 2699.06 12.9267 1.09452
   31 7750.258   0.494410 1923.85 2749.30 12.9691 1.09960
   32 7750.110   0.493705 1946.99 2799.69 12.9708 1.09889
   33 7749.994   0.493187 1990.12 2882.33 12.9265 1.09387
   34 7749.957   0.493698 1969.49 2859.15 12.9079 1.09312
   35 7749.942   0.493648 1963.26 2855.45 12.8583 1.09155
   36 7749.940   0.493470 1963.29 2855.07 12.8367 1.09099
