Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,0.000938521574355373,,,,,,,,,
WorkFlow,0.563415745457266,63093446.4840992,,,,,,,,
WorkFlow,-2.45141123491821,32551218.9640799,17491155.2934908,,,,,,,
WorkFlow,0.0412470292647088,34383.9398322951,18054.1030390107,156.438971912206,,,,,,
WorkFlow,0.00024320625246487,759.539994388055,444.191833099961,2.52265198658833,0.12868964438652,,,,,
WorkFlow,1.34242818565571e-05,-127.035007769501,-65.278698462348,-0.375250531834636,-0.0114630233527799,0.00171310741525826,,,,
WorkFlow,-4.37703211644198e-05,-300.358136917468,-158.94526492436,-1.15112831627573,-0.0348686226962223,0.00545664064924043,0.0179777094249057,,,
WorkFlow,1.17494655096005e-05,-49.7636227079546,-27.1662626667968,-0.0923609317820998,-0.00290544232040792,0.000386675739880277,0.00117251758239505,0.000103487934775723,,
WorkFlow,-4.55861922802712e-06,-60.5365037796565,-33.1203037365336,-0.13536178384656,-0.00377038653279322,0.000481902427986318,0.00141300505196432,0.000130583849692802,0.000219832485214954,
WorkFlow,-0.0101853649820366,-5019.15648205946,-2381.02925356463,3.67169970551247,-0.0376895756015876,0.0081879129597235,0.0281186614980076,0.00264758868619819,0.00329189292205326,5.08319523133742
