
 WorkFlow
Start 2024-09-04 18:01:40  Run : 14.0666666666667 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa      K12     K21       K13       K31
   57 6997.569   0.455890 2531.34 2999.01 13.76720 0.672172 0.798816 1.83455 0.1361580 0.0807098
   58 6997.539   0.451646 2561.13 2999.31 12.98890 0.651527 0.879517 1.82649 0.1519510 0.0870913
   59 6997.444   0.453936 2546.00 2999.17 13.28980 0.661378 0.872462 1.82883 0.1434930 0.0835050
   60 6997.392   0.454709 2547.53 2999.29 13.21050 0.659900 0.897852 1.82694 0.1431260 0.0828784
   61 6997.322   0.459543 2592.73 2999.99 11.79920 0.621317 1.216930 1.81115 0.1549040 0.0815767
   62 6997.124   0.457636 2574.87 2999.97 12.16520 0.629380 1.111310 1.85233 0.1560870 0.0833551
   63 6996.959   0.456700 2567.14 2999.82 11.85080 0.615097 1.148790 1.92899 0.1711770 0.0870502
   64 6996.828   0.456495 2572.39 2999.60 11.42860 0.602018 1.224080 1.96113 0.1811980 0.0882680
   65 6996.535   0.455659 2581.24 2999.14 10.29550 0.571543 1.482560 2.04139 0.2055900 0.0893821
   66 6996.322   0.455308 2586.13 2998.93  9.32913 0.541524 1.720710 2.07554 0.2342340 0.0912568
   67 6996.097   0.454234 2564.62 2999.28  8.99252 0.526818 1.831680 2.10514 0.2548220 0.0917584
   68 6996.014   0.455441 2564.87 2999.32  8.57637 0.504975 1.960030 2.09878 0.2736230 0.0929152
   69 6996.013   0.455783 2565.40 2999.41  8.55503 0.502235 1.966030 2.09023 0.2755130 0.0930580
   70 6995.984   0.455744 2558.91 2999.82  8.21449 0.489038 2.064780 2.09341 0.2925580 0.0939121
   71 6995.888   0.454382 2553.36 2999.97  7.99041 0.486513 2.151800 2.06188 0.2982000 0.0921586
   72 6995.821   0.451400 2545.26 2999.80  7.40733 0.477457 2.368210 1.99178 0.3140410 0.0886498
   73 6995.713   0.451420 2536.74 2999.43  6.99424 0.460302 2.511370 1.98035 0.3357090 0.0888659
   74 6995.670   0.451119 2519.10 2998.05  6.18130 0.428527 2.819320 1.95085 0.3794560 0.0884676
   75 6995.566   0.452508 2513.40 2999.09  6.72086 0.442934 2.612140 2.03512 0.3577280 0.0894936
   76 6995.552   0.452661 2508.06 2998.93  6.52451 0.433095 2.686740 2.04172 0.3691550 0.0892748
   77 6995.551   0.452745 2505.26 2998.84  6.42383 0.428021 2.725620 2.04520 0.3751650 0.0891640
   78 6995.548   0.452594 2503.17 2998.97  6.38064 0.427082 2.738510 2.04474 0.3785290 0.0892972
   79 6995.534   0.452599 2494.78 2999.18  6.31102 0.425842 2.774330 2.05389 0.3848140 0.0893624
   80 6995.533   0.452943 2478.99 2999.65  6.10431 0.423275 2.879380 2.03928 0.4003740 0.0892957
   81 6995.532   0.452999 2477.20 2999.71  6.08002 0.422562 2.892490 2.03817 0.4023440 0.0892806
   82 6995.500   0.453719 2478.98 3000.00  6.04116 0.420654 2.927240 2.00848 0.4059000 0.0892854
   83 6995.496   0.453846 2478.41 2999.94  5.99499 0.419537 2.955670 1.99342 0.4090720 0.0892412
   84 6995.481   0.453732 2484.41 2999.67  5.96353 0.420395 2.952260 1.98853 0.4091380 0.0892399
   85 6995.472   0.453512 2486.59 2999.59  5.96454 0.419016 2.947900 1.99135 0.4091840 0.0892262
   86 6995.447   0.452918 2498.77 2999.08  5.96178 0.413489 2.926580 1.99838 0.4091520 0.0891542
   87 6995.440   0.452873 2502.76 2998.35  5.94037 0.411537 2.927590 1.99443 0.4120370 0.0894275
   88 6995.435   0.453011 2499.70 2997.24  5.92466 0.412320 2.931160 1.99413 0.4182410 0.0903164
   89 6995.429   0.453241 2501.16 2996.03  5.90572 0.411583 2.921760 2.00435 0.4229530 0.0908792
