"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",6465.77532
"WorkFlow",1,"CMultStdev",0.601122
"WorkFlow",1,"tvVmax",6585.42
"WorkFlow",1,"tvKm",2191.69
"WorkFlow",1,"tvV",42.4285
"WorkFlow",1,"tvKa",1.06186
"WorkFlow",1,"K12",1.43099
"WorkFlow",1,"K21",3.65321
"WorkFlow",2,"-2LL",6445.37342
"WorkFlow",2,"CMultStdev",0.503232
"WorkFlow",2,"tvVmax",6705.17
"WorkFlow",2,"tvKm",2092.73
"WorkFlow",2,"tvV",44.7585
"WorkFlow",2,"tvKa",1.00313
"WorkFlow",2,"K12",1.51968
"WorkFlow",2,"K21",3.61311
"WorkFlow",3,"-2LL",6439.64996
"WorkFlow",3,"CMultStdev",0.502993
"WorkFlow",3,"tvVmax",6697
"WorkFlow",3,"tvKm",2025.22
"WorkFlow",3,"tvV",47.288
"WorkFlow",3,"tvKa",0.930146
"WorkFlow",3,"K12",1.63353
"WorkFlow",3,"K21",3.56477
"WorkFlow",4,"-2LL",6433.80398
"WorkFlow",4,"CMultStdev",0.515276
"WorkFlow",4,"tvVmax",6666.9
"WorkFlow",4,"tvKm",1907.67
"WorkFlow",4,"tvV",49.8641
"WorkFlow",4,"tvKa",0.867849
"WorkFlow",4,"K12",1.78246
"WorkFlow",4,"K21",3.47688
"WorkFlow",5,"-2LL",6424.6974
"WorkFlow",5,"CMultStdev",0.525601
"WorkFlow",5,"tvVmax",6533.73
"WorkFlow",5,"tvKm",1752.28
"WorkFlow",5,"tvV",52.2603
"WorkFlow",5,"tvKa",0.844418
"WorkFlow",5,"K12",1.95197
"WorkFlow",5,"K21",3.35656
"WorkFlow",6,"-2LL",6415.14694
"WorkFlow",6,"CMultStdev",0.548339
"WorkFlow",6,"tvVmax",5997.51
"WorkFlow",6,"tvKm",1339.46
"WorkFlow",6,"tvV",55.6493
"WorkFlow",6,"tvKa",0.851481
"WorkFlow",6,"K12",2.28279
"WorkFlow",6,"K21",3.12827
"WorkFlow",7,"-2LL",6401.95524
"WorkFlow",7,"CMultStdev",0.542825
"WorkFlow",7,"tvVmax",5899.56
"WorkFlow",7,"tvKm",1664.34
"WorkFlow",7,"tvV",52.3078
"WorkFlow",7,"tvKa",0.903565
"WorkFlow",7,"K12",2.04976
"WorkFlow",7,"K21",3.28074
"WorkFlow",8,"-2LL",6394.57316
"WorkFlow",8,"CMultStdev",0.519757
"WorkFlow",8,"tvVmax",5884.45
"WorkFlow",8,"tvKm",1606.25
"WorkFlow",8,"tvV",48.3499
"WorkFlow",8,"tvKa",0.90402
"WorkFlow",8,"K12",1.78342
"WorkFlow",8,"K21",3.52811
