Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,CMultStdev,0.00087962313,,,,,,,,,,
WorkFlow,tvVmax,0.032251791,270471.31,,,,,,,,,
WorkFlow,tvKm,-0.76613036,92126.485,37230.029,,,,,,,,
WorkFlow,tvV,0.047074849,-1603.6679,-764.14561,164.08708,,,,,,,
WorkFlow,tvKa,0.00021231542,-40.36904,-15.511456,1.6026373,0.023472952,,,,,,
WorkFlow,K12,-0.0016697699,89.189796,48.783073,-19.312056,-0.15489589,2.7487747,,,,,
WorkFlow,K21,-0.00082664111,-83.098105,-19.514209,0.82534901,0.041704659,0.26443248,0.37210792,,,,
WorkFlow,stdev0,-0.00010116362,3.0063411,2.0281419,0.031357599,-0.0033548881,-0.036722967,-0.026291649,0.0082361115,,,
WorkFlow,nVmax-nVmax,0.00014467987,2.7103763,0.56626432,-0.0043061271,-0.00032612015,-0.00071277252,-0.0030905536,-0.00034002403,0.00050236425,,
WorkFlow,nV-nVmax,1.8629654e-05,2.3655698,0.62233376,0.0029341241,-0.00056094681,-0.0045758714,-0.0037927039,-8.5634094e-05,0.00022490399,0.00045806644,
WorkFlow,nV-nV,3.3357161e-05,2.5194107,0.76664172,0.0077663157,-0.0010521934,-0.012338521,-0.0095575474,0.00015575829,0.00011099042,0.00060057861,0.0015030392
