
 WorkFlow
Start 2024-10-22 08:09:57  Run : 10.0666666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa       K12       K21       K13       K31
    1 8194.214 1.857130   1.133350 3894.40 4140.870 45.0075 1.199260 1.0232100 3.9177100 0.1181180 0.0239525
    2 6988.180 1.865590   1.145400 3885.15 4153.770 44.2670 1.196060 0.7790560 4.1158000 0.1224660 0.0238015
    3 6985.318 1.865690   1.139720 3885.08 4153.890 44.4046 1.193860 0.7802140 4.1144700 0.1224170 0.0238257
    4 6909.068 1.870510   0.932053 3881.41 4159.850 49.7690 1.108630 0.7904580 4.0899000 0.1210960 0.0248388
    5 6828.931 1.878450   0.673482 3875.41 4169.620 57.8047 0.988955 0.7735480 4.0793100 0.1197050 0.0263678
    6 6817.528 1.887070   0.469009 3868.75 4180.490 65.8353 0.877826 0.7300720 4.0905000 0.1187240 0.0279198
    7 6780.425 1.881380   0.623859 3872.96 4173.590 59.5422 0.960941 0.7384180 4.1006300 0.1196710 0.0268110
    8 6777.812 1.882290   0.602089 3872.13 4174.940 60.3014 0.948802 0.7329180 4.1021000 0.1193920 0.0270068
    9 6776.902 1.882890   0.585438 3871.37 4176.110 60.8277 0.938870 0.7295720 4.1020300 0.1189350 0.0271936
   10 6776.083 1.883060   0.578868 3870.86 4176.880 60.9335 0.933958 0.7279790 4.1014100 0.1183980 0.0273286
   11 6770.067 1.883530   0.546714 3867.03 4182.570 60.8605 0.904101 0.7177830 4.0955000 0.1137460 0.0283654
   12 6760.596 1.883140   0.517689 3860.88 4191.510 59.5709 0.865541 0.7030000 4.0846900 0.1055510 0.0301069
   13 6746.303 1.880810   0.502431 3850.75 4206.000 55.7488 0.816478 0.6791030 4.0662900 0.0914281 0.0331644
   14 6739.123 1.878430   0.530287 3847.61 4210.200 52.8933 0.815610 0.6679100 4.0628100 0.0861166 0.0342079
   15 6738.265 1.877550   0.544550 3848.33 4208.910 52.4001 0.824955 0.6686230 4.0631300 0.0862883 0.0340851
   16 6738.070 1.877110   0.548266 3849.00 4207.850 52.3805 0.829556 0.6701500 4.0623500 0.0866142 0.0339975
   17 6737.919 1.876520   0.550000 3849.75 4206.590 52.4321 0.833932 0.6711180 4.0610800 0.0868937 0.0339458
   18 6737.539 1.874420   0.552200 3851.81 4203.030 52.5562 0.845471 0.6721670 4.0560600 0.0872275 0.0339484
   19 6736.744 1.868780   0.554476 3857.06 4193.890 52.9288 0.874121 0.6726400 4.0426500 0.0877863 0.0340739
   20 6735.470 1.857920   0.552859 3865.80 4178.340 53.3739 0.921209 0.6688880 4.0157100 0.0872805 0.0347293
   21 6733.253 1.834050   0.544035 3884.53 4145.050 54.3717 1.022170 0.6564300 3.9567900 0.0854906 0.0364185
   22 6732.058 1.809150   0.529764 3902.92 4112.160 55.1944 1.121240 0.6390050 3.8945800 0.0822256 0.0386254
   23 6731.968 1.798650   0.522891 3910.08 4099.200 55.4253 1.158550 0.6293540 3.8685900 0.0802743 0.0397302
   24 6731.939 1.796870   0.520175 3910.37 4098.360 55.2952 1.156910 0.6253020 3.8639600 0.0790832 0.0401368
   25 6731.770 1.798370   0.518747 3908.18 4101.970 55.2024 1.137190 0.6227630 3.8681400 0.0783692 0.0402155
   26 6731.553 1.801470   0.517401 3904.29 4108.460 55.0524 1.103950 0.6213230 3.8758700 0.0774813 0.0402178
   27 6731.113 1.801840   0.517941 3903.29 4110.080 55.3264 1.082410 0.6206870 3.8780800 0.0772867 0.0401397
   28 6729.481 1.789480   0.520596 3910.19 4097.350 57.1175 1.048170 0.6135440 3.8538100 0.0757717 0.0406802
   29 6727.012 1.747690   0.526980 3938.94 4046.210 61.3495 1.070920 0.5937260 3.7639400 0.0724047 0.0428651
   30 6724.928 1.661010   0.537958 4002.43 3935.730 69.1563 1.199900 0.5533450 3.5730400 0.0657736 0.0480918
   31 6724.774 1.634360   0.541362 4022.91 3900.780 71.2873 1.258220 0.5405950 3.5141200 0.0638312 0.0498601
   32 6724.773 1.630470   0.541663 4025.88 3895.720 71.5551 1.267440 0.5386080 3.5055000 0.0634960 0.0501443
   33 6724.768 1.626230   0.541896 4029.15 3890.180 71.8165 1.278250 0.5363720 3.4961300 0.0631198 0.0504619
   34 6724.768 1.626120   0.541901 4029.23 3890.030 71.8233 1.278540 0.5363100 3.4958700 0.0631090 0.0504707
   35 6722.693 1.523660   0.545789 4115.85 3760.960 68.6443 1.317040 0.5335190 3.4349400 0.0631991 0.0489365
   36 6719.301 1.425060   0.549600 4203.10 3634.660 65.5371 1.354940 0.5254070 3.3913100 0.0635365 0.0474295
   37 6716.422 1.348960   0.544762 4270.97 3537.350 64.5150 1.370110 0.5196430 3.3562500 0.0638120 0.0464242
   38 6712.275 1.240190   0.538351 4372.56 3396.790 63.2104 1.390620 0.5109590 3.3070300 0.0641851 0.0450744
   39 6709.367 1.172740   0.529786 4430.34 3303.380 62.3231 1.407950 0.5039320 3.2644300 0.0645768 0.0440143
   40 6708.396 0.967880   0.481351 4552.78 2967.690 60.1389 1.481520 0.4713950 3.0313400 0.0671702 0.0388638
   41 6699.785 1.089970   0.481207 4389.40 3086.080 62.7747 1.453740 0.4780070 3.0416500 0.0674872 0.0392292
   42 6692.934 1.049580   0.518083 4313.21 3029.280 63.4875 1.418330 0.4666310 2.9793100 0.0658400 0.0398740
   43 6681.641 0.923450   0.519989 4116.74 2783.070 64.4665 1.388770 0.4262420 2.7230100 0.0640097 0.0388439
   44 6673.400 0.827460   0.508754 3825.50 2510.330 68.7367 1.339930 0.3806290 2.4050200 0.0626325 0.0374188
