Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,GAMMA,0.0019047353,,,,,,,,,,,,,
WorkFlow,CMultStdev,-7.1483573e-05,0.00033298606,,,,,,,,,,,,
WorkFlow,tvVmax,1.1247847,-1.6335384,132313.38,,,,,,,,,,,
WorkFlow,tvKm,-1.1086756,1.0507111,-83206.553,58362.5,,,,,,,,,,
WorkFlow,tvV,-0.071990195,-0.0043433737,117.01544,-160.9122,22.963571,,,,,,,,,
WorkFlow,tvKa,-0.0016770642,-4.2739325e-05,-9.939224,6.4700864,0.23880986,0.020384344,,,,,,,,
WorkFlow,K12,7.7356893e-05,3.9080295e-06,-0.78845716,0.6386932,-0.014028653,-7.855253e-05,2.3569722e-05,,,,,,,
WorkFlow,K21,-0.00038363077,-1.0837273e-05,3.663152,-1.8573411,0.021801703,8.8039863e-05,-5.2303708e-05,0.00045529358,,,,,,
WorkFlow,K13,2.2363911e-05,-1.5438726e-05,0.56091452,-0.34885671,-0.0020508619,-4.1393073e-05,2.9422569e-06,-1.3979564e-05,7.8070504e-06,,,,,
WorkFlow,K31,9.2992947e-06,1.0434643e-06,-0.031407704,0.016761202,0.00029086204,-9.6529471e-06,-1.43601e-06,-1.0258465e-05,-8.2863755e-07,2.0800754e-06,,,,
WorkFlow,stdev0,-0.028202019,0.12649364,28767.089,-690.20902,-372.21256,-1.3906857,0.43917815,2.0250783,0.20415973,-0.058071176,73606.846,,,
WorkFlow,nVmax-nVmax,0.00073948893,7.926954e-05,-9.9537673,7.4213615,-0.016932239,-0.00022132622,0.00011350159,-0.00039495151,-2.4729222e-05,5.441977e-06,2.5635702,0.0025372687,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,-0.00018052336,-3.7158849e-05,5.3627408,-2.5972324,0.014815459,-0.00032890402,-3.9313314e-05,0.00023417982,2.0674398e-05,3.6563645e-06,3.8665999,-0.00032975433,0,0.001040063
