Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,-0.0897585662809286,1,,,,,,,,,
WorkFlow,0.070851688254409,-0.24610159749152,1,,,,,,,,
WorkFlow,-0.105152646977851,0.23834352740837,-0.946866416380836,1,,,,,,,
WorkFlow,-0.344220177774657,-0.0496700348442261,0.0671307649656712,-0.138996007243169,1,,,,,,
WorkFlow,-0.269143569335818,-0.0164046233622473,-0.191382503571002,0.187583558277381,0.34904720743702,1,,,,,
WorkFlow,0.365093810006301,0.044113099792593,-0.446476904449584,0.54456299257427,-0.603002382957627,-0.113327310320164,1,,,,
WorkFlow,-0.411955543498457,-0.0278330771855541,0.471962293635069,-0.360312188784151,0.213218531553217,0.0288991603763806,-0.50490478717775,1,,,
WorkFlow,0.183394767404335,-0.302799345653944,0.551888460177818,-0.516816831788672,-0.153169821548214,-0.103761396040504,0.216900156729115,-0.234479223667342,1,,
WorkFlow,0.147738317338252,0.0396483395531075,-0.059868003221018,0.0481059358602474,0.0420850444253401,-0.0468783170657199,-0.205088213892238,-0.333347390520316,-0.205627679271746,1,
WorkFlow,-0.00238179167028081,0.0255503326138392,0.291497565410617,-0.0105306355169042,-0.286293980184585,-0.0359022383083364,0.333429787332137,0.34981380900081,0.269319304820831,-0.148409593949566,1
