
 WorkFlow
Start 2024-09-21 23:46:58  Run : 16.4166666666667 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa   dVdWT
    1 7431.079 1.50316   0.954710 4132.19 3829.310 50.1405 1.187860 1.10292
    2 7344.747 1.39700   0.905330 4249.75 3706.650 49.8509 1.174900 1.09735
    3 7278.614 1.32254   0.845275 4385.09 3615.050 49.6637 1.172460 1.08916
    4 7227.498 1.28911   0.780760 4544.39 3516.020 49.4512 1.178130 1.08356
    5 7099.922 1.26852   0.566719 5164.85 3059.050 48.1518 1.211260 1.06829
    6 7076.652 1.32103   0.401913 6644.69 1891.750 43.8605 1.226910 1.03459
    7 7025.064 1.39097   0.558252 6796.51 1871.220 45.0862 1.168410 1.04704
    8 7020.338 1.51892   0.512470 6804.19 1778.530 46.6313 1.094570 1.05894
    9 7014.625 1.52238   0.510522 6742.00 1572.880 46.5577 1.031520 1.06431
   10 7009.205 1.49415   0.509188 6229.93 1541.800 46.0729 0.995264 1.07156
   11 6998.609 1.50394   0.500113 5234.33 1347.920 43.9123 0.987943 1.08997
   12 6987.682 1.58655   0.488668 3855.45  970.084 41.3312 1.016090 1.13372
   13 6983.585 1.61476   0.498442 3967.27  966.239 42.4345 1.061560 1.14246
   14 6979.615 1.71232   0.503711 3919.18  861.246 45.4640 1.103040 1.17762
   15 6978.692 1.73666   0.507451 3743.12  837.935 45.4345 1.139300 1.18415
   16 6977.783 1.77759   0.509119 3634.60  767.918 44.9103 1.166880 1.18388
   17 6976.775 1.79225   0.506826 3655.27  774.134 44.8350 1.161610 1.17035
   18 6974.266 1.83561   0.497998 3503.25  747.154 44.2922 1.115770 1.14241
   19 6973.405 1.83167   0.498713 3463.79  739.790 44.0339 1.094230 1.12710
   20 6972.594 1.79697   0.502491 3357.61  730.612 43.8058 1.082500 1.10765
   21 6972.096 1.76317   0.505640 3407.69  746.200 44.3048 1.096550 1.11652
   22 6971.804 1.74791   0.505931 3431.39  759.662 44.8000 1.118290 1.13436
   23 6971.609 1.74961   0.505208 3445.90  761.805 45.3185 1.143300 1.16135
   24 6971.430 1.75749   0.504401 3431.97  756.547 45.3665 1.148190 1.17245
   25 6971.129 1.76425   0.503242 3404.53  749.879 45.0109 1.141510 1.18232
   26 6971.038 1.77146   0.502263 3351.60  737.455 44.5680 1.127270 1.17389
   27 6970.939 1.76722   0.503196 3385.20  745.780 44.4505 1.115450 1.16110
   28 6970.894 1.76010   0.504464 3428.27  757.869 44.4105 1.107640 1.14415
   29 6970.873 1.75719   0.504665 3431.20  759.838 44.4019 1.107730 1.13348
   30 6970.833 1.75176   0.504949 3427.46  761.617 44.3879 1.111930 1.09668
   31 6970.831 1.75366   0.504347 3415.27  758.537 44.5447 1.116030 1.09582
   32 6970.831 1.75402   0.504260 3414.88  758.323 44.5849 1.117010 1.09775
   33 6970.831 1.75593   0.503984 3404.64  754.060 44.7391 1.117240 1.11048
   34 6970.830 1.75661   0.504076 3397.85  752.057 44.7328 1.116320 1.12025
   35 6970.808 1.75475   0.504168 3402.97  754.873 44.5720 1.113720 1.12869
   36 6970.791 1.75134   0.504179 3413.35  759.957 44.3942 1.112720 1.13502
   37 6970.789 1.75384   0.503722 3412.18  757.832 44.4262 1.112290 1.13351
   38 6970.785 1.75729   0.503037 3409.17  754.577 44.4942 1.112060 1.13750
   39 6970.785 1.75838   0.502910 3406.93  753.292 44.5234 1.112160 1.13930
   40 6970.784 1.75859   0.502870 3406.48  753.046 44.5277 1.112120 1.13980
   41 6970.770 1.75336   0.502808 3406.48  757.692 44.4330 1.109870 1.13872
   42 6970.769 1.75372   0.502900 3405.38  757.126 44.4434 1.110340 1.13831
   43 6970.769 1.75374   0.502905 3405.31  757.092 44.4440 1.110370 1.13828
   44 6970.766 1.75691   0.503581 3404.38  757.090 44.4743 1.108580 1.13786
   45 6970.761 1.75803   0.504054 3407.69  755.862 44.5045 1.105810 1.13713
   46 6970.758 1.75890   0.504141 3407.91  754.835 44.5095 1.104100 1.13601
