
 WorkFlow
Start 2024-10-22 12:41:49  Run : 5.55 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa        K12      K21         K13       K31    dVdWT
   48 6598.143 2.81458   0.483952 6887.00  760.188 83.7807 2.263300 0.00571406 0.668680 0.002490130 0.3615120 0.567081
   49 6597.536 2.77218   0.483984 6777.42  744.233 84.5966 2.297850 0.00488172 0.707089 0.003337810 0.3655510 0.605532
   50 6596.813 2.74064   0.483888 6640.26  718.433 85.4907 2.379330 0.00478494 0.791179 0.004389510 0.3660250 0.674602
   51 6596.364 2.75926   0.484092 6610.89  706.532 85.6827 2.446750 0.00612378 0.855521 0.004293140 0.3598930 0.712806
   52 6596.137 2.78664   0.484350 6612.76  706.565 85.5604 2.497950 0.00771106 0.908293 0.004003930 0.3532650 0.735229
   53 6596.069 2.79503   0.484485 6612.45  711.359 85.6064 2.523360 0.00877346 0.932636 0.003733200 0.3495500 0.741450
   54 6596.040 2.79660   0.484432 6599.54  712.892 85.6787 2.531370 0.00910771 0.940977 0.003663230 0.3484650 0.746347
   55 6595.968 2.80198   0.484260 6556.50  714.651 85.8132 2.536320 0.00958070 0.945612 0.003501350 0.3470040 0.757110
   56 6595.834 2.82067   0.484003 6463.38  714.529 85.8806 2.520230 0.00991727 0.927452 0.003197180 0.3459320 0.775215
   57 6595.638 2.86449   0.483837 6294.22  708.852 85.7345 2.458070 0.00971843 0.863409 0.002714010 0.3463420 0.803205
   58 6595.521 2.90368   0.483824 6156.82  698.351 85.3333 2.382360 0.00880452 0.794270 0.002469230 0.3488830 0.824401
   59 6595.489 2.91040   0.483948 6134.90  692.995 85.0467 2.364370 0.00840653 0.779284 0.002494830 0.3499590 0.828134
   60 6595.483 2.90884   0.484022 6146.55  692.639 84.9413 2.364060 0.00832216 0.778780 0.002522230 0.3501630 0.823202
   61 6595.479 2.90896   0.484041 6145.94  691.804 84.8947 2.363010 0.00824384 0.777971 0.002545870 0.3503490 0.820343
   62 6595.462 2.91148   0.484106 6126.10  688.344 84.8332 2.364290 0.00813542 0.779290 0.002601970 0.3504250 0.812561
   63 6595.424 2.92009   0.484086 6007.86  674.376 84.7832 2.374690 0.00783732 0.790452 0.002835820 0.3503890 0.795014
   64 6595.358 2.93561   0.484125 5852.74  659.854 84.9480 2.391450 0.00787321 0.806598 0.002981400 0.3491620 0.779272
   65 6595.154 3.00817   0.484212 5232.40  607.430 85.9028 2.460270 0.00871053 0.875379 0.003312600 0.3423470 0.739994
   66 6594.958 3.04728   0.484201 4957.40  587.569 86.8129 2.520370 0.01011840 0.938634 0.003336430 0.3362520 0.728590
   67 6594.778 3.12425   0.483928 4662.99  566.432 87.7187 2.568660 0.01225440 0.998152 0.003098840 0.3282890 0.746070
   68 6594.750 3.15772   0.483895 4618.54  562.564 87.6602 2.558710 0.01243600 0.991339 0.002994160 0.3272710 0.758029
   69 6594.750 3.15778   0.483895 4618.37  562.547 87.6603 2.558700 0.01243610 0.991341 0.002994160 0.3272690 0.758031
   70 6594.748 3.16075   0.483984 4617.98  562.796 87.6648 2.558680 0.01243700 0.991162 0.002994850 0.3272030 0.757994
   71 6594.747 3.16209   0.484010 4618.61  562.722 87.6219 2.558650 0.01243830 0.990909 0.002994980 0.3271100 0.757951
   72 6594.745 3.16619   0.483884 4621.81  562.379 87.5648 2.558450 0.01244320 0.989967 0.002995830 0.3267700 0.757776
   73 6594.742 3.17701   0.483612 4630.99  561.371 87.4651 2.557700 0.01245860 0.987039 0.002998690 0.3257100 0.757238
   74 6594.740 3.17792   0.483654 4632.29  561.122 87.4889 2.557380 0.01246340 0.986176 0.002999130 0.3254000 0.757103
   75 6594.734 3.17750   0.484038 4632.31  560.612 87.6057 2.556220 0.01247960 0.983209 0.003000290 0.3243380 0.756615
   76 6594.731 3.17875   0.484335 4631.65  560.383 87.6342 2.555240 0.01249470 0.980463 0.003002020 0.3233540 0.756174
   77 6594.729 3.17776   0.484451 4627.81  560.434 87.6343 2.554320 0.01250900 0.977882 0.003002550 0.3224330 0.755795
   78 6594.728 3.17624   0.484312 4621.30  560.769 87.5897 2.553330 0.01252560 0.974919 0.003001930 0.3213800 0.755419
   79 6594.728 3.17453   0.484018 4616.58  561.116 87.5504 2.552990 0.01253230 0.973768 0.002999470 0.3209780 0.755349
