Scenario,Label,nVmax,nV
WorkFlow,Omega
WorkFlow,nVmax,0.0985909638124803,0.0575875552060375
WorkFlow,nV,0.0575875552060375,0.174442213351837
WorkFlow,Correlation
WorkFlow,nVmax,1,0.43912108541156
WorkFlow,nV,0.43912108541156,1
WorkFlow,Shrinkage,0.126711073007742,0.114791654133955
