
 WorkFlow
Start 2024-10-19 15:21:56  Run : 4.23333333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa
    1 7794.766 1.50475   0.950594 4125.20 3826.230 51.4225 1.197020
    2 7696.885 1.40304   0.909876 4265.42 3644.910 52.2459 1.195440
    3 7569.785 1.29787   0.877981 4415.98 3464.750 52.4637 1.194210
    4 7382.923 1.19049   0.853437 4567.20 3298.070 52.1471 1.192330
    5 7186.969 1.08139   0.833197 4708.84 3156.080 51.5315 1.189860
    6 7081.014 1.14780   0.630879 5243.33 3032.650 53.5477 1.174900
    7 6979.383 1.34862   0.492437 6015.79 2508.180 43.0173 1.216260
    8 6958.198 1.39660   0.478967 6117.53 2297.100 42.4714 1.179880
    9 6952.787 1.37649   0.452128 5874.66 2258.590 42.7093 1.167870
   10 6935.284 1.42792   0.476751 6625.04 2055.850 49.9973 1.235690
   11 6932.407 1.45699   0.472147 6690.53 2064.120 47.9666 1.113110
   12 6923.388 1.47865   0.466483 6349.15 1905.640 42.6890 1.221440
   13 6920.975 1.43983   0.477673 6453.34 2037.950 41.5683 1.164680
   14 6913.630 1.45825   0.471916 6440.48 1971.750 40.7156 1.059650
   15 6899.366 1.49666   0.468775 6174.50 1775.140 41.5753 0.871126
   16 6897.236 1.52431   0.475384 5328.82 1356.370 44.7259 1.029580
   17 6893.247 1.48621   0.486996 5553.03 1542.550 44.4620 0.936540
   18 6892.908 1.51105   0.483562 5541.11 1504.870 43.1509 0.906862
   19 6892.757 1.51195   0.483874 5482.46 1483.310 43.4801 0.926663
   20 6892.512 1.51468   0.484578 5342.98 1443.210 43.7045 0.941136
   21 6892.115 1.52794   0.484376 5017.33 1349.520 43.5762 0.961362
   22 6891.728 1.54485   0.483924 4765.88 1268.070 43.6534 0.965619
   23 6891.007 1.57433   0.485231 4405.92 1156.000 43.7678 0.968456
   24 6890.312 1.61496   0.485769 3943.30 1018.310 43.7904 0.969708
   25 6889.730 1.62962   0.486226 3946.33 1005.820 44.2950 0.965327
   26 6889.472 1.66010   0.486791 3726.06  928.669 44.9777 0.980492
   27 6889.368 1.65067   0.487062 3806.05  957.427 44.9702 0.988660
   28 6889.362 1.65929   0.486712 3763.87  931.924 45.3338 0.998711
   29 6889.320 1.66129   0.487084 3739.09  930.159 45.1873 0.996837
   30 6889.314 1.66652   0.487160 3718.33  924.339 45.1217 0.994871
   31 6889.308 1.66856   0.487101 3715.65  921.280 45.1862 0.995992
