Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,CMultStdev,0.00037738691,,,,,,,,,,,,
WorkFlow,tvVmax,-2.6821591,473067.44,,,,,,,,,,,
WorkFlow,tvKm,0.61043348,-162902.86,114016.1,,,,,,,,,,
WorkFlow,tvV,-0.0032087367,384.5211,-255.27028,27.774533,,,,,,,,,
WorkFlow,tvKa,-3.3029365e-05,-10.493669,-5.5705471,0.44739638,0.023460154,,,,,,,,
WorkFlow,K12,-2.1661557e-05,-7.7347468,4.7765871,-0.085275045,-0.0019036411,0.00057756916,,,,,,,
WorkFlow,K21,-1.3705227e-05,-4.4910612,5.1781389,-0.17006939,-0.0053959979,0.0004082205,0.0070667395,,,,,,
WorkFlow,K13,-2.9780429e-05,0.80738354,-0.053846632,-0.016502178,-0.00042958792,9.6053644e-05,-0.00013704983,3.7647334e-05,,,,,
WorkFlow,K31,-6.0943055e-06,-0.90158305,0.5211013,-0.0035470744,-6.3089324e-05,5.497461e-05,-0.00013171115,1.3617884e-05,3.2452329e-05,,,,
WorkFlow,stdev0,-0.0021398069,83.289496,51.894927,-0.55611119,-0.011053717,0.0031074324,0.046747932,-0.00011603028,-0.00019755621,1.0885127,,,
WorkFlow,nVmax-nVmax,0.00026135078,-82.282911,43.309745,-0.091734311,-0.0018303299,0.0020284146,0.0030501531,-6.5171595e-05,0.00011528907,0.032978428,0.022843114,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,-0.00010274323,13.765207,-7.8249929,0.0029013831,-0.00053688418,-0.00027253666,0.00034773296,4.2958421e-05,-5.3284413e-06,0.016519597,-0.0025380163,0,0.0031121075
