Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,0.000377386912626032,,,,,,,,,
WorkFlow,-2.68215905159876,473067.442518818,,,,,,,,
WorkFlow,0.61043348100789,-162902.85851099,114016.100418363,,,,,,,
WorkFlow,-0.00320873674117962,384.521101425241,-255.27028487838,27.7745326730036,,,,,,
WorkFlow,-3.30293648672207e-05,-10.4936691876183,-5.57054714458299,0.447396381411692,0.0234601544234997,,,,,
WorkFlow,-2.16615574850845e-05,-7.73474683049079,4.77658713169064,-0.0852750447815318,-0.00190364113883782,0.000577569164885619,,,,
WorkFlow,-1.37052265444805e-05,-4.49106115128261,5.17813888642688,-0.170069388136126,-0.00539599792489284,0.000408220496030208,0.00706673950759523,,,
WorkFlow,-2.97804288908119e-05,0.807383536319331,-0.0538466318935995,-0.0165021783923022,-0.000429587915178648,9.60536440901452e-05,-0.000137049829176274,3.76473342906732e-05,,
WorkFlow,-6.09430549752246e-06,-0.90158305027683,0.521101301070672,-0.00354707441883064,-6.30893235463199e-05,5.49746099700957e-05,-0.000131711146358099,1.36178835796111e-05,3.24523294819378e-05,
WorkFlow,-0.00213980690642853,83.2894959129688,51.8949270589038,-0.556111185871422,-0.0110537173297794,0.0031074324424031,0.0467479318788401,-0.000116030282206441,-0.000197556205456706,1.08851272705159
