Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,-0.200737994170476,1,,,,,,,,
WorkFlow,0.0930597403710058,-0.701429591164355,1,,,,,,,
WorkFlow,-0.0313413204101588,0.106080429012905,-0.1434477667211,1,,,,,,
WorkFlow,-0.0111004701094959,-0.0996094187136531,-0.10770833917504,0.554247386276562,1,,,,,
WorkFlow,-0.0463974660193173,-0.467931814356168,0.588616745477462,-0.673281337246521,-0.517151333376236,1,,,,
WorkFlow,-0.00839234366325321,-0.0776743982026817,0.182423616732833,-0.383878003729048,-0.41907986889123,0.202061356921101,1,,,
WorkFlow,-0.249844857723228,0.191315978831676,-0.0259901231055553,-0.510329627465542,-0.457108721119328,0.651395465511965,-0.265706293986426,1,,
WorkFlow,-0.0550690855642099,-0.230102464438563,0.270904442882369,-0.118147349103602,-0.0723048616232161,0.401547770506013,-0.27503632094479,0.389600552007377,1,
WorkFlow,-0.105575807464587,0.116067852194043,0.147307567710068,-0.101139661310647,-0.0691713362693646,0.123931852186278,0.533010918576168,-0.0181253949147612,-0.0332392320921747,1
