
 WorkFlow
Start 2024-10-19 11:47:51  Run : 3.88333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31
    1 7264.227   1.131020 3817.80 4177.190 45.4377 1.193910 0.975870 3.97593 0.1205000 0.0236530
    2 6815.088   1.136550 3802.28 4191.000 45.0609 1.190100 0.834403 4.08621 0.1225960 0.0238972
    3 6806.395   1.132450 3800.17 4192.750 45.1124 1.186960 0.815888 4.09975 0.1226930 0.0240152
    4 6803.298   1.125840 3799.28 4193.330 45.2392 1.183000 0.809828 4.10364 0.1225270 0.0241282
    5 6789.479   1.086320 3795.61 4195.320 46.0361 1.159770 0.789410 4.11516 0.1213040 0.0247617
    6 6763.161   0.997967 3789.00 4198.230 47.9166 1.107320 0.759861 4.12914 0.1182590 0.0261923
    7 6713.215   0.808705 3776.35 4202.580 52.3924 0.989348 0.714634 4.14579 0.1110200 0.0295718
    8 6657.819   0.651588 3768.09 4203.450 56.6797 0.884343 0.697458 4.14415 0.1040060 0.0328412
    9 6592.332   0.527376 3767.68 4197.720 60.5525 0.795962 0.724094 4.11224 0.0969366 0.0358951
   10 6585.763   0.601449 3773.74 4195.450 58.1468 0.848982 0.737001 4.10980 0.1002190 0.0341255
   11 6584.062   0.584013 3773.60 4194.470 58.6515 0.835406 0.732964 4.11052 0.0991734 0.0346419
   12 6581.919   0.565574 3775.81 4190.650 59.1192 0.818798 0.728079 4.11064 0.0975461 0.0353968
   13 6577.714   0.547291 3783.37 4180.500 59.4149 0.797386 0.720472 4.11029 0.0947894 0.0366248
   14 6566.447   0.523653 3810.14 4147.580 59.2629 0.755398 0.702897 4.10788 0.0878690 0.0397250
   15 6550.204   0.521620 3859.52 4090.410 57.7503 0.714024 0.676285 4.10530 0.0784661 0.0441651
   16 6538.220   0.552693 3909.84 4035.650 55.3141 0.702700 0.652942 4.10541 0.0718731 0.0474043
   17 6536.079   0.571534 3937.23 4007.420 54.1022 0.704662 0.647983 4.10173 0.0692993 0.0486732
   18 6535.110   0.586322 3943.91 4002.140 53.6367 0.719316 0.647844 4.10248 0.0700763 0.0481824
   19 6534.356   0.585534 3946.17 4000.610 53.7315 0.724418 0.650415 4.10100 0.0705874 0.0479124
   20 6531.627   0.582856 3970.90 3980.750 54.0613 0.755902 0.660300 4.09347 0.0729886 0.0467230
   21 6529.394   0.578767 4009.44 3945.440 54.0192 0.775740 0.659749 4.08745 0.0730417 0.0468379
   22 6507.778   0.524032 4450.36 3556.630 53.0960 0.950233 0.627881 4.02970 0.0678315 0.0514092
   23 6495.335   0.487905 4763.85 3303.570 52.4798 1.071820 0.603399 3.99259 0.0642563 0.0547573
   24 6476.116   0.432133 5451.75 2811.810 51.3308 1.383360 0.559531 3.91761 0.0615652 0.0591296
   25 6464.132   0.456672 5498.08 2782.520 50.4506 1.426860 0.555431 3.91562 0.0626855 0.0584178
   26 6460.121   0.455896 5580.92 2727.830 50.3378 1.461620 0.545635 3.90958 0.0624215 0.0589433
   27 6456.989   0.454339 5604.30 2709.340 50.5274 1.449610 0.534385 3.91097 0.0609947 0.0600562
   28 6454.108   0.450064 5560.55 2731.350 51.2817 1.389460 0.523902 3.92017 0.0589744 0.0614146
   29 6451.691   0.446284 5505.26 2758.760 52.1844 1.311960 0.513980 3.93051 0.0563566 0.0631464
   30 6449.206   0.444599 5461.46 2779.130 53.1957 1.247450 0.509200 3.93801 0.0546445 0.0642682
   31 6444.079   0.444471 5465.71 2760.780 55.0604 1.180360 0.503920 3.94057 0.0527888 0.0656603
   32 6434.061   0.448299 5580.19 2661.160 58.5952 1.139290 0.501201 3.93072 0.0523254 0.0664033
   33 6418.050   0.460764 5966.42 2383.310 65.0878 1.174900 0.498489 3.89231 0.0543143 0.0662103
   34 6410.069   0.478286 6233.64 2206.010 69.9517 1.217170 0.500281 3.86611 0.0577469 0.0646053
   35 6407.791   0.489577 6409.96 2101.980 71.2427 1.267050 0.494719 3.85008 0.0587307 0.0644406
   36 6407.173   0.496225 6447.13 2080.890 71.4838 1.282160 0.492479 3.84729 0.0593646 0.0641043
   37 6407.149   0.495692 6489.31 2058.720 71.3199 1.298520 0.488961 3.84359 0.0591093 0.0644059
   38 6407.138   0.495237 6486.51 2060.360 71.3121 1.298540 0.488924 3.84376 0.0591612 0.0643520
   39 6407.125   0.494190 6469.60 2069.670 71.2093 1.294360 0.489019 3.84499 0.0591426 0.0642675
   40 6407.117   0.494157 6476.76 2065.370 71.2510 1.295810 0.488604 3.84411 0.0591136 0.0642730
   41 6407.090   0.492365 6522.39 2036.890 71.4977 1.303740 0.485034 3.83729 0.0587687 0.0642375
   42 6407.007   0.493770 6558.10 2012.890 71.8177 1.308330 0.482934 3.83067 0.0587014 0.0638424
   43 6406.893   0.499393 6672.56 1936.480 72.4259 1.328680 0.475216 3.80678 0.0583818 0.0621788
   44 6406.717   0.500947 6658.82 1941.690 72.4341 1.322300 0.475545 3.80616 0.0584121 0.0617384
   45 6406.004   0.507203 6630.34 1937.060 72.4161 1.295140 0.471308 3.78851 0.0579145 0.0581909
   46 6405.424   0.506315 6606.65 1937.300 72.0789 1.272900 0.465444 3.77711 0.0567759 0.0562361
   47 6404.295   0.498359 6618.42 1878.340 70.9376 1.209590 0.434579 3.71815 0.0514733 0.0490748
   48 6403.973   0.493803 6649.93 1864.460 70.4730 1.224240 0.430371 3.71560 0.0508221 0.0496285
   49 6403.914   0.491843 6689.70 1849.550 70.3998 1.247260 0.430232 3.71636 0.0510376 0.0505059
   50 6403.913   0.491608 6694.07 1843.890 70.3804 1.245330 0.428520 3.71199 0.0508129 0.0500085
   51 6403.913   0.491585 6694.22 1843.570 70.3789 1.245110 0.428389 3.71171 0.0507940 0.0499765
   52 6403.913   0.491585 6694.22 1843.570 70.3789 1.245110 0.428389 3.71171 0.0507940 0.0499765
   53 6403.204   0.492413 6386.88 1871.820 73.3461 1.311580 0.429660 3.65251 0.0502065 0.0506147
   54 6402.792   0.490735 6257.86 1824.630 73.4829 1.358680 0.419197 3.61250 0.0476455 0.0531126
   55 6402.675   0.490627 6234.38 1818.180 73.5105 1.365810 0.415910 3.61344 0.0473589 0.0534821
   56 6402.237   0.490869 6364.00 1770.120 74.6688 1.373140 0.410005 3.60118 0.0476281 0.0521921
   57 6401.921   0.498635 6418.21 1690.460 75.0224 1.402660 0.398207 3.55295 0.0471904 0.0494517
   58 6401.720   0.491162 6402.39 1635.680 75.8412 1.416940 0.388314 3.51583 0.0464639 0.0480598
   59 6401.709   0.490222 6390.32 1614.830 76.0383 1.420290 0.384546 3.49740 0.0461856 0.0475209
   60 6401.605   0.495393 6330.55 1613.400 76.2463 1.413840 0.383247 3.48795 0.0457228 0.0480097
   61 6401.557   0.492768 6276.93 1611.190 76.0687 1.415190 0.383085 3.49074 0.0454694 0.0483180
   62 6401.533   0.492148 6250.51 1601.030 75.9357 1.414230 0.382805 3.49409 0.0453424 0.0483829
   63 6401.505   0.489402 6105.07 1545.610 75.3974 1.406920 0.381381 3.49454 0.0451198 0.0482532
   64 6401.445   0.491045 6114.96 1548.870 75.6254 1.408200 0.381475 3.48901 0.0452675 0.0480838
   65 6401.414   0.496620 6001.45 1485.590 76.7080 1.424030 0.377151 3.44328 0.0455950 0.0471581
   66 6401.312   0.494407 5988.86 1472.990 76.1522 1.415070 0.377736 3.44726 0.0457950 0.0471806
   67 6401.241   0.492172 5914.66 1445.360 75.8084 1.405720 0.378191 3.44133 0.0460992 0.0473001
   68 6401.144   0.487723 5547.62 1305.820 74.9188 1.389130 0.377899 3.40195 0.0472635 0.0471520
   69 6401.051   0.488717 5397.38 1241.140 74.9685 1.391910 0.376465 3.36977 0.0477865 0.0468359
   70 6400.973   0.488309 5159.85 1156.670 74.8732 1.388720 0.374946 3.32890 0.0484378 0.0464296
   71 6400.710   0.491345 4843.36 1047.170 75.9786 1.410460 0.369614 3.25005 0.0488854 0.0455616
   72 6400.632   0.496258 3996.83  731.883 77.1073 1.456390 0.356699 3.03950 0.0512445 0.0433226
   73 6400.589   0.494398 3749.51  696.884 76.0211 1.451450 0.358110 2.98364 0.0520615 0.0427678
   74 6400.374   0.493611 3813.84  699.393 75.8469 1.433070 0.358810 2.97619 0.0526462 0.0424793
   75 6400.331   0.492846 3682.62  656.110 75.5278 1.415880 0.358479 2.92010 0.0538154 0.0423214
   76 6400.259   0.491636 3762.73  681.524 74.8229 1.392710 0.361244 2.90169 0.0545546 0.0427430
   77 6400.236   0.490931 3659.17  653.730 74.0089 1.372930 0.362208 2.82643 0.0560872 0.0427239
   78 6400.198   0.491718 3609.64  644.419 74.0928 1.380990 0.361073 2.79190 0.0562681 0.0430690
   79 6400.197   0.491847 3595.91  641.161 74.0975 1.381820 0.360815 2.78280 0.0563508 0.0431112
   80 6400.162   0.492892 3578.47  640.442 73.7043 1.369980 0.360267 2.70843 0.0573132 0.0435939
   81 6400.160   0.493459 3562.43  637.547 73.5344 1.363140 0.359124 2.64844 0.0580303 0.0439777
   82 6400.155   0.493665 3546.52  634.838 72.8737 1.346930 0.356653 2.52960 0.0595561 0.0446890
   83 6400.148   0.493388 3565.23  638.726 73.2776 1.357500 0.358601 2.61654 0.0584735 0.0442048
   84 6400.110   0.493105 3593.58  646.597 72.4250 1.338140 0.356489 2.54174 0.0594829 0.0445103
   85 6400.094   0.492753 3632.88  655.108 71.8880 1.322900 0.354103 2.47597 0.0602622 0.0447021
   86 6400.089   0.492693 3681.46  664.503 71.5724 1.312340 0.350967 2.41462 0.0607938 0.0448801
   87 6400.089   0.492703 3688.75  665.903 71.5741 1.312180 0.350559 2.41067 0.0607830 0.0448852
   88 6400.089   0.492725 3699.85  668.159 71.5896 1.312270 0.349883 2.40450 0.0607439 0.0449008
   89 6400.088   0.492727 3701.23  668.455 71.5936 1.312360 0.349800 2.40395 0.0607340 0.0449013
   90 6400.088   0.492727 3701.57  668.534 71.5945 1.312370 0.349779 2.40379 0.0607315 0.0449014
   91 6400.088   0.492558 3700.99  668.329 71.5909 1.312130 0.349676 2.40310 0.0607102 0.0448960
   92 6400.088   0.492506 3700.75  668.256 71.5895 1.312050 0.349632 2.40291 0.0607043 0.0448943
   93 6400.088   0.492522 3700.69  668.263 71.5910 1.312060 0.349638 2.40276 0.0606988 0.0448938
   94 6400.088   0.492519 3700.67  668.258 71.5909 1.312060 0.349634 2.40275 0.0606985 0.0448937
   95 6400.087   0.492514 3700.65  668.253 71.5907 1.312050 0.349630 2.40273 0.0606980 0.0448935
   96 6400.087   0.492514 3700.65  668.253 71.5907 1.312050 0.349630 2.40273 0.0606980 0.0448935
