
 WorkFlow
Start 2024-10-19 15:01:38  Run : 10.55 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev   tvVmax     tvKm     tvV     tvKa
    1 7649.324 1.49481   0.963393  4150.75 3810.920 49.9429 1.192750
    2 7494.347 1.38735   0.930183  4300.69 3636.350 49.6882 1.185840
    3 7437.989 1.32694   0.877481  4352.26 3683.080 50.8372 1.173950
    4 7383.906 1.25664   0.841623  4442.05 3769.700 51.2236 1.175180
    5 7330.774 1.18699   0.807070  4533.24 3861.930 51.6911 1.176380
    6 7189.409 1.25927   0.508246  8232.73 4511.870 64.2681 1.575480
    7 7150.223 1.25564   0.629371  9434.75 3744.740 73.9072 1.623310
    8 7123.747 1.21523   0.596205  9819.63 3600.150 72.0862 1.861710
    9 7100.448 1.27813   0.581540 11381.70 4019.170 63.4534 1.265500
   10 7092.354 1.28186   0.572655 12002.20 4259.920 58.5954 1.097070
   11 7078.094 1.30036   0.558320 13384.30 4758.850 50.1988 0.862694
   12 7064.975 1.27844   0.545808 13712.30 5111.630 44.5036 0.866328
   13 7056.152 1.26682   0.547588 15694.70 6161.270 43.9416 0.777612
   14 7048.061 1.23991   0.570278 14971.70 5783.760 43.0693 1.026320
   15 7045.011 1.27521   0.571925 15726.70 5613.020 38.7979 0.944759
   16 7039.698 1.32190   0.555623 16597.60 5303.340 38.4187 0.852235
   17 7037.706 1.32919   0.551171 16692.70 5071.520 39.8682 0.870200
   18 7036.319 1.33014   0.552205 16697.50 4953.920 41.1814 0.906702
   19 7035.148 1.33157   0.554083 16532.20 4808.780 42.1364 0.937197
   20 7034.023 1.32921   0.554832 15936.70 4614.870 43.0983 0.971969
   21 7032.972 1.32707   0.554052 14899.70 4388.320 43.8049 1.000730
   22 7032.040 1.33299   0.553210 13786.20 4116.600 44.0185 1.008090
   23 7024.641 1.35077   0.549635 10056.50 3177.310 44.9046 1.032330
   24 7017.122 1.38630   0.542470  6476.88 2080.760 45.9150 1.066940
   25 7010.534 1.44088   0.537608  5425.59 1571.690 45.0745 1.048520
   26 7000.304 1.56213   0.511820  3799.13  976.498 44.6591 1.048800
   27 6997.010 1.56371   0.512313  4660.32 1186.970 43.9490 1.036810
   28 6991.491 1.57750   0.528157  4140.58 1113.110 44.7824 1.077870
   29 6990.339 1.65747   0.542863  3538.15  818.773 45.6602 1.119010
   30 6988.155 1.63239   0.523965  3642.95  938.417 45.4675 1.112940
   31 6987.614 1.65021   0.524930  3652.55  897.383 45.6341 1.111310
   32 6986.869 1.69133   0.522885  3393.32  804.991 46.1626 1.128230
   33 6986.265 1.72631   0.523044  3344.90  776.160 46.6299 1.139830
   34 6985.853 1.76046   0.524403  3209.74  738.364 47.2714 1.157210
   35 6985.824 1.77381   0.524909  3153.31  722.211 47.3233 1.163170
   36 6985.823 1.77581   0.525138  3150.33  721.720 47.3110 1.163570
   37 6985.822 1.77585   0.525141  3150.19  721.690 47.3106 1.163580
   38 6985.794 1.76572   0.523907  3156.98  719.335 47.1791 1.163260
   39 6985.735 1.76931   0.523368  3160.66  718.877 47.0419 1.164420
   40 6985.585 1.79502   0.520400  3170.49  714.035 46.3206 1.162010
   41 6985.443 1.79627   0.520070  3170.87  711.072 46.0705 1.158190
   42 6985.278 1.80097   0.518588  3167.17  707.097 45.7581 1.153510
   43 6984.256 1.82156   0.509235  3130.47  681.657 44.1774 1.126520
   44 6984.138 1.87286   0.498564  3052.88  644.378 42.5603 1.088210
   45 6983.061 1.86212   0.506882  3060.74  657.556 43.8000 1.103210
   46 6982.260 1.86844   0.513833  3040.39  658.853 45.1834 1.115020
   47 6981.689 1.88022   0.517772  3012.74  650.020 46.4231 1.130550
   48 6981.308 1.89211   0.519350  2983.46  634.642 47.6343 1.157370
   49 6981.128 1.89637   0.517322  2956.96  623.029 47.8350 1.174890
   50 6980.982 1.88950   0.514404  2941.12  618.095 47.6919 1.192350
   51 6980.926 1.88991   0.511462  2902.14  606.292 47.4264 1.213070
   52 6980.849 1.89135   0.511677  2891.12  604.805 47.3141 1.214800
   53 6980.668 1.90444   0.514745  2866.29  599.245 47.6866 1.220120
   54 6980.564 1.91948   0.515979  2851.92  591.861 47.9175 1.218230
   55 6980.412 1.94650   0.516308  2810.56  572.945 48.1974 1.219320
   56 6980.348 1.98269   0.515763  2747.56  545.418 48.3340 1.222690
   57 6980.341 1.96970   0.515540  2768.79  554.284 48.1627 1.219210
   58 6980.340 1.96719   0.515290  2772.06  555.833 48.0533 1.216320
   59 6980.336 1.97063   0.515248  2764.73  552.938 47.9955 1.213720
   60 6980.333 1.97025   0.515914  2762.11  553.290 48.1065 1.214180
