"","Algorithm","Converge","Covar"
"1","AD",98.6111111111111,98.6111111111111
"2","NONMEM",70.8333333333333,83.3333333333333
"3","NoCache",100,97.2222222222222
"4","NoHessian",100,97.2222222222222
"5","Standard",100,97.2222222222222
