StartTime,EndTime,Model_num,this_comp,this_eta,this_vwt,this_gamma,n_theta,n_omega,Est_time,Cov_time,Success,Status,Covar,Iterations,Algorithm,Good_inits,log_path,control_file,data_set,nparms,messages,TVVmax,TVKM,TVV,TVKA,CVVmax,RMSE,MAE,crash
2024-10-23 13:11:51,2024-10-23 13:12:15,1,0,0,0,0,5,1,5.688,2.906,TRUE,1,TRUE,31,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/1/Run1/nlme7engine.log,D:/git/ADPOBenchmark/nlme/1/Run1.mmdl,..\\..\\data\\sim_0_0_0_0.csv,6,1,4888.31326444712,1441.63218006178,42.0855327024317,1.20097711813174,0.101413563403525,1.07145662342259,0.571412802784022,FALSE
2024-10-23 13:12:15,2024-10-23 13:12:43,2,0,1,0,0,5,2,7.922,4.797,TRUE,1,TRUE,22,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/2/Run2/nlme7engine.log,D:/git/ADPOBenchmark/nlme/2/Run2.mmdl,   ..\\..\\data\\sim_0_1_0_0.csv,7,1,4745.13974429942,1358.201449216,43.2480494092632,0.928217330317775,0.0890794576293775,1.61504823075678,0.696364763179613,FALSE
