StartTime,EndTime,Model_num,this_comp,this_eta,this_vwt,this_gamma,n_theta,n_omega,Est_time,Cov_time,Success,Status,Covar,Iterations,Algorithm,Good_inits,log_path,control_file,data_set,nparms,messages,TVVmax,TVKM,TVV,TVKA,CVVmax,RMSE,MAE,crash
2024-10-22 10:45:27,2024-10-22 10:48:19,56,2,1,0,1,7,2,89.922,66.328,TRUE,1,TRUE,38,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/56/run56/nlme7engine.log,d:/git/adpobenchmark/nlme/56/Run56.mmdl,d:/git/adpobenchmark/data/sim_0_1_1_1.csv,9,1,3829.48175486784,925.866786874056,43.6098353900707,0.973411241201582,0.101623748427018,0.477810521613353,0.382278402251387,FALSE
2024-10-22 10:48:19,2024-10-22 10:52:53,57,2,2,0,1,7,3,180.609,75.219,TRUE,1,TRUE,51,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/57/run57/nlme7engine.log,d:/git/adpobenchmark/nlme/57/Run57.mmdl,d:/git/adpobenchmark/data/sim_0_2_1_1.csv,10,1,2691.27885994836,538.248078880511,48.356666220691,1.21527337115908,0.0997208820610541,0.477087312562141,0.386194262840612,FALSE
2024-10-22 10:52:53,2024-10-22 10:58:19,58,2,3,0,1,7,4,202.219,103.438,TRUE,1,TRUE,40,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/58/run58/nlme7engine.log,d:/git/adpobenchmark/nlme/58/Run58.mmdl,d:/git/adpobenchmark/data/sim_0_3_1_1.csv,11,1,2939.21704130729,639.249002854346,45.1739161052407,1.05012949756269,0.16157488508027,0.451248315205942,0.35263472562238,FALSE
2024-10-22 10:58:19,2024-10-22 11:01:23,59,2,4,0,1,7,3,108.641,58.641,TRUE,1,TRUE,40,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/59/run59/nlme7engine.log,d:/git/adpobenchmark/nlme/59/Run59.mmdl,d:/git/adpobenchmark/data/sim_0_4_1_1.csv,10,1,3750.53968346214,904.584487544354,44.5761931542286,0.976323075337501,0.101829398209857,0.476856564726304,0.381668694496105,FALSE
2024-10-22 11:01:23,2024-10-22 11:07:58,60,2,5,0,1,7,6,252.516,123.766,TRUE,1,TRUE,52,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/60/run60/nlme7engine.log,d:/git/adpobenchmark/nlme/60/Run60.mmdl,d:/git/adpobenchmark/data/sim_0_5_1_1.csv,13,1,3358.35216243133,742.86638016011,44.5781242705521,1.10911047700915,0.245645217033548,0.46643848912196,0.379282027974212,FALSE
2024-10-22 11:07:58,2024-10-22 11:15:49,61,0,0,1,1,9,1,387.438,63.703,TRUE,2,TRUE,102,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/61/run61/nlme7engine.log,d:/git/adpobenchmark/nlme/61/Run61.mmdl,d:/git/adpobenchmark/data/sim_1_0_1_1.csv,10,2,3307.54015035617,721.381101220253,3.72731573987925,0.103903049007835,0.213697498904016,0.494590998740639,0.390134350172651,FALSE
2024-10-22 11:15:49,2024-10-22 11:22:58,62,0,1,1,1,9,2,262.719,145.359,TRUE,1,TRUE,41,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/62/run62/nlme7engine.log,d:/git/adpobenchmark/nlme/62/Run62.mmdl,d:/git/adpobenchmark/data/sim_1_1_1_1.csv,11,1,3266.74470822433,787.721535894209,47.8427938151925,1.03175708966584,0.112390659501974,0.476695750805442,0.381060107612017,FALSE
2024-10-22 11:22:58,2024-10-22 11:42:43,63,0,2,1,1,9,3,1045.047,107.578,TRUE,1,TRUE,159,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/63/run63/nlme7engine.log,d:/git/adpobenchmark/nlme/63/Run63.mmdl,d:/git/adpobenchmark/data/sim_1_2_1_1.csv,12,1,1757.2803583589,326.382874365704,47.9047316253229,0.823342885908883,0.0723499669828958,0.478468718648057,0.386783428894509,FALSE
2024-10-22 11:42:43,2024-10-22 11:58:51,64,0,3,1,1,9,4,785.906,151.469,TRUE,2,TRUE,92,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/64/run64/nlme7engine.log,d:/git/adpobenchmark/nlme/64/Run64.mmdl,d:/git/adpobenchmark/data/sim_1_3_1_1.csv,13,2,1889.97600423135,386.472356639048,75.9230369535097,1.34205804523151,0.16199709999725,0.445304388222337,0.342189432266619,FALSE
2024-10-22 11:58:51,2024-10-22 12:08:19,65,0,4,1,1,9,3,382.516,158.438,TRUE,1,TRUE,54,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/65/run65/nlme7engine.log,d:/git/adpobenchmark/nlme/65/Run65.mmdl,d:/git/adpobenchmark/data/sim_1_4_1_1.csv,12,1,2903.05060076581,685.50965513524,48.8099513934806,1.02151177862701,0.104719183486314,0.477003594212993,0.381967331893548,FALSE
2024-10-22 12:08:19,2024-10-22 12:41:36,66,0,5,1,1,9,6,1453.922,494.781,TRUE,3,TRUE,95,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/66/run66/nlme7engine.log,d:/git/adpobenchmark/nlme/66/Run66.mmdl,d:/git/adpobenchmark/data/sim_1_5_1_1.csv,15,3,2291.34601807594,473.252988765965,63.7049326758785,1.3895208292764,0.212355909036373,0.468897599143085,0.381360263635638,FALSE
2024-10-22 12:41:36,2024-10-22 12:47:25,67,1,0,1,1,11,1,247.375,78.641,TRUE,1,TRUE,79,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/67/run67/nlme7engine.log,d:/git/adpobenchmark/nlme/67/Run67.mmdl,d:/git/adpobenchmark/data/sim_2_0_1_1.csv,12,1,4616.5751390738,561.116181475625,87.5503894712495,2.55298948080063,0.342572458956185,0.493616301922417,0.38966434979335,FALSE
2024-10-22 12:47:25,2024-10-22 13:02:50,68,1,1,1,1,11,2,784.141,109.828,TRUE,1,TRUE,116,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/68/run68/nlme7engine.log,d:/git/adpobenchmark/nlme/68/Run68.mmdl,d:/git/adpobenchmark/data/sim_2_1_1_1.csv,13,1,2279.21196238687,395.485160355523,68.86196169395,1.20268410705607,0.158298553884189,0.474470162474542,0.381312795910543,FALSE
2024-10-22 13:02:50,2024-10-22 13:41:47,69,1,2,1,1,11,3,2060.031,235.297,TRUE,2,TRUE,153,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/69/run69/nlme7engine.log,d:/git/adpobenchmark/nlme/69/Run69.mmdl,d:/git/adpobenchmark/data/sim_2_2_1_1.csv,14,2,2113.98714400289,210.444137364991,47.0575397676732,0.915737482375963,0.0810066985788812,0.475672663601726,0.380898323910983,FALSE
2024-10-22 13:41:47,2024-10-22 14:22:00,70,1,3,1,1,11,4,2168.719,217.984,TRUE,3,TRUE,193,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/70/run70/nlme7engine.log,d:/git/adpobenchmark/nlme/70/Run70.mmdl,d:/git/adpobenchmark/data/sim_2_3_1_1.csv,15,3,3683.3946281611,426.61674159067,58.6813638801704,1.03776554958305,0.123225344214046,0.47941383267076,0.37361276702029,FALSE
2024-10-22 14:22:00,2024-10-22 14:43:32,71,1,4,1,1,11,3,1155.906,114.703,TRUE,1,TRUE,233,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/71/run71/nlme7engine.log,d:/git/adpobenchmark/nlme/71/Run71.mmdl,d:/git/adpobenchmark/data/sim_2_4_1_1.csv,14,1,1514.59149100183,327.228889687524,70.5329213043518,1.20852621275791,0.194801590184829,0.475479353012575,0.382448060935858,FALSE
2024-10-22 14:43:32,2024-10-22 15:27:09,72,1,5,1,1,11,6,2354.984,235.234,TRUE,2,TRUE,206,ADPO,TRUE,D:/git/ADPOBenchmark/NLME/72/run72/nlme7engine.log,d:/git/adpobenchmark/nlme/72/Run72.mmdl,d:/git/adpobenchmark/data/sim_2_5_1_1.csv,17,2,1849.31409302667,244.09257414978,52.9486092400218,0.994864571157844,0.199470621449931,0.465991986996715,0.376008691968261,FALSE
