Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,GAMMA,0.0068382799,,,,,,,,,,,,,,,,
WorkFlow,CMultStdev,-0.0015447914,0.0010460471,,,,,,,,,,,,,,,
WorkFlow,tvVmax,721.27001,-350.44743,179767200,,,,,,,,,,,,,,
WorkFlow,tvKm,116.13958,-55.414219,28701134,4597285.6,,,,,,,,,,,,,
WorkFlow,tvV,0.79408541,-0.4244276,209313.48,33404.393,252.26495,,,,,,,,,,,,
WorkFlow,tvKa,0.10614286,-0.052140292,26916.665,4303.6824,31.41219,4.0406227,,,,,,,,,,,
WorkFlow,K12,-0.0011186172,0.00076028169,-393.99477,-62.406401,-0.46936277,-0.059117969,0.0010187954,,,,,,,,,,
WorkFlow,K21,0.062159047,-0.030146123,15521.224,2479.7159,18.056005,2.3236957,-0.034005547,1.3406947,,,,,,,,,
WorkFlow,K13,-0.0013170843,0.00063495004,-335.47124,-53.738132,-0.39058289,-0.05030857,0.00076031788,-0.029016197,0.00064025211,,,,,,,,
WorkFlow,K31,0.00077200076,-0.00038125117,206.0061,33.003524,0.2407711,0.030905916,-0.00045823339,0.017814195,-0.00038975856,0.00024408186,,,,,,,
WorkFlow,stdev0,-53.61489,26.016517,-13376152,-2137071.9,-15572.347,-2003.5051,29.287726,-1155.0893,24.982512,-15.340439,995461.4,,,,,,
WorkFlow,nVmax-nVmax,-0.026460132,0.013328805,-6906.3757,-1103.1164,-8.0353704,-1.0351648,0.015250884,-0.5965199,0.012927783,-0.0079592331,514.00008,0.26648476,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
WorkFlow,nKm-nKm,-0.095441196,0.045962738,-23580.591,-3767.6502,-27.441681,-3.531585,0.051475398,-2.0361989,0.044022869,-0.027033976,1754.8599,0.90590394,0,3.094578,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,-0.0048919179,0.0024856214,-1310.535,-209.07611,-1.5202656,-0.1964935,0.0029099286,-0.11321521,0.0024624235,-0.0015243037,97.515603,0.050960453,0,0.17188799,0,0,0.0099540052
