Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,0.00683827989122154,,,,,,,,,,
WorkFlow,-0.00154479141235089,0.0010460470713846,,,,,,,,,
WorkFlow,721.270010311895,-350.447425683293,179767199.408212,,,,,,,,
WorkFlow,116.139582137211,-55.4142192802925,28701134.2742018,4597285.60908954,,,,,,,
WorkFlow,0.794085409028139,-0.424427602680377,209313.482444544,33404.3925087636,252.264950475034,,,,,,
WorkFlow,0.106142858761221,-0.0521402920054075,26916.6645427384,4303.68237152758,31.4121902511833,4.04062271114674,,,,,
WorkFlow,-0.00111861718744413,0.00076028168849495,-393.99477174468,-62.4064008528704,-0.469362771425007,-0.0591179694415184,0.00101879543762162,,,,
WorkFlow,0.0621590471289536,-0.0301461226905132,15521.2236040531,2479.71587748637,18.0560045155011,2.32369573783888,-0.0340055468183033,1.34069466757445,,,
WorkFlow,-0.00131708429224162,0.000634950040868671,-335.471239294192,-53.7381316865484,-0.390582888018424,-0.0503085702898784,0.000760317881461975,-0.0290161968987165,0.000640252107328661,,
WorkFlow,0.000772000763793033,-0.000381251168625915,206.006095775748,33.0035240614477,0.240771096587693,0.0309059158422942,-0.000458233393187177,0.0178141948768732,-0.000389758564513786,0.000244081859821652,
WorkFlow,-53.6148901167606,26.0165168303815,-13376151.7940962,-2137071.85121189,-15572.3473687005,-2003.50510211251,29.2877264004013,-1155.08931694879,24.9825123865501,-15.3404391426439,995461.395271682
