
 WorkFlow
Start 2024-10-22 08:20:14  Run : 28.2333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31
   52 6716.859 0.877109   0.528535 5078.88 2815.610 68.3604 1.390740 0.513605 3.54561 0.0803462 0.0453427
   53 6716.803 0.887109   0.528579 5132.71 2788.390 67.9547 1.370010 0.511007 3.53719 0.0796891 0.0455047
   54 6716.761 0.906324   0.528862 5209.74 2751.460 67.5400 1.339810 0.507809 3.52003 0.0787940 0.0456832
   55 6716.684 0.919439   0.526925 5269.27 2720.060 67.1419 1.325800 0.505291 3.50295 0.0783734 0.0457036
   56 6716.279 0.937408   0.523636 5354.95 2670.300 67.1464 1.318110 0.501765 3.46630 0.0783180 0.0454834
   57 6715.475 1.001600   0.516958 5756.91 2435.020 66.9201 1.295300 0.484863 3.30095 0.0781849 0.0443963
   58 6715.319 1.025150   0.518540 6000.03 2291.030 67.1691 1.294190 0.473561 3.20158 0.0784751 0.0436514
   59 6715.268 1.023780   0.522660 6076.98 2238.930 67.6288 1.302420 0.468784 3.16548 0.0788543 0.0433498
   60 6715.117 0.999597   0.527102 5983.80 2276.860 68.3757 1.322710 0.471100 3.18894 0.0794336 0.0434173
   61 6715.095 1.004090   0.525090 5994.36 2273.270 68.2120 1.320460 0.471095 3.18553 0.0793155 0.0434367
   62 6715.066 1.005590   0.520709 5970.02 2286.870 67.7951 1.323200 0.472507 3.19138 0.0791371 0.0435814
   63 6715.001 1.000260   0.521516 5937.11 2301.420 67.9924 1.328150 0.473513 3.19846 0.0792197 0.0436592
   64 6714.920 0.997782   0.524430 5914.70 2308.090 68.3404 1.328090 0.473281 3.19815 0.0790977 0.0438518
   65 6714.798 0.994024   0.525792 5865.50 2321.940 68.6147 1.336560 0.473249 3.19411 0.0789053 0.0442251
   66 6714.598 0.978534   0.525957 5641.39 2396.720 69.4746 1.375460 0.475338 3.18952 0.0782428 0.0457673
   67 6714.524 0.979387   0.527259 5644.88 2374.460 70.0126 1.390770 0.472333 3.15627 0.0783186 0.0459662
   68 6714.426 0.992422   0.528911 5750.80 2284.170 70.8513 1.409580 0.463329 3.06924 0.0784721 0.0460059
   69 6714.397 1.005110   0.529895 5820.86 2218.500 71.4472 1.423400 0.456251 2.99827 0.0782662 0.0463169
   70 6714.382 1.013930   0.530348 5855.01 2179.670 71.8339 1.433420 0.451585 2.95088 0.0779924 0.0466807
   71 6714.269 1.021360   0.528518 5847.41 2172.560 71.7386 1.437320 0.450148 2.93156 0.0775461 0.0471488
   72 6714.116 1.046710   0.524191 5878.98 2129.710 71.2213 1.438830 0.444032 2.87203 0.0761601 0.0484320
   73 6714.088 1.057310   0.523731 5928.72 2097.630 71.0000 1.434050 0.440376 2.84684 0.0757094 0.0487625
   74 6714.071 1.062270   0.523851 5970.16 2083.300 70.5680 1.420050 0.439016 2.84998 0.0754542 0.0488106
   75 6714.071 1.062450   0.523875 5971.08 2082.400 70.5762 1.420210 0.438910 2.84900 0.0754490 0.0488178
   76 6714.070 1.062500   0.523890 5971.30 2082.080 70.5809 1.420290 0.438872 2.84861 0.0754479 0.0488206
   77 6714.068 1.062270   0.523856 5971.08 2081.640 70.5722 1.419990 0.438914 2.84772 0.0754335 0.0488167
   78 6714.056 1.058050   0.522134 5942.15 2071.260 70.2676 1.411810 0.436404 2.83420 0.0752586 0.0486042
   79 6714.054 1.057800   0.522150 5941.26 2070.510 70.2587 1.411330 0.436534 2.83229 0.0752368 0.0485892
   80 6714.014 1.062000   0.525734 5914.58 2062.050 70.4098 1.403340 0.436531 2.80450 0.0754860 0.0482920
   81 6713.962 1.057710   0.528578 5965.07 2050.000 70.5092 1.389460 0.434826 2.77672 0.0761446 0.0486912
   82 6713.893 1.060970   0.524474 6034.77 2038.260 70.4874 1.378170 0.433405 2.72173 0.0773703 0.0493427
   83 6713.869 1.074690   0.523385 6189.54 2025.910 68.7860 1.373140 0.427339 2.58236 0.0793629 0.0510609
   84 6713.868 1.078730   0.523255 6209.08 2029.190 68.7111 1.365360 0.425789 2.55131 0.0795424 0.0514842
