Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,GAMMA,0.13315452,,,,,,,,,,,,,,
WorkFlow,CMultStdev,-0.00040161369,0.0013031021,,,,,,,,,,,,,
WorkFlow,tvVmax,-26.91843,1.5795062,32928.895,,,,,,,,,,,,
WorkFlow,tvKm,-14.159278,-0.14175705,4622.8597,3304.7935,,,,,,,,,,,
WorkFlow,tvV,0.54179917,0.17188898,394.15467,412.99202,1165.5764,,,,,,,,,,
WorkFlow,tvKa,0.066471033,0.00065434819,5.6416743,20.174531,36.78922,1.5872158,,,,,,,,,
WorkFlow,K12,0.31041291,0.0056434629,45.479883,43.957427,53.322105,3.3993202,10.404799,,,,,,,,
WorkFlow,K21,74.963105,1.1892076,13281.126,14419.48,22293.311,1101.5621,2825.7988,840705.5,,,,,,,
WorkFlow,stdev0,-21.284986,-0.33512223,-2981.8931,-3389.5355,-4847.7758,-263.42782,-730.33293,-208744.35,52788.07,,,,,,
WorkFlow,nVmax-nVmax,-0.0044491798,0.00036278993,0.56832581,0.54162489,0.23400152,0.011826932,0.031962129,8.4428394,-2.2141364,0.0024957842,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,0,0,0,,,,
WorkFlow,nKm-nKm,-0.0018865833,-2.6737721e-05,-0.93917809,-0.35222157,-0.19065221,-0.017373325,-0.0641291,-16.209221,4.4441744,-0.00055273539,0,0.0032571013,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,0.0096392966,-0.00013196517,-0.61022213,-2.3923718,-1.0682358,-0.046132357,-0.10108621,-32.952264,7.9481346,-0.0014365055,0,0.00059597129,0,0,0.0074400484
