
 WorkFlow
Start 2024-10-22 07:14:39  Run : 8.65 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa        K12      K21
   65 6858.346 2.93865   0.510970 1743.74  310.542 40.0858 0.698253 0.39244600 0.357817
   66 6858.342 2.94803   0.510982 1742.84  309.837 37.8527 0.658598 0.43250400 0.357434
   67 6858.333 2.95097   0.511082 1742.39  309.682 38.3353 0.666634 0.42144700 0.353214
   68 6858.332 2.95112   0.511083 1742.35  309.668 38.3294 0.666527 0.42150700 0.353121
   69 6858.332 2.95116   0.511083 1742.34  309.666 38.3278 0.666497 0.42152500 0.353099
   70 6858.332 2.94628   0.510273 1738.86  309.345 38.2605 0.664294 0.42090400 0.352691
   71 6858.330 2.94544   0.510252 1738.73  309.258 38.2272 0.664979 0.42085800 0.352306
   72 6858.329 2.94574   0.510532 1739.48  309.286 38.2092 0.665826 0.42102100 0.351933
   73 6858.329 2.94574   0.510533 1739.48  309.286 38.2091 0.665825 0.42102200 0.351930
   74 6858.329 2.94525   0.510494 1739.35  309.275 38.2058 0.665080 0.42099100 0.351853
   75 6858.327 2.94214   0.510883 1741.14  309.060 38.2021 0.665210 0.42108500 0.351618
   76 6858.325 2.93079   0.510950 1742.22  308.380 38.0962 0.659762 0.42101000 0.349722
   77 6858.315 2.92339   0.511050 1739.57  308.437 38.0564 0.662204 0.42148000 0.348874
   78 6858.309 2.92551   0.511509 1738.12  309.081 38.0198 0.661236 0.42174900 0.347982
   79 6858.307 2.92687   0.510510 1738.93  309.590 37.9669 0.660350 0.42173500 0.347552
   80 6858.306 2.92556   0.510920 1738.31  309.785 37.9155 0.659465 0.42147400 0.347639
