
 WorkFlow
Start 2024-10-22 10:53:07  Run : 5.15 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa    dVdWT
    1 7602.432 1.49034   0.964308 4145.49 3820.750 49.9327 1.192920 1.101160
    2 7440.971 1.37941   0.931241 4287.90 3654.430 49.6894 1.185720 1.101770
    3 7065.138 1.15397   0.466658 5901.09 3702.160 50.6737 1.114670 1.022020
    4 6985.367 1.17520   0.526193 7306.23 3183.920 44.6606 1.132370 0.985196
    5 6956.753 1.31677   0.505988 8109.10 2797.240 43.5083 1.119240 0.975266
    6 6950.628 1.34099   0.507105 8024.12 2664.110 42.1958 0.935872 0.977089
    7 6949.895 1.36933   0.483280 7805.87 2588.280 37.6122 0.887600 0.982768
    8 6936.675 1.43285   0.471897 6162.27 1779.410 39.3025 0.928078 1.138700
    9 6935.876 1.43815   0.479065 6325.31 1932.630 38.5220 0.869202 1.147450
   10 6934.148 1.44671   0.482921 5970.18 1763.470 38.4205 0.860433 1.157090
   11 6932.076 1.44735   0.478993 6235.79 1857.680 38.3125 0.804461 1.147950
   12 6930.611 1.44043   0.522629 5557.60 1543.120 41.6626 0.937696 0.746875
   13 6930.054 1.44077   0.527157 5562.88 1531.830 41.6035 0.948835 0.956253
   14 6927.779 1.45029   0.508998 5472.82 1546.400 40.9579 0.900008 1.158990
   15 6926.770 1.46938   0.500297 5134.31 1437.200 40.9311 0.876226 1.133980
   16 6925.098 1.53082   0.490419 3867.61 1050.940 41.7783 0.878744 1.135980
   17 6923.789 1.54608   0.490516 3875.60 1095.450 42.5531 0.903179 1.001300
   18 6921.976 1.59021   0.497040 3642.38  943.546 43.1628 0.951114 0.972979
   19 6921.494 1.61805   0.497382 3360.76  847.709 43.6862 0.976078 0.977827
   20 6920.622 1.65849   0.498132 3127.57  766.083 44.3796 1.017450 0.989642
   21 6920.110 1.78628   0.499111 2597.56  581.353 45.9893 1.103480 0.971414
   22 6918.754 1.78334   0.498531 2908.95  669.059 45.6254 1.096700 1.055350
   23 6917.809 1.78103   0.494790 2875.24  660.475 45.9657 1.089310 0.940587
   24 6916.580 1.81266   0.490471 2805.02  622.564 46.0971 1.080520 0.898007
   25 6916.063 1.91657   0.478551 2532.08  515.229 46.0157 1.059280 0.796982
   26 6915.090 1.89435   0.479098 2691.39  558.367 46.0105 1.061720 0.823280
   27 6914.495 1.87037   0.480348 2770.22  581.805 46.2360 1.079200 0.870511
   28 6913.942 1.81273   0.483613 2925.18  637.791 46.1273 1.085600 0.945760
   29 6913.368 1.80349   0.481492 2967.31  652.158 45.3417 1.052810 0.923013
   30 6913.090 1.79558   0.479786 2961.37  648.151 45.0445 1.036910 0.905061
   31 6913.084 1.79969   0.479169 2902.31  630.136 45.1647 1.038360 0.861701
   32 6913.044 1.80027   0.479945 2914.59  634.439 45.2093 1.044820 0.890998
   33 6913.042 1.79817   0.480215 2933.08  639.342 45.1772 1.046870 0.913962
   34 6913.041 1.79805   0.480264 2939.68  640.925 45.1586 1.048250 0.929689
   35 6913.039 1.79717   0.480007 2942.94  641.448 45.1374 1.047500 0.929610
   36 6913.038 1.79605   0.479692 2946.86  642.077 45.1124 1.046670 0.926847
   37 6913.033 1.79439   0.480549 2957.49  645.477 45.1496 1.050880 0.914225
   38 6913.026 1.79586   0.480205 2950.53  643.012 45.1482 1.049980 0.917277
   39 6913.020 1.79860   0.479732 2939.10  639.302 45.1627 1.049610 0.919207
   40 6913.019 1.79920   0.479719 2939.22  639.249 45.1739 1.050130 0.916745
