Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,0.0148811147581959,1,,,,,,,,
WorkFlow,-0.0333460420932986,0.988956382938583,1,,,,,,,
WorkFlow,0.161723098451768,0.127734987553226,0.148941018161919,1,,,,,,
WorkFlow,-0.143721515800081,-0.00401840893776775,0.0210178110658183,0.806268826845834,1,,,,,
WorkFlow,0.256237670066948,-0.464099390694774,-0.486471480601368,-0.790727624571005,-0.707655505730446,1,,,,
WorkFlow,0.249723332184792,-0.445151427391106,-0.493198970953292,-0.77218659375179,-0.678680777140188,0.972341875735791,1,,,
WorkFlow,0.130737201604587,-0.781591685761938,-0.822576781804895,-0.564118684363259,-0.448058042570917,0.794721249948905,0.813143470368649,1,,
WorkFlow,0.152719925516779,-0.333698397024939,-0.350911684602722,-0.693286998043362,-0.668336098143342,0.719085316590559,0.652795455107777,0.557788106794708,1,
WorkFlow,0.488384778118097,0.0876525652490171,0.0461649163440547,0.230221166831375,0.200313384935392,-0.0400690566521168,0.00406295444603975,-0.115036408141396,-0.222932538552069,1
