Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,0.00119303165774116,,,,,,,,,
WorkFlow,6.93508298784074,182045699.938797,,,,,,,,
WorkFlow,-7.86824374367499,91153820.8246624,46667555.6490702,,,,,,,
WorkFlow,0.0378982203267279,11692.8630030754,6903.07551402527,46.0300617750412,,,,,,
WorkFlow,-0.00187587770602665,-20.4880720461528,54.2564981387547,2.06708053168179,0.142795163506359,,,,,
WorkFlow,0.00027196113751855,-192.415077062385,-102.118117484695,-0.164848719711814,-0.00821706130738704,0.000944225612273377,,,,
WorkFlow,0.000952465364716047,-663.226803667743,-372.043546372192,-0.57850500805784,-0.0283195523535576,0.00329929360187296,0.0121934941253501,,,
WorkFlow,3.57620317076808e-05,-83.5155140315997,-44.5021495643768,-0.0303101634505579,-0.00134087422119528,0.000193396998278798,0.000711096073709678,6.27182641942979e-05,,
WorkFlow,6.06102547419043e-05,-51.7331299340369,-27.5441755898035,-0.0540453403411079,-0.00290185755118993,0.000253888325205795,0.000828257983167193,5.07563854483386e-05,0.000132022770883911,
WorkFlow,0.123765281290661,8676.91959267915,2313.82393704194,11.4597926395209,0.555363647345076,-0.00903353509117486,0.00329167363857417,-0.00668410183313234,-0.0187935408742074,53.8296380252169
