Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax
WorkFlow,GAMMA,8.2831961,,,,,,,,,,,
WorkFlow,CMultStdev,0.080130311,0.067482889,,,,,,,,,,
WorkFlow,tvVmax,83559.449,4297.6914,3721058000,,,,,,,,,
WorkFlow,tvKm,13434.412,3396.2737,2052483900,1343473800,,,,,,,,
WorkFlow,tvV,-112.67243,2.0682628,-1041176.2,562819.5,27512.958,,,,,,,
WorkFlow,tvKa,-2.6762574,0.010855135,-29622.133,11936.358,744.7651,20.30233,,,,,,
WorkFlow,K12,0.045275326,-0.010483484,-728.02826,-1181.2175,-13.730248,-0.36442802,0.0086290924,,,,,
WorkFlow,K21,-18.688816,-0.22210395,-225952.08,18791.292,3215.1756,86.59399,-1.5399357,389.02087,,,,
WorkFlow,K13,4.2835733,0.03814263,50559.469,-5375.8224,-739.05547,-19.894503,0.35625898,-89.349419,20.5246,,,
WorkFlow,K31,0.87223518,0.063840836,24248.448,16955.053,196.45379,5.4776444,-0.10786544,19.865077,-4.5742717,2.2371775,,
WorkFlow,stdev0,-2.1982425,-0.014642181,-128186.24,-80576.826,-339.69181,-9.3295374,0.19476924,-35.948332,8.2817198,-3.7780191,14.934414,
WorkFlow,nVmax-nVmax,0.84571419,0.48114852,21975.613,33066.4,336.13937,8.9185577,-0.2291927,35.810929,-8.3315287,2.7990997,-3.4390401,12.152428
