Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,-0.0419039388188002,1,,,,,,,,,
WorkFlow,0.503510534348235,-0.341416056449442,1,,,,,,,,
WorkFlow,-0.787731987372576,-0.00959803874058735,0.0631365037315836,1,,,,,,,
WorkFlow,-0.585817191900962,0.0461170580373514,-0.564364782745541,0.307240861366771,1,,,,,,
WorkFlow,-0.533493845712656,-0.0174840904890373,-0.53091927280476,0.264964038083606,0.989194417842111,1,,,,,
WorkFlow,0.537326062767468,-0.585923764326007,0.610636043995628,-0.329018093502249,-0.77021841993858,-0.721858212958067,1,,,,
WorkFlow,-0.677502139238895,-0.0735586431345301,-0.51789846995156,0.420093599610837,0.955626225082726,0.927141000268842,-0.692702769448781,1,,,
WorkFlow,0.680832459085467,0.0570977724337002,0.524444247868036,-0.423278149274117,-0.956310681779777,-0.92649558216308,0.704899604620969,-0.999825929277096,1,,
WorkFlow,0.157894958322292,0.0788580837233588,-0.2104011883816,-0.299833919173247,0.495841193000021,0.565137816209405,-0.36758141696026,0.238402123120568,-0.236569913478628,1,
WorkFlow,0.290034393269554,0.00233302839401295,0.0305292536099927,-0.373294852469832,-0.496407359163386,-0.512693485248684,0.384595629652676,-0.462466729861328,0.462727825912692,-0.268279101384957,1
