"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",29191.912
"WorkFlow",1,"GAMMA",1.60002
"WorkFlow",1,"CMultStdev",1.05628
"WorkFlow",1,"tvVmax",4000.01
"WorkFlow",1,"tvKm",4000.02
"WorkFlow",1,"tvV",47.3081
"WorkFlow",1,"tvKa",1.19317
"WorkFlow",1,"K12",0.435055
"WorkFlow",1,"K21",3.92031
"WorkFlow",1,"K13",1.59782
"WorkFlow",1,"K31",0.423737
"WorkFlow",2,"-2LL",29186.6666
"WorkFlow",2,"GAMMA",1.60002
"WorkFlow",2,"CMultStdev",1.05628
"WorkFlow",2,"tvVmax",4000.01
"WorkFlow",2,"tvKm",4000.02
"WorkFlow",2,"tvV",47.3082
"WorkFlow",2,"tvKa",1.19317
"WorkFlow",2,"K12",0.435109
"WorkFlow",2,"K21",3.92029
"WorkFlow",2,"K13",1.5976
"WorkFlow",2,"K31",0.423589
"WorkFlow",3,"-2LL",24057.366
"WorkFlow",3,"GAMMA",1.59999
"WorkFlow",3,"CMultStdev",1.05576
"WorkFlow",3,"tvVmax",4000.2
"WorkFlow",3,"tvKm",3999.87
"WorkFlow",3,"tvV",47.3917
"WorkFlow",3,"tvKa",1.19192
"WorkFlow",3,"K12",0.491598
"WorkFlow",3,"K21",3.89906
"WorkFlow",3,"K13",1.3801
"WorkFlow",3,"K31",0.286751
"WorkFlow",4,"-2LL",7245.75992
"WorkFlow",4,"GAMMA",1.59919
"WorkFlow",4,"CMultStdev",1.04731
"WorkFlow",4,"tvVmax",4005.95
"WorkFlow",4,"tvKm",3995.21
"WorkFlow",4,"tvV",48.4287
"WorkFlow",4,"tvKa",1.18582
"WorkFlow",4,"K12",1.68499
"WorkFlow",4,"K21",3.54288
"WorkFlow",4,"K13",0.790728
"WorkFlow",4,"K31",0.746319
"WorkFlow",5,"-2LL",7181.2247
"WorkFlow",5,"GAMMA",1.59918
"WorkFlow",5,"CMultStdev",1.04729
"WorkFlow",5,"tvVmax",4005.96
"WorkFlow",5,"tvKm",3995.19
"WorkFlow",5,"tvV",48.4302
"WorkFlow",5,"tvKa",1.18581
"WorkFlow",5,"K12",1.68838
"WorkFlow",5,"K21",3.54173
"WorkFlow",5,"K13",0.789715
"WorkFlow",5,"K31",0.749236
"WorkFlow",6,"-2LL",7069.00744
"WorkFlow",6,"GAMMA",1.59905
"WorkFlow",6,"CMultStdev",1.04703
"WorkFlow",6,"tvVmax",4006.12
"WorkFlow",6,"tvKm",3994.97
"WorkFlow",6,"tvV",48.4414
"WorkFlow",6,"tvKa",1.18584
"WorkFlow",6,"K12",1.68536
"WorkFlow",6,"K21",3.51883
"WorkFlow",6,"K13",0.783776
"WorkFlow",6,"K31",0.753546
"WorkFlow",7,"-2LL",6986.99362
"WorkFlow",7,"GAMMA",1.59726
"WorkFlow",7,"CMultStdev",1.04651
"WorkFlow",7,"tvVmax",4007.7
"WorkFlow",7,"tvKm",3992.59
"WorkFlow",7,"tvV",48.4383
"WorkFlow",7,"tvKa",1.18589
"WorkFlow",7,"K12",1.67951
"WorkFlow",7,"K21",3.49132
"WorkFlow",7,"K13",0.774713
"WorkFlow",7,"K31",0.758084
"WorkFlow",8,"-2LL",6984.80644
"WorkFlow",8,"GAMMA",1.5965
"WorkFlow",8,"CMultStdev",1.0464
"WorkFlow",8,"tvVmax",4008.39
"WorkFlow",8,"tvKm",3991.55
"WorkFlow",8,"tvV",48.4328
"WorkFlow",8,"tvKa",1.1859
"WorkFlow",8,"K12",1.6783
"WorkFlow",8,"K21",3.48777
"WorkFlow",8,"K13",0.772783
"WorkFlow",8,"K31",0.75858
"WorkFlow",9,"-2LL",6984.80644
"WorkFlow",9,"GAMMA",1.5965
"WorkFlow",9,"CMultStdev",1.0464
"WorkFlow",9,"tvVmax",4008.39
"WorkFlow",9,"tvKm",3991.55
"WorkFlow",9,"tvV",48.4328
"WorkFlow",9,"tvKa",1.1859
"WorkFlow",9,"K12",1.6783
"WorkFlow",9,"K21",3.48777
"WorkFlow",9,"K13",0.772783
"WorkFlow",9,"K31",0.75858
"WorkFlow",10,"-2LL",6984.80644
"WorkFlow",10,"GAMMA",1.5965
"WorkFlow",10,"CMultStdev",1.0464
"WorkFlow",10,"tvVmax",4008.39
"WorkFlow",10,"tvKm",3991.55
"WorkFlow",10,"tvV",48.4328
"WorkFlow",10,"tvKa",1.1859
"WorkFlow",10,"K12",1.6783
"WorkFlow",10,"K21",3.48777
"WorkFlow",10,"K13",0.772783
"WorkFlow",10,"K31",0.75858
