
 WorkFlow
Start 2024-10-22 08:02:41  Run : 7 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev   tvVmax     tvKm     tvV    tvKa       K12      K21        K13       K31
    1 7671.661 1.600140   1.188240  3999.91 4000.140 41.5421 1.17781 0.6939340 4.363380 0.12138800 0.0438514
    2 7671.436 1.600140   1.188230  3999.91 4000.130 41.5423 1.17781 0.6939750 4.363350 0.12138800 0.0438513
    3 7260.508 1.587680   1.167250  4013.47 3980.470 42.3431 1.17363 0.7510990 4.187500 0.11766600 0.0434607
    4 7046.213 1.592070   1.125000  3993.46 4008.240 43.2034 1.16971 0.8019470 3.961350 0.11594500 0.0442043
    5 6930.321 1.573400   0.965729  4024.70 3964.370 47.7899 1.12150 0.7866820 4.027880 0.12104600 0.0429884
    6 6879.926 1.565650   0.880451  4037.08 3947.100 50.1088 1.09562 0.7824110 4.038840 0.12306900 0.0426957
    7 6818.343 1.546580   0.730141  4062.64 3911.150 53.5062 1.05044 0.7697820 4.076650 0.12447600 0.0427943
    8 6808.584 1.511730   0.576992  4098.89 3859.590 55.6625 1.01788 0.7492730 4.123220 0.12156600 0.0441533
    9 6792.126 1.506220   0.623602  4097.62 3860.710 53.8766 1.04794 0.7505260 4.101110 0.11898600 0.0448324
   10 6779.268 1.467930   0.605057  4124.29 3822.140 52.5291 1.07464 0.7385640 4.092450 0.11296100 0.0469781
   11 6769.221 1.290380   0.515251  4261.49 3631.350 49.4937 1.15953 0.6850590 4.058460 0.09256370 0.0559482
   12 6751.739 1.297750   0.527867  4262.29 3631.270 50.9938 1.14483 0.6827340 4.046740 0.09651710 0.0547300
   13 6728.300 1.171930   0.510165  4383.65 3483.680 52.1129 1.17258 0.6535660 3.992130 0.09163980 0.0584421
   14 6707.906 1.022630   0.485880  4540.71 3302.850 53.2306 1.21135 0.6189000 3.926290 0.08640990 0.0627585
   15 6684.669 0.910944   0.505440  4707.50 3135.550 58.0184 1.23428 0.6019300 3.816770 0.09068430 0.0636591
   16 6677.918 0.923801   0.527496  4738.32 3106.810 60.6147 1.25821 0.6088320 3.764070 0.09671570 0.0618132
   17 6674.898 0.892399   0.522024  4817.15 3034.380 61.2987 1.30449 0.5990920 3.715490 0.09681600 0.0625247
   18 6672.211 0.881757   0.518285  4920.60 2955.070 61.5510 1.37950 0.5906890 3.650290 0.09731340 0.0627671
   19 6669.436 0.893748   0.511864  5064.32 2850.840 61.5934 1.48694 0.5812660 3.556950 0.09797450 0.0625016
   20 6667.379 0.924797   0.508671  5232.25 2743.620 61.6271 1.59026 0.5725440 3.460830 0.09826640 0.0619903
   21 6665.733 0.967641   0.506453  5468.06 2600.770 61.9528 1.70236 0.5589980 3.341990 0.09752180 0.0616201
   22 6663.211 1.049950   0.503328  5928.66 2336.190 62.8544 1.88277 0.5299960 3.133960 0.09430790 0.0615706
   23 6659.055 1.255660   0.497275  7022.81 1791.560 65.0570 2.23431 0.4617100 2.706500 0.08433140 0.0623992
   24 6655.485 1.375090   0.498903  7498.94 1609.690 66.0998 2.34173 0.4288860 2.554770 0.07701360 0.0636126
   25 6642.942 1.643620   0.510986  8132.26 1475.440 68.6347 2.36805 0.3652860 2.423260 0.05666630 0.0687048
   26 6639.625 1.766780   0.506573  8608.52 1337.580 70.7517 2.44114 0.3308280 2.297920 0.04924940 0.0709826
   27 6632.734 1.918650   0.493585  9131.25 1256.260 75.9452 2.43808 0.2757290 2.190900 0.03625610 0.0768560
   28 6630.347 1.882160   0.493431  9025.99 1317.300 77.4875 2.36074 0.2669600 2.220790 0.03397440 0.0789246
   29 6628.652 1.914460   0.496831  9223.75 1280.070 79.2107 2.34680 0.2444880 2.161830 0.02968030 0.0816197
   30 6626.391 1.928820   0.501964  9444.16 1243.420 80.3557 2.31978 0.2173870 2.067390 0.02549690 0.0848625
   31 6623.960 1.931180   0.503937  9625.75 1222.550 80.0671 2.29867 0.1976360 1.964710 0.02345080 0.0869223
   32 6619.636 1.982850   0.500534 10059.80 1177.890 78.7116 2.28539 0.1652720 1.756390 0.02053540 0.0898153
   33 6614.674 2.093240   0.489997 10726.20 1133.620 76.5453 2.25462 0.1247770 1.472950 0.01684450 0.0937191
   34 6612.075 2.153390   0.483347 11090.90 1142.040 75.3305 2.18917 0.1034590 1.315150 0.01514470 0.0962599
   35 6611.007 2.297420   0.477771 11887.90 1095.480 76.2004 2.10193 0.0651366 1.070200 0.01013150 0.1027860
   36 6609.903 2.277340   0.481398 11876.00 1127.620 76.4458 2.02625 0.0617935 1.049180 0.01005920 0.1038340
   37 6609.702 2.289790   0.483470 12044.80 1130.200 76.3725 1.96902 0.0531731 0.981581 0.00927259 0.1057010
   38 6609.653 2.292720   0.484634 12127.90 1129.540 75.9965 1.94524 0.0495652 0.943594 0.00916806 0.1063470
   39 6609.645 2.289620   0.484399 12121.80 1128.850 75.8677 1.94608 0.0498498 0.941567 0.00934055 0.1062140
   40 6609.639 2.286620   0.483643 12127.40 1126.720 75.7285 1.94220 0.0494407 0.932236 0.00951724 0.1062380
   41 6609.635 2.284400   0.483562 12117.70 1125.180 75.7489 1.94152 0.0495752 0.931482 0.00961512 0.1062180
   42 6609.626 2.275550   0.483691 12054.50 1120.570 75.8806 1.94482 0.0511131 0.940539 0.00996495 0.1059670
   43 6609.623 2.274190   0.483811 12036.20 1118.490 75.8651 1.94162 0.0511163 0.939270 0.01002530 0.1060280
   44 6609.608 2.272780   0.484307 11932.00 1108.590 75.7063 1.92389 0.0511126 0.934728 0.01020980 0.1064160
   45 6609.574 2.268340   0.484689 11679.50 1090.360 75.4509 1.90475 0.0534908 0.946658 0.01073780 0.1066640
   46 6609.452 2.246860   0.485619 10571.20 1015.480 74.4192 1.84694 0.0681315 1.027350 0.01347640 0.1069290
   47 6609.325 2.218150   0.486160  9304.25  930.647 73.2670 1.80397 0.0917893 1.148320 0.01771320 0.1063520
   48 6609.021 2.213370   0.485597  8838.89  897.374 72.7902 1.80600 0.1042490 1.201480 0.02003330 0.1055050
   49 6608.256 2.218370   0.483031  7521.22  798.696 71.3144 1.79858 0.1437640 1.343590 0.02783510 0.1034260
   50 6607.789 2.246760   0.482042  6620.02  721.631 69.8261 1.75257 0.1687860 1.395140 0.03398350 0.1032010
   51 6607.116 2.406590   0.480082  5581.80  595.843 67.1469 1.66941 0.1914760 1.309400 0.04446200 0.1042390
   52 6606.816 2.440820   0.479746  5245.91  560.904 66.4293 1.64573 0.2014020 1.304860 0.04802900 0.1044000
   53 6606.581 2.463660   0.479624  4940.49  531.835 65.8743 1.62288 0.2115450 1.302340 0.05183870 0.1044460
   54 6606.398 2.503210   0.481866  4266.29  471.113 65.3374 1.59867 0.2410490 1.320770 0.06187840 0.1039730
   55 6606.242 2.452590   0.483279  4556.09  506.292 66.2164 1.60782 0.2275520 1.326100 0.05708500 0.1044090
   56 6606.111 2.486760   0.483575  4700.65  510.059 66.3986 1.63836 0.2203280 1.304360 0.05468640 0.1047200
   57 6605.926 2.526580   0.483380  4507.90  488.896 66.0264 1.62222 0.2216470 1.270390 0.05660850 0.1057070
   58 6605.819 2.646530   0.483267  3878.84  426.846 65.7977 1.62112 0.2322540 1.192910 0.06363690 0.1085020
   59 6605.204 2.629570   0.483311  4114.33  451.040 66.6196 1.65410 0.2207500 1.192080 0.05902080 0.1090150
   60 6604.841 2.708610   0.483281  4065.52  443.452 67.7256 1.70908 0.2084650 1.126240 0.05637640 0.1120660
   61 6604.673 2.829990   0.483348  3823.77  419.204 68.9717 1.77645 0.1995250 1.042230 0.05547030 0.1162160
   62 6604.673 2.830400   0.483352  3823.21  419.146 68.9754 1.77669 0.1994830 1.041920 0.05546300 0.1162310
   63 6604.666 2.828490   0.483429  3823.51  419.159 68.9448 1.77689 0.1997090 1.041030 0.05542300 0.1162740
   64 6604.658 2.827740   0.483583  3822.28  419.530 68.9476 1.77711 0.1997990 1.040410 0.05542210 0.1163350
   65 6604.611 2.818590   0.484825  3808.04  423.580 68.9542 1.77942 0.2006440 1.033540 0.05541690 0.1170440
   66 6604.603 2.815200   0.484811  3804.29  424.663 68.9320 1.77992 0.2007470 1.031950 0.05543700 0.1172900
   67 6604.587 2.806360   0.484266  3798.33  426.951 68.8689 1.78069 0.2009490 1.028530 0.05550190 0.1179370
   68 6604.577 2.797550   0.483362  3796.42  428.690 68.8062 1.78091 0.2010690 1.025750 0.05557670 0.1185850
   69 6604.570 2.793820   0.482614  3800.24  428.921 68.7768 1.78035 0.2009940 1.025030 0.05562780 0.1188970
   70 6604.564 2.792150   0.481961  3809.28  428.480 68.7605 1.77909 0.2007700 1.024930 0.05568970 0.1191560
   71 6604.554 2.791030   0.481801  3820.24  428.321 68.7620 1.77777 0.2006050 1.024090 0.05576340 0.1194970
   72 6604.494 2.776270   0.481313  3897.35  430.001 68.7301 1.76899 0.1997670 1.013460 0.05638120 0.1227780
   73 6604.430 2.752190   0.481485  4005.59  434.689 68.6203 1.75751 0.1988580 0.994880 0.05731800 0.1280750
   74 6604.348 2.733670   0.482590  4087.22  440.272 68.4738 1.74971 0.1983610 0.977957 0.05808620 0.1326070
   75 6604.250 2.715320   0.484089  4146.06  448.169 68.2127 1.74518 0.1982860 0.959411 0.05876310 0.1370390
   76 6604.193 2.690140   0.485030  4249.94  458.451 67.8818 1.73621 0.1978920 0.933448 0.05983090 0.1438040
   77 6604.173 2.670660   0.484802  4338.03  466.030 67.6250 1.72818 0.1974670 0.913653 0.06069860 0.1492850
   78 6604.167 2.675780   0.484132  4332.24  464.888 67.6308 1.72847 0.1974250 0.915993 0.06061740 0.1486520
   79 6604.165 2.685210   0.483478  4310.69  462.524 67.6553 1.73021 0.1975290 0.921446 0.06037220 0.1470400
   80 6604.161 2.689320   0.482934  4321.92  462.772 67.5662 1.72883 0.1974830 0.919805 0.06043460 0.1473510
   81 6604.161 2.689870   0.482905  4321.08  462.690 67.5627 1.72886 0.1974880 0.919977 0.06042490 0.1472860
   82 6604.161 2.690000   0.482900  4320.71  462.658 67.5628 1.72888 0.1974900 0.920054 0.06042110 0.1472620
   83 6604.160 2.690930   0.483224  4320.16  462.733 67.5660 1.72824 0.1974900 0.920011 0.06044490 0.1472600
   84 6604.158 2.692180   0.484141  4320.03  462.625 67.5456 1.72576 0.1977340 0.919291 0.06048030 0.1472650
   85 6604.155 2.692040   0.483777  4319.36  462.580 67.5549 1.72478 0.1977330 0.919227 0.06051650 0.1472730
   86 6604.149 2.690950   0.483033  4315.88  462.259 67.4730 1.72030 0.1977490 0.918866 0.06068520 0.1473240
   87 6604.142 2.691030   0.482719  4312.68  461.702 67.4003 1.71215 0.1980620 0.917462 0.06097260 0.1473720
   88 6604.135 2.690500   0.482722  4310.40  460.894 67.2588 1.70332 0.1984500 0.915602 0.06136400 0.1474120
   89 6604.127 2.689530   0.482989  4311.63  459.960 67.1314 1.69634 0.1988940 0.913405 0.06181720 0.1474000
   90 6604.114 2.686140   0.483404  4318.27  458.194 66.9365 1.68777 0.1996220 0.909480 0.06268280 0.1473100
   91 6604.082 2.675100   0.484039  4339.65  453.819 66.5277 1.67186 0.2012730 0.900065 0.06489220 0.1470070
   92 6604.035 2.654760   0.484618  4378.25  447.264 66.0063 1.65467 0.2035820 0.886292 0.06837690 0.1464400
   93 6603.974 2.625890   0.484833  4432.19  439.577 65.4973 1.64207 0.2061120 0.870433 0.07279940 0.1456250
   94 6603.931 2.606020   0.484316  4469.82  435.659 65.3376 1.64276 0.2072430 0.862464 0.07542220 0.1450480
   95 6603.926 2.600740   0.483665  4480.37  434.894 65.3013 1.64201 0.2075390 0.860695 0.07609690 0.1449270
   96 6603.925 2.599300   0.483448  4484.30  434.912 65.2763 1.64145 0.2076080 0.860539 0.07623510 0.1449270
   97 6603.921 2.594780   0.482929  4499.74  435.532 65.2045 1.63950 0.2078080 0.860821 0.07652830 0.1449910
