Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,9.6801909169342,,,,,,,,,,
WorkFlow,-0.0306640173822259,0.0553177475638432,,,,,,,,,
WorkFlow,27964.0363881491,-1433.39380038325,318638810.394641,,,,,,,,
WorkFlow,-33453.1192088718,-30.8127824864848,15383177.108486,186308363.522782,,,,,,,
WorkFlow,-162.821727674574,0.968951686658688,-899948.227321124,374630.760698518,7980.25132838782,,,,,,
WorkFlow,-4.04481192841539,-0.0100207966090936,-23094.2990214267,8813.12778633448,215.336127824734,5.9381876254903,,,,,
WorkFlow,0.0938719889418897,-0.00773801395955606,612.051439653883,-252.16923973103,-3.86347705405282,-0.0987722647551642,0.00315291529993692,,,,
WorkFlow,-23.7189110490784,-0.194674051721181,-104024.605665997,64521.4850324455,960.590878237087,25.4223011475819,-0.437668398792747,126.614728587141,,,
WorkFlow,5.46862518199854,0.0346694820280592,24168.2166944863,-14915.505239575,-220.548056538399,-5.82862687454804,0.102183167932269,-29.0444029562673,6.6648731426349,,
WorkFlow,0.459904092406663,0.0173634297072522,-3516.04621043367,-3831.36905193938,41.4675081014455,1.28925367104804,-0.0193226527573525,2.51136179280078,-0.571758335294881,0.876423672686168,
WorkFlow,2.14487973345385,0.00130425872803947,1295.31980526046,-12110.9904058157,-105.404215203873,-2.9695882762793,0.0513300846016499,-12.3689858360669,2.8394422708321,-0.596973944026552,5.6496685073051
