Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,0.0149499262849207,,,,,,,,,,,
WorkFlow,-0.000932519328193762,0.0004274710837705,,,,,,,,,,
WorkFlow,-12.1395514185083,-0.422973124860117,94748.2179769012,,,,,,,,,
WorkFlow,-13.1967917419547,0.80294734760711,19208.8062453644,35145.4206617499,,,,,,,,
WorkFlow,-0.136685739896172,-0.00541304390867133,271.590386715489,187.266134032299,9.83005853180381,,,,,,,
WorkFlow,-0.0107599486300921,0.000565572252156807,15.4406761463597,10.34393812827,0.201869493685032,0.0146521965508095,,,,,,
WorkFlow,0.000454108809234405,-3.12890222685479e-05,-0.141412917173386,-0.195933603541127,-0.00596515413264825,-0.000331831663780707,2.56479893836798e-05,,,,,
WorkFlow,-0.00143316971579245,4.86081092485953e-05,2.08151373038292,2.0354434011988,0.020468754081188,0.00124293687845868,-3.93291855722672e-05,0.000337712907057065,,,,
WorkFlow,0.000185876980502984,-1.84350609569973e-05,0.199374424341934,-0.143453711884668,-0.00209281934166473,-0.000118261112907207,1.2110605981741e-05,-4.38769093995879e-05,1.34176769791522e-05,,,
WorkFlow,-9.44860358348824e-05,1.81566807850794e-05,-0.0915721536112481,-0.00914162936983434,0.00137580561345869,2.68309457618044e-05,-5.35453393952846e-06,5.06767871012442e-06,-4.7400093860368e-06,8.44265384658361e-06,,
WorkFlow,0.172042809195833,-0.00725408751953745,-476.399783987033,-310.766850757749,-2.459226721378,-0.158983224249847,0.00326356264152845,-0.0237684117208237,0.000661303550138783,0.000366022912971101,4.16209294785836,
WorkFlow,-29.4110881466679,1.2609736844434,81906.1970151091,53714.1905310716,419.978272970142,27.1262856574011,-0.551720138629706,4.08442145888205,-0.109950033727743,-0.0678333509098356,-716.071429860689,123296.91935215
