
 WorkFlow
Start 2024-09-22 08:40:31  Run : 1.53611111111111 nSubj: 60 nObs : 480
 Iter      -2LL    GAMMA CMultStdev  tvVmax    tvKm     tvV    tvKa      K12      K21       K13        K31   dVdWT
   48  6891.287 1.602920   0.929478 4001.03 3995.87 49.3261 1.15915 0.719016 3.308550 0.1286950 0.11683900 1.08961
   49  6891.225 1.602110   0.924731 4001.97 3994.50 49.3817 1.15796 0.701806 3.302790 0.1218940 0.11357200 1.08961
   50  6891.193 1.601350   0.920309 4002.85 3993.20 49.4341 1.15687 0.686162 3.297350 0.1158480 0.11050800 1.08961
   51  6891.170 1.600580   0.915862 4003.74 3991.89 49.4873 1.15578 0.670808 3.291790 0.1100450 0.10740800 1.08962
   52  6891.147 1.599800   0.911368 4004.65 3990.55 49.5416 1.15469 0.655676 3.286090 0.1044540 0.10425800 1.08964
   53  6891.118 1.599020   0.906881 4005.57 3989.21 49.5964 1.15361 0.640942 3.280320 0.0991359 0.10109600 1.08965
   54  6891.050 1.598260   0.902579 4006.46 3987.91 49.6496 1.15259 0.627203 3.274710 0.0942941 0.09804990 1.08967
   55  6890.989 1.596460   0.892439 4008.59 3984.82 49.7764 1.15020 0.595917 3.261280 0.0836381 0.09089470 1.08972
   56  6890.937 1.595800   0.888712 4009.38 3983.67 49.8237 1.14933 0.584845 3.256250 0.0800073 0.08827220 1.08975
   57  6890.713 1.594050   0.879019 4011.46 3980.65 49.9483 1.14711 0.557101 3.242940 0.0712356 0.08148830 1.08982
   58  6890.537 1.592450   0.870204 4013.38 3977.86 50.0635 1.14512 0.532995 3.230620 0.0639720 0.07541280 1.08989
   59  6890.278 1.590870   0.861646 4015.27 3975.12 50.1773 1.14322 0.510698 3.218440 0.0575766 0.06960000 1.08998
   60  6890.139 1.587350   0.842841 4019.53 3968.98 50.4330 1.13914 0.464657 3.191130 0.0452818 0.05732050 1.09019
   61  6890.027 1.584860   0.829817 4022.58 3964.61 50.6158 1.13641 0.435530 3.171670 0.0382464 0.04923370 1.09037
   62  6889.171 1.582380   0.817202 4025.66 3960.24 50.7994 1.13393 0.410394 3.152190 0.0328067 0.04171170 1.09059
   63  6886.254 1.578180   0.796628 4031.01 3952.73 51.1159 1.13032 0.376652 3.119120 0.0267111 0.03025040 1.09106
   64  6879.274 1.575660   0.785459 4034.41 3948.08 51.3112 1.12913 0.368540 3.099440 0.0267784 0.02420830 1.09149
   65  6859.367 1.571400   0.769232 4040.54 3939.94 51.6502 1.12934 0.380659 3.068020 0.0350458 0.01557210 1.09258
   66  6855.461 1.566970   0.755439 4047.47 3931.05 52.0165 1.13235 0.427508 3.037190 0.0581960 0.00888215 1.09413
   67  6840.803 1.569580   0.769672 4044.52 3935.40 51.8312 1.13646 0.474259 3.057450 0.0746602 0.01310800 1.09414
   68  6840.244 1.569360   0.767246 4044.56 3935.19 51.8417 1.13501 0.455489 3.055770 0.0666123 0.01289340 1.09396
   69  6840.118 1.568990   0.765065 4044.97 3934.59 51.8677 1.13434 0.447300 3.053540 0.0634680 0.01263710 1.09393
