Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,,
WorkFlow,-0.368879860844924,1,,,,,,,,,,
WorkFlow,-0.322550402430098,-0.0664620721230286,1,,,,,,,,,
WorkFlow,-0.575724173019972,0.207156862025422,0.332874462183514,1,,,,,,,,
WorkFlow,-0.356554260700605,-0.0835045474877434,0.281417315780864,0.318600769275143,1,,,,,,,
WorkFlow,-0.727008191718191,0.225986947037217,0.414409231171106,0.455827133467307,0.531913819736409,1,,,,,,
WorkFlow,0.733354124037932,-0.298821580605787,-0.0907145380726493,-0.206370630207757,-0.375679031219735,-0.541302202297016,1,,,,,
WorkFlow,-0.637829008787886,0.127932688751289,0.367976365103419,0.590814068316811,0.355254450024865,0.558758157187161,-0.422585373197081,1,,,,
WorkFlow,0.415018462477243,-0.243417916415556,0.176825646674275,-0.208900149637938,-0.182227963750515,-0.266717755353822,0.652830664613953,-0.651813773557533,1,,,
WorkFlow,-0.26595527661324,0.302234192411554,-0.102385489555877,-0.0167822329479721,0.151021762200067,0.0762860488645684,-0.36387776738837,0.0949064549815944,-0.445349576658143,1,,
WorkFlow,0.689701407635917,-0.171978252827555,-0.758630227855462,-0.812539395220973,-0.384471923019734,-0.643789731208601,0.315870743829723,-0.633972536575784,0.0884924666155254,0.0617465780073059,1,
WorkFlow,-0.685039248091931,0.173690689557538,0.757800912018508,0.81597818775081,0.381480777069091,0.638208890971039,-0.310253051159454,0.63296632711023,-0.0854831639108706,-0.0664856114041329,-0.999595624100817,1
