
 WorkFlow
Start 2024-10-22 12:08:35  Run : 32.9666666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV    tvKa     K12     K21    dVdWT
    1 7127.276 0.978657   0.476280 4794.99 2982.860 76.4401 1.23006 2.40841 2.43627 1.120830
    2 7091.837 0.919803   0.477230 4903.74 2884.930 75.7109 1.24215 2.38763 2.46663 1.120470
    3 7033.741 0.965118   0.915235 5223.18 2682.270 49.1329 1.46637 1.85262 3.30449 1.103090
    4 6929.434 0.979757   0.687459 5371.28 2577.690 55.3497 1.43224 1.94390 3.17846 1.105880
    5 6902.583 1.035780   0.557255 5468.59 2511.850 55.5342 1.42018 1.94242 3.18529 1.104010
    6 6896.480 1.102290   0.508323 5628.78 2389.360 53.0374 1.40721 1.89058 3.26978 1.099360
    7 6890.732 1.179100   0.510583 5839.25 2221.170 50.6770 1.37614 1.83826 3.37136 1.094910
    8 6885.676 1.314970   0.517140 6165.47 1910.740 48.5782 1.28163 1.77127 3.51297 1.085600
    9 6883.830 1.370730   0.526211 6226.28 1817.850 49.0358 1.21014 1.75791 3.56446 1.084570
   10 6882.594 1.402420   0.527024 6172.32 1744.510 49.7438 1.14546 1.75197 3.61411 1.086620
   11 6881.485 1.408940   0.525515 6001.73 1701.760 50.4540 1.11262 1.74978 3.64543 1.090240
   12 6879.410 1.431180   0.520657 5658.67 1571.020 51.1733 1.08686 1.73898 3.72128 1.099360
   13 6875.430 1.454450   0.514990 4752.89 1326.140 52.8778 1.11044 1.72479 3.86831 1.122030
   14 6874.167 1.548400   0.509729 4117.07 1013.130 53.0917 1.13797 1.68007 4.05606 1.135350
   15 6871.776 1.515680   0.514562 3927.20 1055.040 53.4231 1.22672 1.69091 4.02321 1.136480
   16 6870.980 1.549010   0.516318 3897.50 1018.260 52.9929 1.24570 1.67672 4.04722 1.131220
   17 6870.539 1.653230   0.518281 3455.81  840.557 52.9916 1.30567 1.63547 4.17673 1.128150
   18 6869.982 1.652760   0.517560 3571.60  879.363 52.9673 1.28946 1.63835 4.15215 1.121280
   19 6869.552 1.673670   0.517372 3712.77  905.294 53.1657 1.25575 1.63995 4.15138 1.108790
   20 6869.113 1.686840   0.516253 3669.65  891.170 53.5774 1.23960 1.63863 4.16299 1.099160
   21 6867.423 1.878900   0.509091 2787.83  625.818 57.4230 1.20317 1.59716 4.38307 1.019380
   22 6865.977 1.915940   0.509585 2650.43  597.929 57.5986 1.24782 1.58731 4.39932 0.996338
   23 6863.904 2.038700   0.509489 2512.09  542.349 56.9103 1.34968 1.55441 4.41701 0.938841
   24 6863.808 2.068550   0.509318 2423.49  518.462 57.0893 1.35802 1.54633 4.44050 0.927083
   25 6863.433 2.123130   0.511251 2310.33  498.749 56.3825 1.39373 1.52366 4.45859 0.895396
   26 6862.715 2.159380   0.510871 2315.58  485.444 56.1429 1.38648 1.51237 4.47845 0.891986
   27 6860.948 2.236490   0.505153 2270.62  453.664 55.5975 1.34134 1.47785 4.54822 0.896739
   28 6859.166 2.243570   0.501759 2312.50  457.828 55.0773 1.28515 1.45952 4.59548 0.940440
   29 6857.529 2.229530   0.499985 2296.40  458.892 54.9866 1.26389 1.44805 4.64680 1.008600
   30 6856.323 2.244300   0.499779 2216.62  445.949 55.3895 1.30041 1.43680 4.67669 1.048210
   31 6855.123 2.263750   0.501532 2158.19  436.891 57.0141 1.36655 1.42805 4.72468 1.142520
   32 6854.754 2.280330   0.502413 2149.32  432.667 57.7979 1.38172 1.43000 4.73342 1.147970
   33 6854.197 2.415660   0.503950 2048.88  394.710 59.7060 1.42326 1.40967 4.80078 1.128710
   34 6853.851 2.465210   0.505341 2088.34  398.641 60.2681 1.43326 1.40377 4.82899 1.127720
   35 6853.546 2.492150   0.504096 2088.41  399.543 60.0845 1.41860 1.39420 4.86206 1.123880
   36 6853.100 2.638440   0.500640 2031.38  385.930 59.9420 1.37689 1.34773 5.03111 1.126440
   37 6853.079 2.662110   0.501209 2014.22  381.305 60.0092 1.37893 1.34026 5.04738 1.123880
   38 6853.028 2.689180   0.502649 1989.53  375.698 60.2891 1.38406 1.32864 5.06949 1.133870
   39 6852.820 2.676180   0.504405 1997.31  379.534 60.3716 1.37957 1.32421 5.06778 1.147680
   40 6852.153 2.606970   0.505735 2016.83  388.663 60.7824 1.38300 1.31509 5.02247 1.187230
   41 6851.089 2.460210   0.506364 2027.22  402.120 61.0774 1.37580 1.30131 4.93744 1.245210
   42 6850.182 2.357210   0.503794 2048.98  414.048 60.8681 1.36486 1.28799 4.88264 1.269390
   43 6849.838 2.364130   0.500925 2052.74  413.184 60.4973 1.36010 1.27314 4.89730 1.254900
   44 6849.786 2.371750   0.500965 2052.10  411.331 60.2440 1.36610 1.27246 4.89932 1.249040
   45 6849.771 2.406110   0.501076 2040.10  405.234 59.9558 1.37465 1.26528 4.92578 1.242670
   46 6849.771 2.406270   0.501077 2040.04  405.209 59.9564 1.37467 1.26525 4.92588 1.242610
   47 6849.721 2.412850   0.500158 2034.13  406.621 60.6459 1.36778 1.26484 4.91413 1.230710
   48 6849.637 2.410060   0.502562 2046.45  405.884 60.7934 1.36762 1.26241 4.91621 1.215580
   49 6849.444 2.398490   0.507733 2067.26  406.387 60.6897 1.36807 1.24314 4.91970 1.137330
   50 6849.366 2.395030   0.501163 2073.60  406.070 60.6751 1.37243 1.23784 4.92637 1.112760
   51 6849.293 2.398730   0.499476 2048.75  407.898 60.3593 1.37818 1.23510 4.93774 1.109170
   52 6849.247 2.403240   0.501886 2050.34  409.193 60.7781 1.37484 1.23539 4.95001 1.098820
   53 6849.203 2.394920   0.502192 2054.19  409.830 61.1768 1.37090 1.23454 4.96710 1.092380
   54 6849.183 2.386570   0.502517 2063.92  411.931 61.7948 1.36726 1.23907 5.01459 1.096590
   55 6849.090 2.354160   0.502547 2100.96  420.914 63.0780 1.36755 1.24242 5.22968 1.071280
   56 6848.909 2.303420   0.501988 2140.25  430.953 63.6129 1.37538 1.24819 5.50812 1.052470
   57 6848.643 2.286350   0.500171 2151.94  436.173 62.8698 1.38829 1.25118 5.68491 1.049490
   58 6848.632 2.299720   0.500001 2136.72  431.746 61.6591 1.38694 1.24849 5.62062 1.064110
   59 6848.581 2.295360   0.500535 2142.81  434.178 61.9388 1.38489 1.24860 5.68539 1.057350
   60 6848.508 2.277480   0.501051 2150.82  437.251 62.3358 1.38289 1.25016 5.77186 1.047560
   61 6848.431 2.254900   0.500765 2166.46  442.106 62.5653 1.38460 1.25572 5.94182 1.046180
   62 6848.341 2.228730   0.499989 2186.67  449.413 62.5806 1.38529 1.26142 6.23453 1.049100
   63 6848.297 2.229410   0.499295 2200.94  450.788 62.7758 1.38462 1.26256 6.31327 1.056680
   64 6848.284 2.220080   0.498332 2234.33  455.219 63.1857 1.38143 1.26517 6.52769 1.068150
   65 6848.267 2.214630   0.499552 2232.74  455.493 63.1732 1.38336 1.26770 6.53276 1.076380
   66 6848.261 2.206110   0.501024 2233.61  456.434 63.1950 1.38563 1.27185 6.56734 1.089860
   67 6848.260 2.200880   0.501421 2236.47  457.366 63.2116 1.38660 1.27389 6.58694 1.095930
   68 6848.259 2.196290   0.501490 2238.98  458.430 63.1602 1.38664 1.27636 6.59588 1.102920
   69 6848.259 2.196100   0.501467 2239.08  458.484 63.1544 1.38650 1.27650 6.59551 1.103380
   70 6848.259 2.195960   0.501451 2239.15  458.522 63.1503 1.38640 1.27659 6.59520 1.103700
   71 6848.259 2.195950   0.501449 2239.16  458.525 63.1500 1.38639 1.27660 6.59517 1.103730
   72 6848.258 2.195510   0.500156 2239.60  458.624 63.1812 1.38596 1.27696 6.59304 1.103770
   73 6848.256 2.196540   0.499716 2242.26  459.113 63.2194 1.38625 1.27781 6.59529 1.103880
   74 6848.253 2.199500   0.499009 2248.63  460.690 63.3199 1.38801 1.28089 6.60374 1.104750
   75 6848.249 2.198270   0.499626 2247.54  460.860 63.2761 1.38753 1.28075 6.60149 1.104650
   76 6848.245 2.194680   0.500849 2250.83  462.326 63.2020 1.38689 1.28224 6.60243 1.105710
   77 6848.244 2.194210   0.500993 2251.32  462.536 63.1942 1.38683 1.28249 6.60258 1.105860
   78 6848.244 2.190020   0.501411 2254.58  463.373 63.1228 1.38599 1.28366 6.60214 1.106280
   79 6848.244 2.188970   0.501433 2255.16  463.452 63.1190 1.38581 1.28377 6.60178 1.106460
   80 6848.242 2.189830   0.500947 2253.93  463.533 63.1668 1.38665 1.28339 6.60289 1.106270
   81 6848.236 2.186710   0.499817 2254.22  464.379 63.2643 1.38872 1.28234 6.60487 1.106470
   82 6848.233 2.183380   0.499548 2255.62  464.878 63.3059 1.38995 1.28165 6.60608 1.106630
   83 6848.229 2.177100   0.499314 2258.14  465.713 63.4152 1.39336 1.27942 6.61201 1.106560
   84 6848.225 2.174890   0.499580 2259.13  465.961 63.4767 1.39543 1.27764 6.61861 1.106110
   85 6848.219 2.173130   0.500485 2260.23  466.279 63.5998 1.39945 1.27322 6.63731 1.104710
   86 6848.215 2.173220   0.500972 2260.66  466.654 63.6607 1.40121 1.27001 6.65428 1.103840
   87 6848.210 2.173050   0.501208 2262.01  467.410 63.6820 1.40138 1.26695 6.67348 1.103460
   88 6848.202 2.170770   0.501304 2267.51  469.828 63.6939 1.39990 1.25975 6.72100 1.103460
   89 6848.198 2.168660   0.500968 2273.07  471.602 63.6552 1.39712 1.25555 6.75060 1.104250
   90 6848.190 2.167380   0.500290 2278.86  472.832 63.6178 1.39378 1.25246 6.77119 1.105360
   91 6848.187 2.166110   0.499806 2285.16  473.733 63.6279 1.39163 1.24847 6.79260 1.106110
   92 6848.187 2.167270   0.499753 2287.22  473.549 63.6490 1.39103 1.24677 6.79935 1.106140
   93 6848.185 2.170280   0.499796 2291.44  473.300 63.6987 1.38940 1.24234 6.81918 1.106050
   94 6848.184 2.170440   0.499814 2291.35  473.253 63.7049 1.38952 1.24220 6.81956 1.105990
   95 6848.184 2.170440   0.499814 2291.35  473.253 63.7049 1.38952 1.24220 6.81956 1.105990
