
 WorkFlow
Start 2024-10-19 14:37:06  Run : 4.68333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa      K12      K21       K13       K31    dVdWT
    1 7055.690   1.122010 3912.79 4084.240 44.7803 1.194680 0.945321 4.014200 0.1201240 0.0245800 1.096380
    2 6780.210   1.124310 3900.32 4095.280 44.5010 1.190220 0.816322 4.114200 0.1220260 0.0248686 1.096150
    3 6776.964   1.118270 3899.96 4095.340 44.6235 1.186770 0.813416 4.115790 0.1218460 0.0249717 1.096240
    4 6687.780   0.872849 3889.59 4093.460 50.1240 1.041620 0.734935 4.150770 0.1135320 0.0294589 1.100230
    5 6630.025   0.702920 3885.60 4088.280 54.6031 0.932921 0.706960 4.155370 0.1066570 0.0331218 1.103360
    6 6548.144   0.503680 3886.80 4075.170 60.8411 0.793942 0.714981 4.129130 0.0966268 0.0383904 1.107580
    7 6538.006   0.576474 3892.96 4073.630 58.3553 0.846880 0.753863 4.108110 0.0991053 0.0364660 1.106020
    8 6529.125   0.571407 3891.64 4074.240 58.4751 0.841606 0.737443 4.119140 0.0989562 0.0366997 1.106130
    9 6526.998   0.547230 3892.25 4071.620 59.1901 0.822525 0.732734 4.119060 0.0973934 0.0375614 1.106670
   10 6524.272   0.539340 3894.43 4068.020 59.3057 0.813556 0.729980 4.118350 0.0961647 0.0381554 1.106870
   11 6504.295   0.503973 3920.61 4029.180 58.8306 0.751993 0.704934 4.111430 0.0851479 0.0435729 1.108090
   12 6490.591   0.517249 3938.95 4004.900 57.2575 0.739226 0.687344 4.111110 0.0799217 0.0461739 1.108080
   13 6480.244   0.559204 3962.79 3976.020 54.5734 0.746399 0.668450 4.111450 0.0752246 0.0484208 1.107550
   14 6479.823   0.565468 3971.66 3965.490 53.9841 0.746988 0.664463 4.109310 0.0736504 0.0492623 1.107570
   15 6479.490   0.568718 3976.76 3960.090 53.7400 0.751910 0.662293 4.108440 0.0733275 0.0494455 1.107620
   16 6478.273   0.571519 3996.87 3939.210 53.2119 0.770059 0.656094 4.103250 0.0723467 0.0500914 1.108050
   17 6475.469   0.566334 4049.41 3885.680 52.4179 0.817278 0.642984 4.087830 0.0703607 0.0515880 1.109490
   18 6471.362   0.544147 4141.57 3794.050 51.6879 0.899042 0.623845 4.059040 0.0675060 0.0540330 1.112340
   19 6468.150   0.510490 4247.03 3692.510 51.4371 0.991395 0.606261 4.025050 0.0649610 0.0565494 1.115860
   20 6467.383   0.494100 4301.02 3641.980 51.5281 1.036620 0.599889 4.007530 0.0641240 0.0575445 1.117690
   21 6466.805   0.489220 4325.98 3619.330 51.7375 1.055860 0.599126 3.999610 0.0642678 0.0576253 1.118560
   22 6464.725   0.480176 4414.14 3539.860 52.4877 1.112390 0.597137 3.973290 0.0647254 0.0578318 1.121500
   23 6461.096   0.471199 4574.80 3398.840 53.8583 1.201930 0.591834 3.929090 0.0653574 0.0582565 1.126720
   24 6451.474   0.444220 5149.13 2932.410 57.4227 1.496740 0.557926 3.783660 0.0635429 0.0623793 1.144370
   25 6444.017   0.428227 6107.49 2282.100 64.5328 1.924030 0.514866 3.569360 0.0642281 0.0663007 1.172040
   26 6432.052   0.472581 6030.19 2332.440 65.9855 1.834580 0.533441 3.592940 0.0687508 0.0623249 1.169900
   27 6423.232   0.486947 6067.66 2306.320 65.5390 1.810210 0.518975 3.591680 0.0655689 0.0644717 1.170600
   28 6413.063   0.501619 6252.79 2189.730 67.0256 1.783370 0.486202 3.568170 0.0605674 0.0687161 1.175630
   29 6408.860   0.504763 6296.64 2159.880 68.6264 1.705150 0.469720 3.570620 0.0577728 0.0709834 1.177110
   30 6405.224   0.504232 6387.75 2101.180 71.9557 1.597060 0.452324 3.566860 0.0549095 0.0735554 1.180090
   31 6403.308   0.502327 6433.39 2071.200 74.8081 1.510860 0.447620 3.566720 0.0540030 0.0743644 1.181690
   32 6401.757   0.499522 6448.33 2060.630 76.8166 1.462320 0.452765 3.566600 0.0546451 0.0737542 1.182200
   33 6400.804   0.497835 6390.36 2093.120 77.0652 1.436240 0.464073 3.576210 0.0559246 0.0723373 1.180420
