Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,0.00082204374380878,,,,,,,,,,
WorkFlow,12.6403676379473,66680950.4346552,,,,,,,,,
WorkFlow,8.41489475519669,35032294.6192098,19183904.9407322,,,,,,,,
WorkFlow,0.0925237146857759,-9979.75352891265,-6967.55363179853,122.145650690645,,,,,,,
WorkFlow,0.00104840698262909,-341.092691679239,-186.260592282889,1.68689054735612,0.0738154376226421,,,,,,
WorkFlow,0.00141782012668657,-567.820503476979,-286.019120590901,1.20761045244018,0.0511772701675871,0.0594583026855717,,,,,
WorkFlow,0.0118942040066547,-4082.18957661521,-2105.00437993848,11.8415160796899,0.476558252165294,0.523555674916379,4.67558062621954,,,,
WorkFlow,4.4348023608107e-05,-60.6337241661891,-33.432074292397,-0.00547122252534859,0.000626988231738592,0.00187786467847249,0.0143039336941853,0.000167523275487397,,,
WorkFlow,4.93883885624938e-05,9.5563515946876,5.80466555690755,-0.00147388952350708,0.000776691588635918,0.00136731701212899,0.0110117809959093,8.02399506409034e-05,0.000104637234307195,,
WorkFlow,0.00133903544142915,1026.61354650212,656.227074054855,0.877369903347402,0.0323057529800931,0.0202884849866305,0.195040800940344,-0.001032053811222,0.000316338471204868,0.425344779867335,
WorkFlow,-0.0137803901210852,-17454.7685783218,-9240.98385585538,-7.04347932659113,-0.229044908002777,-0.215351410036339,-2.20552050610887,0.00626178859152366,-0.0145697667207521,-1.10513138653456,34.0141178218818
