Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,0.053989754217939,1,,,,,,,,,
WorkFlow,0.0670089353003459,0.979488151813149,1,,,,,,,,
WorkFlow,0.291989068598618,-0.110580849310549,-0.14393712032409,1,,,,,,,
WorkFlow,0.134588775258557,-0.153743910809888,-0.156523255921288,0.561790384325791,1,,,,,,
WorkFlow,0.202799751771837,-0.285170059324594,-0.26780600216753,0.448106873824792,0.772497821553438,1,,,,,
WorkFlow,0.191853684311144,-0.231192905802454,-0.22226276958631,0.495507839754381,0.811193794328314,0.992976207019325,1,,,,
WorkFlow,0.119505867236639,-0.573688012350171,-0.589735454932819,-0.0382479177772087,0.178298714505227,0.595004789301507,0.511093238041932,1,,,
WorkFlow,0.168396967314448,0.114405815989311,0.12955839803403,-0.0130371541939254,0.279467864500345,0.548175772698871,0.497847882391457,0.606052083784547,1,,
WorkFlow,0.0716100627320371,0.192768268451884,0.229728609389902,0.121723147931402,0.182320588904274,0.127577124889733,0.138304764948507,-0.122262764203054,0.0474174649385757,1,
WorkFlow,-0.0824108592808124,-0.366508118052967,-0.361759628302791,-0.109274451354851,-0.144549780302101,-0.151429978280005,-0.174889493088368,0.0829528319636479,-0.244219234879018,-0.290545232711255,1
