Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,0.000488868180876305,,,,,,,,,
WorkFlow,-10.1760150151778,5129032.08653598,,,,,,,,
WorkFlow,-0.600129121794139,1220877.5450293,441329.182363973,,,,,,,
WorkFlow,-0.0171325312373095,-3370.82857382341,-583.674672534499,38.9180742848598,,,,,,
WorkFlow,0.000390115780588521,-179.032354327144,-42.4611747254221,0.717196736424504,0.0290292934720874,,,,,
WorkFlow,2.57904526375135e-06,56.4416529608869,13.5530696313654,-0.205167049475755,-0.00534694461851122,0.0021238426083599,,,,
WorkFlow,-0.000787851326795523,427.694347262624,83.4058867080023,-0.630996323993763,-0.0179009857177286,0.007714941836306,0.0675891413101885,,,
WorkFlow,-2.38385600608859e-05,16.0891877166711,2.5516335968539,-0.0581340996497218,-0.0016443639852216,0.000564023519459,0.00146146117939134,0.000193016491665047,,
WorkFlow,3.88681174806214e-05,12.9450952102458,2.99080243444873,-0.023558246716578,-0.000748811744763368,0.000359344960527251,0.00135390560247898,0.000104857416789982,0.000113285562653067,
WorkFlow,0.000556065821291972,48.0308666225605,29.1633156641257,-0.162273617987883,0.0029785371300178,0.002110518200969,0.017563104706292,-1.31148582797398e-05,3.402413915389e-05,0.0431387819679806
