
 WorkFlow
Start 2024-10-19 11:51:53  Run : 5.86666666666667 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa       K12      K21       K13       K31
    1 7186.309   1.126580 3873.96 4117.020 44.9430 1.195090 0.9538600 4.003280 0.1202180 0.0247361
    2 6827.863   1.130740 3860.48 4129.270 44.6259 1.191370 0.8147420 4.111570 0.1224400 0.0249466
    3 6825.423   1.125570 3860.15 4129.450 44.7424 1.188930 0.8117720 4.113300 0.1223820 0.0250130
    4 6786.304   1.005910 3855.09 4131.210 47.5917 1.132210 0.7694320 4.133570 0.1205530 0.0265370
    5 6748.748   0.859765 3851.20 4130.950 51.4438 1.059880 0.7378060 4.143390 0.1177740 0.0285246
    6 6701.958   0.676130 3849.70 4126.930 56.9947 0.962596 0.7196370 4.139050 0.1134170 0.0313459
    7 6664.539   0.612269 3855.02 4119.860 59.1295 0.927436 0.7419920 4.116170 0.1110150 0.0324532
    8 6661.389   0.635205 3858.75 4116.780 58.2798 0.940459 0.7542310 4.109070 0.1111220 0.0321340
    9 6660.619   0.629532 3860.26 4114.950 58.4264 0.936723 0.7520140 4.109760 0.1107740 0.0323168
   10 6655.450   0.601787 3878.15 4094.610 58.8734 0.915706 0.7390850 4.112660 0.1077250 0.0337226
   11 6646.676   0.575509 3916.93 4052.210 58.7387 0.890325 0.7220210 4.114660 0.1021980 0.0361434
   12 6618.626   0.519171 4071.30 3890.130 56.7648 0.820219 0.6712290 4.117310 0.0833007 0.0452515
   13 6609.571   0.525324 4302.92 3662.700 51.0233 0.775306 0.6001650 4.131920 0.0617755 0.0577729
   14 6605.634   0.590632 4235.96 3729.940 50.4827 0.830535 0.6192620 4.135410 0.0697719 0.0521284
   15 6599.337   0.556612 4239.93 3725.700 51.7091 0.813718 0.6221740 4.129910 0.0692368 0.0527726
   16 6598.221   0.551112 4268.20 3699.240 51.5066 0.810276 0.6169330 4.129510 0.0675418 0.0539054
   17 6595.916   0.545996 4314.30 3658.050 51.3716 0.813770 0.6118220 4.127930 0.0661101 0.0549832
   18 6586.761   0.529139 4512.73 3487.660 51.2465 0.844352 0.5955930 4.118960 0.0624803 0.0581971
   19 6570.422   0.507395 4848.68 3220.840 51.9097 0.921085 0.5799200 4.099870 0.0605006 0.0611517
   20 6538.192   0.478456 5558.79 2724.510 54.1359 1.117370 0.5615500 4.057000 0.0615106 0.0638765
   21 6513.536   0.475706 6194.56 2344.290 56.2090 1.320620 0.5537100 4.019350 0.0659687 0.0636990
   22 6502.591   0.492538 6455.71 2205.040 57.0460 1.424670 0.5543250 4.004170 0.0702626 0.0619698
   23 6499.394   0.501389 6616.95 2121.970 57.5309 1.481240 0.5505480 3.996810 0.0722553 0.0614107
   24 6498.297   0.502808 6701.10 2079.070 57.9704 1.505360 0.5462790 3.993690 0.0730561 0.0613575
   25 6497.607   0.501147 6719.10 2068.890 58.3261 1.504580 0.5419600 3.994050 0.0730675 0.0615574
   26 6497.054   0.496802 6726.95 2062.140 58.7492 1.494100 0.5362890 3.995060 0.0724686 0.0621286
   27 6496.541   0.492436 6699.31 2072.350 59.2324 1.473040 0.5330070 3.996710 0.0718757 0.0625512
   28 6495.588   0.488988 6662.73 2083.660 59.9662 1.441870 0.5294210 3.998230 0.0709437 0.0631854
   29 6493.395   0.486494 6599.47 2096.630 61.9142 1.377060 0.5243280 3.998700 0.0693135 0.0643641
   30 6490.749   0.492436 6566.57 2090.780 64.1483 1.323420 0.5229790 3.995100 0.0683802 0.0651389
   31 6487.379   0.508852 6640.44 2023.500 67.4843 1.298850 0.5253900 3.981430 0.0689011 0.0653815
   32 6486.144   0.523613 6763.70 1950.140 69.0341 1.323150 0.5275940 3.969900 0.0702320 0.0650498
   33 6485.996   0.528584 6784.15 1939.660 69.0869 1.333760 0.5288070 3.968020 0.0708329 0.0647067
   34 6485.982   0.529679 6788.18 1937.700 68.9993 1.336590 0.5286630 3.967800 0.0708821 0.0646711
   35 6485.977   0.530955 6807.84 1927.240 69.0258 1.344290 0.5284590 3.966150 0.0711221 0.0645846
   36 6485.972   0.530014 6799.60 1931.150 69.0106 1.341320 0.5284250 3.966540 0.0710171 0.0646249
   37 6485.962   0.529178 6792.71 1932.780 69.0792 1.338370 0.5283390 3.966040 0.0709629 0.0646445
   38 6485.957   0.528059 6784.59 1934.120 69.1417 1.334720 0.5279910 3.965220 0.0708395 0.0647024
   39 6485.926   0.526181 6762.62 1937.450 69.1787 1.329380 0.5277300 3.962160 0.0707297 0.0646802
   40 6485.850   0.521831 6699.55 1938.040 69.2966 1.315220 0.5260790 3.948800 0.0703321 0.0646346
   41 6485.657   0.519415 6660.58 1923.650 69.3039 1.313560 0.5243240 3.931980 0.0702415 0.0644364
   42 6483.881   0.509103 6342.66 1748.950 69.9011 1.309920 0.5069250 3.763000 0.0697945 0.0624341
   43 6481.956   0.504955 5917.44 1509.440 70.4882 1.315810 0.4833990 3.528710 0.0696328 0.0593125
   44 6480.699   0.508570 5171.62 1121.600 71.4024 1.326350 0.4411510 3.120830 0.0694931 0.0536530
   45 6479.826   0.516963 5112.71 1100.220 71.1282 1.331640 0.4369250 3.094490 0.0698205 0.0530122
   46 6479.429   0.527584 5147.38 1055.760 70.8356 1.356610 0.4302110 3.075170 0.0697814 0.0530295
   47 6479.421   0.528473 5118.91 1045.960 70.5309 1.361300 0.4286900 3.061960 0.0698035 0.0527746
   48 6479.368   0.528947 5148.89 1065.420 69.9782 1.366790 0.4306120 3.081370 0.0697590 0.0529947
   49 6479.361   0.528359 5130.45 1059.540 69.8252 1.366830 0.4296250 3.073380 0.0695566 0.0529681
   50 6479.333   0.527201 5135.28 1067.950 69.6778 1.364420 0.4304740 3.080190 0.0693137 0.0531647
   51 6479.315   0.526037 5155.66 1084.980 69.4494 1.361720 0.4322950 3.096270 0.0690079 0.0535183
   52 6479.308   0.526915 5148.81 1081.370 69.5051 1.361980 0.4318160 3.092420 0.0690994 0.0534180
   53 6479.308   0.527216 5145.65 1079.950 69.5488 1.361610 0.4316610 3.090820 0.0691306 0.0533810
   54 6479.308   0.527226 5145.49 1079.860 69.5496 1.361620 0.4316480 3.090720 0.0691313 0.0533795
   55 6478.472   0.525773 4893.07 1055.990 69.9516 1.380210 0.4287260 3.033980 0.0692391 0.0535487
   56 6477.722   0.524010 4666.80 1029.090 70.3473 1.398240 0.4302060 2.961830 0.0689528 0.0537165
   57 6476.951   0.527850 4566.01  961.362 70.2814 1.400600 0.4215110 2.906640 0.0684588 0.0549886
   58 6476.535   0.521383 4498.25  889.718 71.1107 1.405780 0.4138630 2.831120 0.0697825 0.0539293
   59 6476.298   0.531928 4392.11  829.267 70.8855 1.410520 0.4089270 2.760630 0.0709761 0.0524239
