Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5%CI,97.5%CI,Var.Inf.factor
WorkFlow,CMultStdev,0.48081343106968,,0.0303849057649563,6.31947940750283,0.421082487435357,0.540544374704003,
WorkFlow,tvVmax,1216.17392579209,,1030.54465185953,84.7366178475126,-809.680786051971,3242.02863763615,
WorkFlow,tvKm,1695.89916643679,,2650.61215382064,156.295386322394,-3514.70001662566,6906.49834949924,
WorkFlow,tvV,14.8938670424666,,13.1186936118662,88.0811784774302,-10.8949886067111,40.6827226916443,
WorkFlow,tvKa,1.32041719009779,,1.07595276403031,81.4858191864817,-0.794701230825849,3.43553561102143,
WorkFlow,K12,1.94319055290374,,6.30764699442814,324.602596744952,-10.4564433312309,14.3428244370384,
WorkFlow,K21,2.83229718513732,,7.62295939917002,269.144051661388,-12.1529906324637,17.8175850027383,
WorkFlow,K13,0.0543105724808046,,0.0526823786545678,97.0020683784685,-0.049252960487834,0.157874105449443,
WorkFlow,K31,0.0189738043897432,,0.0102876314594921,54.2201829858295,-0.00124972171203313,0.0391973304915195,
WorkFlow,CEps,0.501149243354541,,2.35087777793414,469.097341581936,-4.12022918484239,5.12252767155147,
