Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,-0.203218923086366,1,,,,,,,,
WorkFlow,-0.040857095849406,0.811471133525207,1,,,,,,,
WorkFlow,-0.124208116288795,-0.238585083260053,-0.140836055895613,1,,,,,,
WorkFlow,0.103556985499978,-0.463976069869974,-0.375139201254353,0.674752341580201,1,,,,,
WorkFlow,0.00253105693250898,0.540780286395081,0.442685382856915,-0.713626184481305,-0.680967348031517,1,,,,
WorkFlow,-0.137059745384405,0.726402512831811,0.482921917663655,-0.389056515982682,-0.404129216271654,0.643921649769535,1,,,
WorkFlow,-0.0776045034681954,0.511351108827273,0.276464759418939,-0.670745967900811,-0.694676351435144,0.880924808669206,0.404623973389576,1,,
WorkFlow,0.165162077934441,0.537032115410397,0.422979305390423,-0.354797059101384,-0.412921153175946,0.732593584291915,0.489285829273749,0.709111719022334,1,
WorkFlow,0.121086681491536,0.102110117382638,0.211359433677223,-0.125238630095959,0.084168743919904,0.220492589487999,0.325258673675938,-0.00454498499664195,0.0153909675894969,1
