"Scenario","Iter","Parameter","Value"
"WorkFlow",17,"-2LL",6886.6657
"WorkFlow",17,"GAMMA",1.51204
"WorkFlow",17,"CMultStdev",0.475643
"WorkFlow",17,"tvVmax",6050.83
"WorkFlow",17,"tvKm",1579.09
"WorkFlow",17,"tvV",44.1387
"WorkFlow",17,"tvKa",0.974266
"WorkFlow",17,"dVdWT",0.920305
"WorkFlow",18,"-2LL",6885.07348
"WorkFlow",18,"GAMMA",1.50248
"WorkFlow",18,"CMultStdev",0.484595
"WorkFlow",18,"tvVmax",6100.5
"WorkFlow",18,"tvKm",1634.76
"WorkFlow",18,"tvV",42.683
"WorkFlow",18,"tvKa",0.900247
"WorkFlow",18,"dVdWT",1.02095
"WorkFlow",19,"-2LL",6884.00724
"WorkFlow",19,"GAMMA",1.49778
"WorkFlow",19,"CMultStdev",0.490993
"WorkFlow",19,"tvVmax",5828.05
"WorkFlow",19,"tvKm",1589.14
"WorkFlow",19,"tvV",43.4234
"WorkFlow",19,"tvKa",0.904574
"WorkFlow",19,"dVdWT",0.925464
"WorkFlow",20,"-2LL",6883.5852
"WorkFlow",20,"GAMMA",1.50812
"WorkFlow",20,"CMultStdev",0.491152
"WorkFlow",20,"tvVmax",5658.9
"WorkFlow",20,"tvKm",1532.78
"WorkFlow",20,"tvV",43.6192
"WorkFlow",20,"tvKa",0.912419
"WorkFlow",20,"dVdWT",0.93437
"WorkFlow",21,"-2LL",6883.10548
"WorkFlow",21,"GAMMA",1.53554
"WorkFlow",21,"CMultStdev",0.492271
"WorkFlow",21,"tvVmax",5363.87
"WorkFlow",21,"tvKm",1404.31
"WorkFlow",21,"tvV",44.2221
"WorkFlow",21,"tvKa",0.901122
"WorkFlow",21,"dVdWT",0.93113
"WorkFlow",22,"-2LL",6882.67248
"WorkFlow",22,"GAMMA",1.55472
"WorkFlow",22,"CMultStdev",0.492627
"WorkFlow",22,"tvVmax",5056.1
"WorkFlow",22,"tvKm",1321.64
"WorkFlow",22,"tvV",43.5741
"WorkFlow",22,"tvKa",0.907679
"WorkFlow",22,"dVdWT",0.991601
"WorkFlow",23,"-2LL",6882.33444
"WorkFlow",23,"GAMMA",1.57101
"WorkFlow",23,"CMultStdev",0.491363
"WorkFlow",23,"tvVmax",4893.62
"WorkFlow",23,"tvKm",1267.71
"WorkFlow",23,"tvV",43.3463
"WorkFlow",23,"tvKa",0.911883
"WorkFlow",23,"dVdWT",1.03638
"WorkFlow",24,"-2LL",6881.61096
"WorkFlow",24,"GAMMA",1.59622
"WorkFlow",24,"CMultStdev",0.487352
"WorkFlow",24,"tvVmax",4702.78
"WorkFlow",24,"tvKm",1203.43
"WorkFlow",24,"tvV",43.0042
"WorkFlow",24,"tvKa",0.920499
"WorkFlow",24,"dVdWT",1.04756
"WorkFlow",25,"-2LL",6880.80902
"WorkFlow",25,"GAMMA",1.6272
"WorkFlow",25,"CMultStdev",0.483964
"WorkFlow",25,"tvVmax",4426.79
"WorkFlow",25,"tvKm",1113.47
"WorkFlow",25,"tvV",43.1299
"WorkFlow",25,"tvKa",0.930086
"WorkFlow",25,"dVdWT",1.03986
"WorkFlow",26,"-2LL",6880.17686
"WorkFlow",26,"GAMMA",1.6494
"WorkFlow",26,"CMultStdev",0.483115
"WorkFlow",26,"tvVmax",4183.89
"WorkFlow",26,"tvKm",1044.79
"WorkFlow",26,"tvV",43.2812
"WorkFlow",26,"tvKa",0.941482
"WorkFlow",26,"dVdWT",1.01719
"WorkFlow",27,"-2LL",6879.55486
"WorkFlow",27,"GAMMA",1.66815
"WorkFlow",27,"CMultStdev",0.484516
"WorkFlow",27,"tvVmax",3996
"WorkFlow",27,"tvKm",984.801
"WorkFlow",27,"tvV",43.955
"WorkFlow",27,"tvKa",0.962165
"WorkFlow",27,"dVdWT",0.986051
"WorkFlow",28,"-2LL",6879.21128
"WorkFlow",28,"GAMMA",1.67318
"WorkFlow",28,"CMultStdev",0.487513
"WorkFlow",28,"tvVmax",3907.67
"WorkFlow",28,"tvKm",957.286
"WorkFlow",28,"tvV",44.5307
"WorkFlow",28,"tvKa",0.976143
"WorkFlow",28,"dVdWT",0.970817
"WorkFlow",29,"-2LL",6879.1459
"WorkFlow",29,"GAMMA",1.68323
"WorkFlow",29,"CMultStdev",0.489999
"WorkFlow",29,"tvVmax",3759.8
"WorkFlow",29,"tvKm",912.073
"WorkFlow",29,"tvV",45.0644
"WorkFlow",29,"tvKa",0.990742
"WorkFlow",29,"dVdWT",0.996684
"WorkFlow",30,"-2LL",6879.11344
"WorkFlow",30,"GAMMA",1.67021
"WorkFlow",30,"CMultStdev",0.489689
"WorkFlow",30,"tvVmax",3920.97
"WorkFlow",30,"tvKm",965.694
"WorkFlow",30,"tvV",44.7876
"WorkFlow",30,"tvKa",0.986104
"WorkFlow",30,"dVdWT",1.00313
"WorkFlow",31,"-2LL",6879.01654
"WorkFlow",31,"GAMMA",1.6789
"WorkFlow",31,"CMultStdev",0.488619
"WorkFlow",31,"tvVmax",3884.47
"WorkFlow",31,"tvKm",947.334
"WorkFlow",31,"tvV",44.6041
"WorkFlow",31,"tvKa",0.977983
"WorkFlow",31,"dVdWT",0.994733
"WorkFlow",32,"-2LL",6879.00692
"WorkFlow",32,"GAMMA",1.68236
"WorkFlow",32,"CMultStdev",0.4884
"WorkFlow",32,"tvVmax",3863.22
"WorkFlow",32,"tvKm",941.541
"WorkFlow",32,"tvV",44.6536
"WorkFlow",32,"tvKa",0.976885
"WorkFlow",32,"dVdWT",0.992248
"WorkFlow",33,"-2LL",6878.97944
"WorkFlow",33,"GAMMA",1.69
"WorkFlow",33,"CMultStdev",0.488186
"WorkFlow",33,"tvVmax",3810.37
"WorkFlow",33,"tvKm",926.784
"WorkFlow",33,"tvV",44.8844
"WorkFlow",33,"tvKa",0.97952
"WorkFlow",33,"dVdWT",0.998508
"WorkFlow",34,"-2LL",6878.97482
"WorkFlow",34,"GAMMA",1.71335
"WorkFlow",34,"CMultStdev",0.487764
"WorkFlow",34,"tvVmax",3687.92
"WorkFlow",34,"tvKm",889.221
"WorkFlow",34,"tvV",45.0548
"WorkFlow",34,"tvKa",0.979933
"WorkFlow",34,"dVdWT",1.00641
"WorkFlow",35,"-2LL",6878.9414
"WorkFlow",35,"GAMMA",1.71086
"WorkFlow",35,"CMultStdev",0.487307
"WorkFlow",35,"tvVmax",3731.98
"WorkFlow",35,"tvKm",898.145
"WorkFlow",35,"tvV",44.9037
"WorkFlow",35,"tvKa",0.977514
"WorkFlow",35,"dVdWT",1.01422
"WorkFlow",36,"-2LL",6878.9359
"WorkFlow",36,"GAMMA",1.70497
"WorkFlow",36,"CMultStdev",0.487211
"WorkFlow",36,"tvVmax",3781.61
"WorkFlow",36,"tvKm",911.29
"WorkFlow",36,"tvV",44.7614
"WorkFlow",36,"tvKa",0.975469
"WorkFlow",36,"dVdWT",1.01304
"WorkFlow",37,"-2LL",6878.93168
"WorkFlow",37,"GAMMA",1.70416
"WorkFlow",37,"CMultStdev",0.487419
"WorkFlow",37,"tvVmax",3770.89
"WorkFlow",37,"tvKm",910.101
"WorkFlow",37,"tvV",44.7375
"WorkFlow",37,"tvKa",0.97614
"WorkFlow",37,"dVdWT",1.00928
"WorkFlow",38,"-2LL",6878.92658
"WorkFlow",38,"GAMMA",1.70536
"WorkFlow",38,"CMultStdev",0.487592
"WorkFlow",38,"tvVmax",3765.39
"WorkFlow",38,"tvKm",910.978
"WorkFlow",38,"tvV",44.543
"WorkFlow",38,"tvKa",0.975016
"WorkFlow",38,"dVdWT",1.0029
"WorkFlow",39,"-2LL",6878.92498
"WorkFlow",39,"GAMMA",1.70658
"WorkFlow",39,"CMultStdev",0.487489
"WorkFlow",39,"tvVmax",3765.3
"WorkFlow",39,"tvKm",909.581
"WorkFlow",39,"tvV",44.5714
"WorkFlow",39,"tvKa",0.975248
"WorkFlow",39,"dVdWT",1.0065
