
 WorkFlow
Start 2024-10-22 10:58:29  Run : 2.85 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa     dVdWT
    1 7774.905 1.50491   0.950259 4124.17 3827.660 51.4408 1.196990 1.1026600
    2 7677.835 1.40306   0.909425 4264.14 3647.900 52.2873 1.195470 1.1049800
    3 7550.431 1.29718   0.877632 4414.58 3470.480 52.5275 1.194340 1.1069800
    4 7367.493 1.18868   0.853393 4564.42 3307.360 52.2353 1.192670 1.1086200
    5 7184.426 1.08014   0.832055 4707.56 3164.550 51.6723 1.190250 1.1093300
    6 7073.714 1.15161   0.626560 5253.17 3033.380 52.7587 1.171570 1.0805000
    7 6967.098 1.35410   0.490807 6037.29 2488.500 42.4648 1.194710 1.0116500
    8 6942.976 1.41003   0.475684 6145.58 2243.860 42.0646 1.142670 0.9930970
    9 6940.402 1.39677   0.447961 5858.99 2205.830 41.0956 1.110090 0.9814820
   10 6923.164 1.44082   0.446944 6290.28 2140.400 43.5883 0.978192 0.8276600
   11 6920.465 1.46869   0.439908 6127.18 1948.130 45.1433 1.124060 0.7918750
   12 6906.583 1.43376   0.471937 5746.61 1963.750 35.2650 0.991907 0.1909520
   13 6903.621 1.51867   0.454321 5647.44 1774.280 34.0687 0.874205 0.1833150
   14 6898.118 1.51335   0.455460 5687.38 1697.680 36.3249 0.879252 0.1613150
   15 6895.157 1.51991   0.458303 5525.32 1577.800 41.6933 0.892950 0.0249357
   16 6889.943 1.52597   0.464016 5753.09 1570.010 41.6451 0.909889 0.2349890
   17 6888.487 1.52743   0.465736 5832.43 1573.940 41.4632 0.912132 0.3728970
   18 6888.424 1.53377   0.487876 6006.09 1523.100 42.5453 0.943479 1.2127800
   19 6885.044 1.53433   0.490338 5815.28 1490.880 43.6779 0.916899 0.6229390
   20 6884.331 1.53488   0.489712 5753.62 1484.160 43.1795 0.920639 0.7142780
   21 6883.240 1.53922   0.487284 5493.30 1426.600 42.7317 0.917860 1.0737300
   22 6882.596 1.53966   0.485116 5394.38 1411.860 42.9973 0.925751 0.9652340
   23 6882.106 1.54966   0.481996 5153.76 1354.720 43.3966 0.927556 0.9731100
   24 6881.921 1.56039   0.481574 5040.30 1322.420 43.3858 0.921813 0.9898320
   25 6881.644 1.60050   0.478968 4600.20 1188.150 43.7126 0.913121 0.9978770
   26 6881.171 1.61493   0.481139 4459.59 1142.670 43.9684 0.933935 1.0440100
   27 6880.139 1.66003   0.485457 4147.40 1027.810 44.0594 0.949825 1.1311700
   28 6879.820 1.73206   0.489822 3501.51  841.333 44.1100 0.989418 1.2079300
   29 6879.412 1.70036   0.491196 3860.57  944.725 43.8753 0.977483 1.0981000
   30 6879.208 1.70386   0.486780 3900.65  926.481 44.5522 0.976298 1.0443900
   31 6878.981 1.70560   0.486990 3756.13  908.513 44.3862 0.979403 1.0494600
   32 6878.963 1.71203   0.487925 3715.79  895.288 44.4338 0.980069 1.0560900
   33 6878.950 1.71665   0.487828 3686.44  886.141 44.4966 0.979401 1.0319900
   34 6878.940 1.71548   0.487448 3698.01  889.629 44.5266 0.977534 1.0112200
   35 6878.929 1.71280   0.487313 3719.81  895.332 44.5847 0.977492 1.0171200
   36 6878.929 1.71332   0.487399 3717.22  894.529 44.5853 0.977491 1.0198100
   37 6878.929 1.71336   0.487404 3716.85  894.424 44.5857 0.977514 1.0200200
   38 6878.927 1.70813   0.487206 3758.90  907.012 44.5591 0.976310 1.0131100
   39 6878.927 1.70925   0.487794 3751.46  905.063 44.5943 0.976622 1.0162200
   40 6878.925 1.70925   0.487563 3750.54  904.584 44.5762 0.976323 1.0153200
