
 WorkFlow
Start 2024-09-22 19:50:33  Run : 7.08333333333333 nSubj: 60 nObs : 480
 Iter      -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa      K12     K21       K13        K31   dVdWT
   52  6609.058   0.843343 4070.79 3936.20 51.4096 1.15589 0.514654 3.17061 0.0551860 0.04458040 1.10676
   53  6608.265   0.854373 4064.91 3941.24 51.1984 1.15731 0.544235 3.18331 0.0642531 0.05460730 1.10567
   54  6608.116   0.860427 4061.72 3943.96 51.0830 1.15809 0.560893 3.19032 0.0693646 0.06054490 1.10507
   55  6608.116   0.860445 4061.71 3943.97 51.0826 1.15809 0.560943 3.19034 0.0693804 0.06056280 1.10507
   56  6607.824   0.860087 4061.96 3943.73 51.0899 1.15804 0.562166 3.18969 0.0688082 0.06066340 1.10511
   57  6607.648   0.859719 4062.17 3943.51 51.0971 1.15798 0.561916 3.18955 0.0688381 0.06071060 1.10514
   58  6602.232   0.843679 4071.38 3933.89 51.4155 1.15552 0.554232 3.18248 0.0689414 0.06292570 1.10674
   59  6593.096   0.806806 4092.85 3911.43 52.1624 1.14975 0.539434 3.16498 0.0678558 0.06819590 1.11039
   60  6577.780   0.730359 4139.03 3863.31 53.7843 1.13737 0.511642 3.12635 0.0640783 0.07987570 1.11813
   61  6560.603   0.646626 4192.70 3807.93 55.6922 1.12312 0.484000 3.08064 0.0583534 0.09381800 1.12699
   62  6547.125   0.578235 4239.36 3760.22 57.3713 1.11095 0.464919 3.03977 0.0520902 0.10564400 1.13456
   63  6544.212   0.583077 4235.93 3763.61 57.2504 1.11208 0.469675 3.04141 0.0516203 0.10345100 1.13394
   64  6542.977   0.585793 4234.13 3765.52 57.1848 1.11282 0.471525 3.04246 0.0519609 0.10184100 1.13366
   65  6522.488   0.623215 4212.67 3790.70 56.3801 1.13007 0.522109 3.04121 0.0622426 0.05576920 1.13063
   66  6516.551   0.579809 4241.53 3760.61 57.4256 1.11914 0.495112 3.02301 0.0568495 0.07339310 1.13528
   67  6509.574   0.553504 4261.56 3741.49 58.1365 1.11668 0.492981 3.00255 0.0571055 0.06917030 1.13877
   68  6504.261   0.499975 4304.68 3701.02 59.6660 1.11263 0.491267 2.95732 0.0587079 0.05721640 1.14632
   69  6503.642   0.513257 4293.79 3711.12 59.2744 1.11335 0.489571 2.96964 0.0582288 0.06149170 1.14440
   70  6503.496   0.512885 4294.38 3710.65 59.2898 1.11366 0.490383 2.96861 0.0584158 0.06048760 1.14450
   71  6503.495   0.512871 4294.39 3710.64 59.2902 1.11366 0.490379 2.96859 0.0584152 0.06048560 1.14450
   72  6503.485   0.512873 4294.42 3710.62 59.2904 1.11367 0.490277 2.96858 0.0585197 0.06048680 1.14451
   73  6503.482   0.512875 4294.48 3710.56 59.2908 1.11370 0.490318 2.96849 0.0584723 0.06048440 1.14451
   74  6503.482   0.512875 4294.48 3710.56 59.2908 1.11370 0.490318 2.96849 0.0584723 0.06048440 1.14451
