Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,0.597701195508045,1,,,,,,,,,
WorkFlow,0.616213356804458,0.991866065481414,1,,,,,,,,
WorkFlow,-0.603321909141426,-0.824989161945984,-0.80222174023715,1,,,,,,,
WorkFlow,-0.59223094570377,-0.95530949506454,-0.940412527218786,0.87147607305488,1,,,,,,
WorkFlow,-0.6051737092009,-0.945499159051731,-0.934380155279223,0.858823342402177,0.945533544933534,1,,,,,
WorkFlow,-0.607932158651424,-0.9490083834254,-0.936176904156821,0.864909948843736,0.949379254172695,0.999130573992962,1,,,,
WorkFlow,0.265426599948364,0.421015406971157,0.349668421316074,-0.576861105517897,-0.514182502880078,-0.589274613975279,-0.607055967114821,1,,,
WorkFlow,-0.018979612329704,-0.443271825517415,-0.418817239786882,0.460304933699511,0.425913574391377,0.363043487039353,0.367226017017483,-0.150103111476104,1,,
WorkFlow,-0.540060338776846,-0.898569201308776,-0.88307422769621,0.835146972724223,0.908253219410883,0.964605234346401,0.963819328272473,-0.602603984284625,0.334458117273334,1,
WorkFlow,-0.602918528024643,-0.939562756232981,-0.925222582850043,0.870709885642598,0.946374888434529,0.998741662985691,0.999176958653596,-0.617692193746799,0.359752129304388,0.966432353504914,1
