Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,CEps
WorkFlow,1,,,,,,,
WorkFlow,-0.428535989532958,1,,,,,,
WorkFlow,-0.437033764417647,0.995078286539205,1,,,,,
WorkFlow,-0.536421749111509,0.728178248373012,0.724019628422981,1,,,,
WorkFlow,-0.541296072805444,0.743486398560462,0.740398942047465,0.998204639217146,1,,,
WorkFlow,0.317970667385088,-0.297466357621297,-0.277208361390252,-0.726454188029612,-0.6877434889101,1,,
WorkFlow,-0.540288093420345,0.784481796189737,0.784205007671816,0.989612955713781,0.995491362466094,-0.623479492976495,1,
WorkFlow,-0.44795942540207,0.508813007368285,0.510232703977439,0.682011912922343,0.683961602176579,-0.469030770920485,0.681146109185709,1
